商家,区域,商圈,星级,服务,价格,销量
米乐星世界KTV（汉阳人信汇店）,汉阳区,王家湾,5.0,下午档/午夜档欢唱时段2选1+小吃套餐,88,5315
星聚点KTV（汉商银座店）,汉阳区,钟家村,5.0,周一至周日下午档/午夜档欢唱7小时套餐,89,4079
佰乐星纯K（王家湾店）,汉阳区,王家湾,5.0,周一至周日下午档／午夜档二选一欢唱+饮品小吃套餐,79,2090
满天星量贩式KTV（汉阳摩尔城店）,汉阳区,王家湾,5.0,下午档6小时／午夜档7小时欢唱＋茶水小吃套餐,89,253
金港湾量贩式KTV,汉阳区,腰路堤/建港,3.3,下午档6小时欢唱券+小吃套餐,58,247
台北音王量贩式KTV,汉阳区,蔡甸城区,4.6,周日至周四黄金档3小时欢唱+酒水套餐,108,239
音乐王主题量贩KTV,汉阳区,王家湾,4.8,周一至周日19:00-6:00 3小时欢唱券,50,59
森乐音频工作室录音棚,汉阳区,腰路堤/建港,4.5,专业录音套餐,168,15
豪情八方主题KTV,汉阳区,腰路堤/建港,5.0,周一至周日下午档中包欢唱+小吃套餐,108,9
欢乐迪氧吧KTV（中山店）,江汉区,六渡桥/汉正街,5.0,周一至周日下午档/午夜档2选1欢唱+饮品套餐,68,73834
欢乐空间量贩式KTV（江汉店）,江汉区,江汉路步行街,5.0,下午档/黄金档/午夜档欢唱时段3选1+酒水套餐,219,8213
米乐星世界KTV（金融街店）,江汉区,西北湖,5.0,下午档/午夜档欢唱时段2选1+小吃套餐,88,5315
米乐星世界KTV（SOGO馆）,江汉区,武商广场,5.0,下午档/午夜档欢唱时段2选1+小吃套餐,88,5315
米乐星世界KTV（西园店）,江汉区,武商广场,5.0,下午档/午夜档欢唱时段2选1+小吃套餐,88,5315
米乐星世界KTV（六渡桥店）,江汉区,六渡桥/汉正街,5.0,下午档/午夜档欢唱时段2选1+小吃套餐,88,5315
星聚点KTV（武汉国际广场店）,江汉区,武商广场,5.0,周一至周日下午档/午夜档欢唱7小时套餐,89,4079
