商家,区域,商圈,星级,服务,价格,销量
爱尚量贩式ktv（兴工店）,铁西区,兴工南街,5.0,周一至周日欢唱2选1+小食套餐,45,50112
爱尚量贩KTV（铁西广场店）,铁西区,铁西广场,5.0,周一至周日欢唱2选1+小食套餐,45,50112
空间8度量贩KTV（星摩尔购物中心店）,铁西区,星摩尔,5.0,阳光场3小时/午夜场6小时/7小时欢唱+饮品小吃套餐,45,28114
空间8度量贩KTV（建大店）,铁西区,铁西广场,5.0,阳光场3小时/午夜场7小时欢唱券+小食套餐,45,24195
空间8度量贩KTV（沈辽路万达店）,铁西区,沈辽路万达,5.0,周一至周日阳光场3小时/午夜场7小时欢唱+小食套餐,45,16175
同一首歌量贩式KTV,铁西区,云峰街,5.0,周一至周日3小时欢唱＋美食套餐,49,7075
私人订制主题量贩ktv（沈辽路店）,铁西区,沈辽路万达,5.0,周一至周日欢唱时段2选1+酒水套餐,88,4795
私人订制主题量贩ktv（云峰店）,铁西区,云峰街,5.0,3小时阳光场/包段7小时午夜场欢唱时段2选1欢唱券+小食套餐,58,3288
欢乐之声,铁西区,财富广场,4.6,阳光场欢唱3小时,39.9,2150
百乐迪量贩式KTV（铁西店）,铁西区,保工街,5.0,下午场欢唱5小时+美食,38,1922
创声量贩式KTV（滑翔店）,铁西区,滑翔小区,4.9,周一至周日白天档/午夜档4小时/5小时欢唱+小食套餐,35,1480
超新星主题量贩式ktv,铁西区,北一路万达,5.0,阳光场9小时/午夜场7小时+酒水套餐,45,706
不见不散KTV,铁西区,铁西区,4.4,欢唱酒水套餐,178,312
k-music主题量贩ktv,铁西区,铁西区,5.0,啤酒欢唱套餐,139,305
皇朝金钱柜KTV,铁西区,财富广场,4.1,周一至周日阳光档/午夜档3小时欢唱+酒水套餐,49,188
欢唱KTV（建大店）,铁西区,兴工南街,5.0,欢唱＋酒水小吃套餐,148,119
千姿汇量贩式KTV,铁西区,兴工北街,4.8,周一至周日阳光场3小时黄金场2小时午夜场6小时+酒水套餐,99,60
纯音录音棚（梦想成真录音棚）,铁西区,北一路万达,4.0,梦想成真录音棚歌曲录制一首,69,28
音乐虫量贩式KTV（中街店）,大东区,东中街,5.0,欢唱套餐音乐虫量贩式KTV,30,35977
快乐迪KTV（龙之梦购物中心店）,大东区,大东区,5.0,阳光场/黄金场/午夜场欢唱券,39,16732
音乐虫量贩式KTV（大悦城）,大东区,东中街,5.0,阳光场欢唱3小时+小食套餐,38,7115
百乐迪量贩式KTV（大东店）,大东区,吉祥市场,4.7,白天场特价欢唱,19.8,2070
乐天虫（新世界百货店）,大东区,东中街,5.0,周一至周日全天档欢唱2小时+套餐A,98,1937
乐天虫（德增店）,大东区,大东区,4.9,乐天虫KTV黄金档欢唱3小时＋酒水套餐,138,1474
不眠夜KTV,大东区,吉祥市场,3.9,周一-周日12:00~18:00欢唱6小时+小食套餐,38,198
银桥KTV,大东区,吉祥市场,5.0,大家来K歌,98,190
金夜音KTV,大东区,吉祥市场,4.3,特价小包,5.8,62
瑞 KTV五星级量贩式,大东区,大东区,5.0,周一到周日黄金场小包欢唱3小时酒水套餐,128,4
空间8度量贩KTV（浑南万达店）,浑南区,奥体中心,5.0,周一至周日阳光场/黄金场/午夜场欢唱时段3选1,49,7955
海乐星量贩KTV,浑南区,奥体中心,5.0,海乐星KTV阳光场午夜场套餐,56,2224
乐道好声音量贩式KTV（浑南店）,浑南区,浑南区,4.8,全天不限时段,168,1840
炫麦ktv,浑南区,浑南区,5.0,周一至周日下午场/夜场任选欢唱券+酒水美食套餐B,68,810
糖果量贩式KTV,沈北新区,沈北新区,5.0,阳光场欢唱7小时/午夜场欢唱7小时+赠送大桶爆米花,49,13780
乐道好声音量贩式KTV（道义店）,沈北新区,正良,5.0,阳光场套餐A,29,2431
爱尚我的量贩ktv,沈北新区,沈北新区,5.0,阳光场/午夜场2选1欢唱+美食套餐,39,2326
淘乐欢乐之声KTV,沈北新区,正良,5.0,迷你包套餐,18,1291
火凤凰ktv,沈北新区,沈北新区,5.0,周一到周日不限时段欢唱2小时,35,305
音悦台KTV,沈北新区,正良,5.0,特价阳光场,28.8,158
麒韵KTV,沈北新区,沈北新区,3.9,2小时欢唱券+小食套餐,88,127
沈阳淘吧桌游KTV轰趴馆（沈北店）,沈北新区,正良,5.0,代金券1张,10,27
