商家,区域,商圈,星级,服务,价格,销量
开心一号KTV,丰泽区,侨乡体育馆/东湖,5.0,黄金场9小时欢唱+皮尔森10瓶/饮品美食套餐2选1,109,11065
KK金自助式KTV（宝洲总店）,丰泽区,宝洲路,5.0,晚场8小时欢唱+皮尔森24瓶美食套餐,168,2968
金爵大酒店KTV（浔美店）,丰泽区,华侨大学周边,4.5,晚场9小时欢唱+雪津皮尔森30瓶美食套餐,278,2633
欢乐星音乐氧吧KTV（泉秀路店）,丰泽区,永辉/现代家居广场,5.0,下午场7小时/午夜场4小时欢唱2选1+饮品美食套餐,68,2135
歌尚精品KTV,丰泽区,丰泽广场/丰泽街,5.0,白场7小时/晚场9小时欢唱+4-8人精品美食套餐,168,1511
Gala Park嘎啦派复合式KTV（领袖店）,丰泽区,领SHOW天地,5.0,晚场4小时欢唱+百威15瓶美食套餐,268,1306
欢乐笛音乐氧生馆（泉秀店）,丰泽区,星光不夜城及周边,5.0,白天场欢唱套餐,68,1014
欢乐麦动·畅K主题KTV（华大润柏店）,丰泽区,润柏香港城,5.0,白场6小时畅K+可乐/雪碧4瓶/油切麦茶3瓶3选1美食套餐,38,1000
音乐小镇KTV,丰泽区,东海湾新华都广场,4.9,下午场7小时欢唱+饮品美食套餐,68,738
欢乐笛音乐氧生馆（闽隆店）,丰泽区,永辉/现代家居广场,5.0,周一至周日欢唱时段2选1+15瓶雪津皮尔森美食套餐,218,560
欢乐迪Ktv（中骏店）,丰泽区,中骏世界城,5.0,白天欢唱6小时+小食套餐,58,441
欢唱KTV（世界城店）,丰泽区,中骏世界城,4.6,白场7小时欢唱+下午茶套餐,68,283
欢聚练歌房（师院店）,丰泽区,东海大街/师范学院,4.1,白场6小时欢唱+下午茶套餐,50,198
大华酒店KTV,丰泽区,星光不夜城及周边,5.0,晚场9小时欢唱+青岛50瓶/百威50瓶/百威46听美食套餐,588,152
金洲娱乐城,丰泽区,大洋百货周边,4.8,晚场9小时欢唱+百威40瓶/喜力30瓶2选1美食套餐,558,95
铂金酒店KTV,丰泽区,泉州客运中心周边,4.8,铂金娱乐城小包欢唱酒水套餐,338,46
大富豪ktv,丰泽区,丰泽区,3.8,24瓶纯生套餐或36瓶皮尔森,388,39
夜宴ktv娱乐会所（美食街店）,丰泽区,美食街,3.4,8小时欢唱套餐B,588,28
钻石人生KTV,丰泽区,津淮街,3.8,8小时欢唱+青岛铁罐24瓶美食套餐,398,19
稻花香酒楼KTV,丰泽区,灵山墓/郑成功公园,3.0,9小时欢唱+青岛小优24瓶美食套餐,178,6
蓝色沸点量贩式KTV,晋江市,阳光广场,5.0,白场6小时欢唱+饮品套餐,28,6643
新乐城娱乐会所,晋江市,阳光广场,4.7,12小时欢唱+青岛崂山36瓶美食套餐,199,4890
红馆量贩KTV,晋江市,宝龙城市广场,5.0,白场/晚场全时段欢唱2选1+饮品小食套餐,59,4109
Kgego精品自助KTV（晋江店）,晋江市,时代广场,5.0,黄金场15小时欢唱+青岛纯生24瓶美食套餐,198,2209
Gala Park嘎啦复合式KTV（银利店）,晋江市,泉安中路,5.0,黄金场8小时欢唱+RIO6瓶/虎牌8瓶2选1美食套餐,188,1790
月亮城堡KTV,晋江市,阳光广场,4.3,晚场8小时欢唱+青岛崂山24瓶美食套餐,168,1646
乐廷KTV,晋江市,晋江,5.0,黄金场9小时欢唱+青岛崂山啤酒30瓶套餐,199,1466
歌尚KTV（陈埭店）,晋江市,晋江,5.0,晚场8小时欢唱+青岛银标24瓶美食套餐,328,1251
家乐迪（英林店）,晋江市,英林,5.0,黄金场8小时欢唱+小食套餐,58,1134
天娇KTV,晋江市,时代广场,3.9,10小时欢唱+冰纯18瓶套餐,158,953
那间K·PA跨界量贩KTV,晋江市,晋江,5.0,黄金场欢唱+纯生/波克24瓶2选1美食套餐,358,880
普乐迪KTV（国贸店）,晋江市,泉安中路,5.0,晚场12小时欢唱+青岛/雪花24瓶/百威15瓶3选1美食套餐,198,604
靓声量贩KTV,晋江市,池店,5.0,白场/黄金场欢唱+皮尔森20瓶美食套餐,228,443
星光家乐迪量贩式KTV,晋江市,清濛开发区,5.0,晚场10小时欢唱+银标18瓶美食套餐,198,410
合乐欢自助式ktv（清濛店）,晋江市,清濛开发区,5.0,晚场欢唱+20瓶青岛小优啤酒套餐,268,397
华日商务酒店KTV,晋江市,清濛开发区,4.8,晚场9小时欢唱+惠泉一麦12瓶/惠泉纯生8瓶2选1美食套餐,138,375
音乐之声KTV,晋江市,万达广场,4.7,全天场15小时欢唱+纯生12听美食套餐,168,240
凯奇KTV（晋江店）,晋江市,晋江,5.0,白场6小时/晚场8小时欢唱+银标/纯生2选1美食套餐,158,199
唛乐KTV,晋江市,英林,4.8,晚场7小时欢唱+麦之初12瓶套餐,168,192
皇家公馆KTV,晋江市,泉安中路,5.0,晚场7小时欢唱+麦之初24瓶美食套餐,158,185
亿郎国际俱乐部,晋江市,清濛开发区,4.8,中包12小时欢唱+皮尔森8瓶套餐,98,173
海丰酒店四楼KTV,晋江市,晋江,3.7,晚场8小时欢唱+青岛崂山30瓶美食套餐,218,170
VERA维拉乐PUB KTV（安海店）,晋江市,安海,4.5,下午场欢唱4小时套餐,56,169
东雅假日酒店ktv,晋江市,晋江,3.3,8小时欢唱+小红盖/小纯生24瓶套系,268,155
太子酒店皇佳KTV,晋江市,清濛开发区,4.5,24瓶珠江小旋风/博兰特14小时嗨唱套餐,238,145
欢唱KTV（阳光店）,晋江市,阳光广场,4.6,全天22小时欢唱+小食饮品套餐,78,139
V-MUSE 威美斯KTV,晋江市,时代广场,5.0,周一至周日白场5小时欢唱,28,132
万隆商务酒店KTV,晋江市,晋江,4.3,啤酒小食套餐,198,93
明源娱乐会所,晋江市,安海,5.0,黄金场13小时欢唱+小红盖24瓶美食套餐,298,78
金石国际娱乐会所,晋江市,安海,4.3,10小时欢唱+青岛小红盖24瓶套组,428,76
银座KTV,晋江市,晋江,4.3,晚场8小时欢唱+金麦24瓶/勇闯天涯18瓶2选1美食套餐,138,44
唱吧KTV,晋江市,晋江,4.2,晚场9小时欢唱+欢动24瓶/百威16瓶/喜力16瓶美食套餐,238,40
华鑫KTV,晋江市,池店,3.8,晚场8小时欢唱+一麦12瓶美食套餐,168,37
南安KK金,南安市,南安市区,4.7,白场欢唱套餐,36,1846
泉山大酒店KTV,南安市,霞美镇,4.8,泉山大酒店欢唱+36瓶酒水套组,358,795
嘉悦大酒店ktv,南安市,梅山镇,5.0,嘉悦大酒店（超前酒店）KTV重装开业大酬宾,198,658
芒果量贩式KTV,南安市,南安水头镇,5.0,周一至周日晚场包段欢唱+酒水套餐,198,283
音乐房子氧吧ktv,南安市,南安水头镇,5.0,周一至周日18:00~02:00晚场8小时欢唱+美食套餐,338,55
海豹俱乐部夜总会KTV,南安市,石井镇,4.6,红酒套餐,180,2
欢乐迪音乐氧吧KTV（宝龙店）,安溪县,宝龙城市广场,4.9,白天6小时欢唱＋套餐,38,327
欢乐迪氧吧KTV（三江店）,安溪县,北石光德,4.7,白场欢唱6小时+小吃套餐,36,175
好美国际酒店KTV,安溪县,龙湖,4.7,欢唱酒食套餐,298,153
银都娱乐城,安溪县,安溪,3.7,欢动套餐,320,20
