商家,区域,商圈,星级,服务,价格,销量
甲壳虫KTV（国贸店）,龙华区,龙昆北路,5.0,周一至周日12：00-19：00欢唱+套餐,58,9104
至尊纯K,龙华区,龙昆南路,5.0,周一至周日白天场欢唱+套餐,38,6533
百迪乐KTV,龙华区,金盘,4.5,周一至周日白天场6小时欢唱+茶水套餐,42,5459
阿伦故事清吧（万国店）,龙华区,万国大都会,5.0,万国阿伦酒吧燕京套餐,29,4799
零点时尚量贩ktv,龙华区,坡博村,5.0,周一至周日黄金场欢唱+酒水套餐,188,2053
东方金柜ktv,龙华区,龙昆南路,5.0,周一至周日白天/午夜场3小时券+饮料小食套餐,58,1782
好歌声量贩KTV,龙华区,龙昆南路,5.0,好歌声298超值优惠套餐,298,1741
七仙好乐迪量贩式KTV,龙华区,南沙路,4.7,周一至周日白天场欢唱+套餐,19,1683
第一乐章KTV,龙华区,玉沙路,5.0,周一至周日小包、中包白天场欢唱+套餐,58,1588
好声音KTV（世贸店）,龙华区,金山广场,5.0,小包厢6-8人全时段6小时欢唱（开业特惠）,10,1182
K王私人定制派对KTV,龙华区,龙华区,5.0,周一至周日白天场欢唱+套餐,58,986
加一格ktv,龙华区,龙昆北路,5.0,19：00-2：00包段欢唱套餐,168,866
凡尔赛量贩式KTV（国贸店）,龙华区,上邦百汇城,5.0,白天档4小时欢唱套餐,92,842
嗨唛聚会餐厅KTV,龙华区,京华城,5.0,白天场迷你包/小包2-4人7小时欢唱+下午茶套餐A,58,700
扬歌KTV（大同店）,龙华区,解放西/泰龙城,4.3,周一至周日白天场欢唱套餐+VR体验,68,652
国贸名堂量贩KTV,龙华区,龙昆北路,5.0,白天档小/中包厢7小时欢唱+港式茶点饮料果盘套餐,68,368
阿伦新故事音乐清吧（万国店）,龙华区,万国大都会,5.0,阿伦新故事酒吧小包厢,128,184
动感之声量贩ktv,龙华区,南沙路,4.5,【限时特惠】黄金场小包厢7小时欢唱美食套餐,49.9,165
星歌声KTV,龙华区,龙昆南路,4.4,周一至周日20:00——02:00豪华小包厢欢唱6小时套餐,158,98
唱吧麦颂KTV（国贸店）,龙华区,国贸大道,5.0,啤酒欢唱劵,25,74
UK派对KTV（红城湖店）,琼山区,红城湖,5.0,白天场欢唱3小时套餐,38,30720
百乐城量贩ktv（朱云店）,琼山区,琼山区,4.8,周一至周日白天场欢唱+小吃套餐,41,10011
歌迷纯k,琼山区,高登街,4.5,周一至周日白天场6小时欢唱+套餐,40,8419
四海龙阁娱乐会所ktv,琼山区,红城湖,4.6,周一至周日白天场6小时欢唱+套餐,46,3483
百乐城量贩KTV（凤翔西路店）,琼山区,凤翔路,4.3,周一至周日小、中包欢唱+茶水套餐,50,347
吉祥ktv,琼山区,琼山区,3.8,周一至周日下午场欢唱+酒水套餐,78,258
