商家,区域,商圈,星级,服务,价格,销量
KIGO凯歌量贩KTV（拱北桂花南路店）,香洲区,香洲区,5.0,好基友套餐,88.8,71574
KIGO凯歌量贩KTV（旺角店）,香洲区,新香洲,5.0,好基友套餐,88.8,71574
KIGO凯歌量贩KTV（柠溪店）,香洲区,柠溪,5.0,好基友套餐,88.8,71574
三歌主题式量贩KTV,香洲区,拱北,5.0,下午场5小时欢唱+套餐A/B/C 3选1,38,11681
唛潮时尚KTV（拱北一店）,香洲区,香洲区,5.0,欢唱时段2选1+酒水套餐,39.8,9739
星歌会量贩式KTV（珠海店）,香洲区,吉大,5.0,12:00~19:00下午场7小时欢唱+套餐,46.8,9579
音乐匣子,香洲区,吉大,5.0,音乐匣子下午场A方案,59,7255
爱歌量贩式ktv,香洲区,香洲区,5.0,下午场欢唱套餐,38,7000
恋曲90,香洲区,前山,4.5,下午场欢唱,38,5960
K立方量贩式KTV（香洲店）,香洲区,前山,5.0,好基友套餐,218,4944
潮会KTV,香洲区,夏湾,4.7,下午场/夜猫场 2选1,78,4593
Gtwo量贩KTV（富华里店）,香洲区,富华里,5.0,下午场欢唱套餐,48,3650
世纪KTV,香洲区,前山,5.0,下午欢唱6小时+茶水,48,2454
K-SHOW,香洲区,拱北,4.3,任选4小时欢唱套餐,198,1997
红馆red,香洲区,金鼎/珠海北站,4.5,周五-周日13:30~18:00欢唱4小时券+小吃套餐,98,1714
立歌宴KTV氧吧,香洲区,前山,5.0,时段2选1欢唱+酒水小吃套餐,99.9,1611
卡迪亚时尚KTV（银桦路店）,香洲区,香洲汽车总站,5.0,周一至周日欢唱券+美食套餐,58,1560
百胜K立方,香洲区,香洲区,5.0,欢唱时段2选1,68,1244
嘉迪乐量贩KTV,香洲区,南屏,4.9,下午场任选3小时欢唱套餐,38,828
野猫KTV俱乐部,香洲区,南屏,4.7,黄金场欢唱套餐,198,470
凡花主题ktv,香洲区,前山,5.0,黄金场套餐,298,451
海航国际KTV,香洲区,香洲区,4.9,黄金场欢唱套餐,278,417
自由空间KTV,香洲区,南屏,5.0,周一到周日下午欢唱4小时,58,405
音乐前线,香洲区,前山,4.6,周一至周日下午场套餐,48,337
MIX潮歌汇精品KTV（学生俱乐部）,香洲区,唐家湾（唐家市场）,5.0,下午场欢唱+啤酒套餐,158,275
北师北理宁堂晶光量贩式KTV,香洲区,香洲区,5.0,下午场欢唱套餐,68,259
唛潮时尚KTV（拱北二店）,香洲区,夏湾,4.9,周一至周日7小时欢唱券+酒水套餐,488,224
百胜Viva练歌房,香洲区,香洲区,4.9,下午场酒水套餐,99,196
Mr·Right﹣KTV（Mr.Right）,香洲区,夏湾,5.0,3小时欢唱券+小食套餐,78,155
尊尚会,香洲区,新香洲,4.6,黄金场特惠套餐,218,44
Just轰趴馆（北师店）,香洲区,香洲区,4.1,单人K歌棋牌轰趴一小时套餐,9.9,32
唐家K-BOX量贩式KTV,香洲区,唐家湾（唐家市场）,4.5,周日至周四6小时欢唱+酒水小食套餐,198,18
银海湾歌友会量贩式ktv（湾仔店）,香洲区,湾仔,5.0,黄金场套餐,238,13
k米汇主题ktv,香洲区,拱北,5.0,黄金场5小时欢唱,98,17
Ktime（量贩式KTV）,香洲区,摩尔广场,5.0,全场啤酒套餐,538,6
KIGO凯歌量贩KTV（斗门店）,斗门区,井岸镇,5.0,好基友套餐,88.8,71574
Newway纽威K歌汇,斗门区,井岸镇,4.5,欢唱一夏,78,85
AN-CALL,金湾区,红旗镇,4.9,下午场套餐,49,1243
K立方量贩式KTV（红旗店）,金湾区,红旗镇,5.0,超值呆萌团,48,1224
明月湾公馆ktv,金湾区,红旗镇,4.7,黄金场套餐B,158,238
