商家,区域,商圈,星级,服务,价格,销量
唱吧麦颂量贩式KTV（石家庄东胜广场店）,长安区,东胜广场,5.0,周一至周日下午档／黄金档／夜猫档3选1欢唱＋标准套餐,40,16557
温拿纯K,长安区,长安区,5.0,时尚包下午档/夜猫档欢唱2选1+酒水小吃套餐,58,1883
五月天量贩式KTV,长安区,方北,5.0,下午档/夜猫档欢唱券,29.9,1395
好声音量贩式ktv（盛世店）,长安区,北国东尚,5.0,下午档/黄金档/夜猫档3选1欢唱,9.9,959
公告牌量贩KTV（尊享店）,长安区,建华百货,5.0,黄金档/下午档2选1欢唱,28.8,772
金永练歌城量贩式KTV（丰收路店）,长安区,长安区,4.3,白天档/黄金档/夜猫档酒水欢唱券,58,379
旺角壹号自助式KTV,长安区,谈固,5.0,周一至周四黄金档套餐,158,345
好声音量贩式ktv（东岗店）,长安区,谈固,5.0,下午档/夜猫档欢唱券,68,320
我是歌手量贩式KTV,长安区,先天下,5.0,下午档/夜猫档全档欢唱套餐,69,260
微微派对ktv,长安区,省博物馆,5.0,下午档茶水欢唱套餐,48,259
棒棒糖VIP-ROOM店（原广安店）,长安区,省博物馆,5.0,下午档/夜猫档2选1欢唱+酒水套餐,88,253
糖潮量贩式KTV（勒泰店）,长安区,勒泰中心,5.0,小包下午档/夜猫档2选1欢唱+超市购物券,88,157
盛世罗兰,长安区,运河桥客运站,4.1,19:00~02:00欢唱4小时+酒水套餐,198,143
高朋满座KTV（高朋满座KTV）,长安区,建华百货,3.3,黄金档小包酒水欢唱套餐,168,100
ink录音棚（乐汇城店）,长安区,乐汇城,4.5,超值单曲录制1次,199,46
梓童缘KTV,长安区,运河桥客运站,4.1,时段2选1欢唱套餐,128,10
泡泡糖量贩式ktv,长安区,白佛,3.4,下午档5小时欢唱+酒水套餐2选1,58,6
微微秀量贩式KTV（勒泰店）,桥西区,北国商城,5.0,下午档/夜猫档欢唱2选1+酒水套餐,68.8,21981
棒棒糖量贩式KTV（壹号店）,桥西区,北国商城,5.0,下午档/黄金档/夜猫档3选1欢唱+酒水套餐,68,14193
棒棒糖量贩式KTV（花街店）,桥西区,西美花街,5.0,下午档/黄金档/夜猫档3选1欢唱+酒水套餐,68,14193
好声音量贩式KTV（红旗大街店）,桥西区,红旗大街,5.0,下午档/黄金档/夜猫档酒水欢唱券,188,1803
堂会量贩式KTV（西二环店）,桥西区,桥西区,5.0,下午档/黄金档/夜猫档3选1欢唱+茶水套餐,68,1512
零度空间量贩式KTV（友谊南大街店）,桥西区,新石北路,5.0,时段3选1欢唱+酒水套餐,58,1448
微微秀量贩式ktv（西王店）,桥西区,桥西区,5.0,周一至周日13:00-21:00任选3小时欢唱＋饮料茶水套餐,59,1421
钱隆ktv（恒大店）,桥西区,西三教,4.9,时段3选1欢唱套餐,68,1214
开心果量贩式KTV,桥西区,万象天成,4.9,下午档/夜猫档2选1欢唱+果汁套餐,29,1121
唱吧量贩式ktv,桥西区,桥西区,5.0,下午档／黄金档／夜猫档3选1欢唱＋酒水套餐,79,739
河北人家麦浪KTV（东风路店）,桥西区,火车站,5.0,下午档/夜猫档欢唱套餐1次,19,618
晶木练歌广场（南花园店）,桥西区,南花园步行街,4.6,下午档欢唱券,38,555
星光大道量贩式KTV,桥西区,南花园步行街,4.6,全天欢唱时段3选1+茶水套餐,129,305
鑫海练歌城,桥西区,时光街,3.8,下午档3小时欢唱券,29,29
至尊皇朝ktv,藁城区,信誉楼,3.5,全天小包任选2小时欢唱,50,924
雨格纯k,藁城区,人民医院,5.0,周一至周日白天档任选3小时欢唱+酒水套餐,79,768
华纳娱乐会所,藁城区,藁城,4.2,激情欢唱,68,62
1+1量贩式KTV,正定县,正定火车站,5.0,下午档/夜猫档2选1欢唱+酒水套餐2选1,46,1960
炫酷棒棒堂量贩式KTV（正定小商品店）,正定县,正定火车站,5.0,下午档/夜猫档2选1欢唱+茶水套餐,39,736
爱尚麦克风量贩式KTV（旗舰店）,正定县,正定,5.0,下午档／夜猫档2选1欢唱+酒水套餐2选1,45,519
红馆纯K,正定县,正定盛世华安,5.0,下午档/黄金档/夜猫档3选1欢唱+烤草鱼套餐,98,203
爱尚麦克风量贩式KTV（壹号店）,正定县,北国,5.0,全天任选4小时欢唱+酒水套餐2选1,129,34
摩羯座量贩式KTV,栾城区,栾城,5.0,白天档欢唱3小时+酒水套餐,68,2623
爱尚量贩式KTV（传媒店）,栾城区,栾城,5.0,爱尚量贩式KTV欢唱套餐,59,1611
英皇娱乐会KTV,栾城区,栾城,3.7,下午档3小时欢唱套餐,49,105
好歌手KTV,栾城区,栾城,3.7,下午档酒水欢唱券,59,25
乌托邦ktv（碰碰凉）,栾城区,栾城,4.6,小包11:00~18:00时段3小时欢唱券+酒水套餐,68,13
乐尚影K,栾城区,栾城,4.6,黄金档3小时欢唱+酒水套餐,138,4
