商家,区域,商圈,星级,服务,价格,销量
方糖量贩式ktv（方糖宝龙美凯龙店）,台江区,宝龙城市广场,5.0,周一至周五白场6小时/周日至周四夜猫场欢唱2选1,39,20650
歌潮量贩式KTV（台江万达店）,台江区,台江万达,5.0,12:00-18:00欢唱6小时+茶饮小吃套餐,39,4696
AGOGO量贩KTV（宝龙广场店）,台江区,宝龙城市广场,5.0,白场欢唱+小食套餐,38,2822
米乐星世界KTV（台江店）,台江区,台江广场/元洪城,5.0,周一至周日白场欢唱+小食套餐,49,865
城市之声KTV,台江区,工业路/茶亭,5.0,周一至周日晚场欢唱7小时+美食酒水套餐,198,625
米乐星欢乐KTV（六一店）,晋安区,福新路,5.0,周一至周日白场/晚场欢唱+啤酒套餐,178,11749
红派量贩KTV（华林路店）,晋安区,华林路/茶园,5.0,周一至周日白场/夜猫场欢唱2选1+美食套餐2选1,38,6189
红派量贩KTV（五里亭店）,晋安区,世欧王庄,5.0,周一至周日白场欢唱6小时+美食套餐2选1,38,2627
酷秀KTV,晋安区,五四北,4.9,周一至周日晚场7小时30分钟欢唱+酒水套餐,198,1386
天籁之音KTV,晋安区,东区/鼓山,4.7,黄金档欢唱+美食酒水套餐,288,1332
音乐一百度KTV（泰禾店）,晋安区,五四北,5.0,白场/午夜场欢唱+饮料小食套餐,68,1209
大梦敦煌KTV,晋安区,东区/鼓山,5.0,周一至周日白场欢唱6小时+美食套餐,28,1047
悦界KTV,晋安区,东区/鼓山,4.9,周一至周日下午场欢唱6小时+茶水套餐,38,976
和谐自助KTV,晋安区,东区/鼓山,4.8,周一至周日白场6小时欢唱+美食茶水套餐,38,799
天天向上KTV,晋安区,世欧王庄,4.4,周一至周日晚场欢唱套餐+美食酒水套餐,178,626
乐透量贩KTV,晋安区,岳峰镇,5.0,周一至周日白场／夜猫场欢唱2选1,28,375
ABC-KKBOX主题量贩式KTV,晋安区,晋安区,5.0,周一至周日白场欢唱6小时+美食套餐,33,308
大名星量贩ktv,晋安区,晋安区,4.9,周一至周日欢唱5小时30分钟+美食饮料套餐,68,296
麦都量贩KTV（鼓山店）,晋安区,东区/鼓山,4.7,周一至周日白场/晚场欢唱+美食酒水套餐,268,136
曼哈顿量贩KTV,晋安区,火车站,4.5,白场周一至周日欢唱6小时+美食套餐,68,91
布拉格自助KTV（秀峰店）,晋安区,五四北,5.0,白天场 / 晚场 / 午夜场3选1+老百威套餐,398,65
大地飞歌自助ktv,晋安区,东区/鼓山,4.6,18:30-02:00欢唱7·5小时+12瓶雪津皮尔森套餐,168,27
天颂ktv,连江县,万家城市广场,5.0,周一至周日下午场欢唱5小时30分钟,59,1269
天上人间歌城,连江县,连江,4.7,周一至周日晚场欢唱6小时+美食酒水套餐,198,325
