商家,区域,商圈,星级,服务,价格,销量
龍至尊爱尚主题量贩KTV,工业园区,娄葑镇,5.0,白天档/凌晨档3小时欢唱,19,15956
南国唛田主题量贩KTV（园区店）,工业园区,娄葑镇,5.0,下午档欢唱3小时+免费小吃套餐,49,6525
麦8量贩ktv（园区店）,工业园区,星海国际广场,5.0,全天时段3选1欢唱,19.9,2206
嗨秀派对KTV（园区店）,工业园区,左岸商业街,4.9,白天档7小时/黄金档4小时/午夜档5小时欢唱套餐,28,1790
星晨量贩KTV,工业园区,青剑湖跨塘,4.1,19:00~00:00欢唱5小时+酒水套餐,198,1124
卡秀纯K主题KTV（胜浦店）,工业园区,胜浦,5.0,周一至周日下午场/夜猫场欢唱,38.8,946
星聚会KTV（园区店）,工业园区,左岸商业街,5.0,下午场/夜猫场包段欢唱2选1+小吃套餐,78,826
东方之珠量贩KTV,工业园区,李公堤,5.0,周一至周日东方之珠全天档欢唱酒水套餐,128,510
聚精品派对式KTV,工业园区,圆融时代广场,5.0,19:00-05:00黄金档3小时欢唱+啤酒超值套餐,98,466
金紫薇KTV,工业园区,联丰广场,4.5,夜间场欢唱套餐,198,339
夜苏舟.唱吧（东城店）,工业园区,娄葑镇,5.0,白天档6小时欢唱+小吃套餐,19.9,160
风暴量贩KTV,工业园区,联丰广场,4.9,欢唱+酒水美食套餐,168,55
宝乐迪量贩式KTV（金沙广场店）,工业园区,青剑湖跨塘,4.8,全时段欢唱,58,58
凯歌时尚KTV（唯亭店）,工业园区,唯亭,5.0,超值白天档欢唱,39.9,49
AK主题式量贩KTV,工业园区,圆融时代广场,5.0,周日至周四黄金档欢唱,198,34
锋尚量贩KTV,工业园区,青剑湖跨塘,4.4,13:00~18:00时段5小时欢唱套餐,99,13
爱尚铜锣湾KTV,吴中区,吴中区,4.7,23:00-05:00午夜档欢唱+酒水套餐,69,97
凯歌时尚KTV（月亮湾店）,吴中区,月亮湾,4.9,学生党下午场欢唱,29.9,97
歌弟主题KTV（湟嘉7号）,吴中区,胥口镇/穹窿山,4.7,3小时欢唱券+啤酒小吃套餐,188,67
凯歌时尚KTV（甪直店）,吴中区,甪直古镇,5.0,超值白天档欢唱,48,53
卡秀量贩式KTV,吴中区,吴中区,3.4,周一至周日黄金档欢唱+小吃套餐,108,28
龙门商务量贩ktv,吴中区,甪直古镇,4.7,周一至周日黄金档酒水欢唱,168,14
大明宫量贩ktv,吴中区,苏苑/长桥街道,3.5,周一至周日白天档/午夜档欢唱6小时+酒水小食套餐,128,10
江山音乐广场,吴中区,甪直古镇,4.2,白天档和黄金档欢唱套餐,48,0
一代娱乐 国际会所,吴中区,吴中区,4.0,周一至周日VIP包欢唱酒水套餐,2880,0
优乐迪KTV,张家港市,金港镇,4.7,阳光场6小时欢唱套餐,9.9,11032
钻石钱柜歌城量贩式,张家港市,杨舍镇,4.9,下午档6小时欢唱套餐,19.8,3302
宝乐迪量贩KTV,张家港市,金港镇,4.8,周一至周日下午档6小时欢唱券,49,2387
优乐迪KTV,张家港市,杨舍镇,5.0,周一至周日6小时欢唱券,19.8,1530
伯爵2号主题氧吧ktv,张家港市,杨舍镇,5.0,周一至周日全天档欢唱券,29,989
