商家,区域,商圈,星级,服务,价格,销量
简约派对KTV,碑林区,太乙路,5.0,周一至周日欢唱时段3选1,39.9,11316
好声音时尚KTV,碑林区,李家村,5.0,周一至周日欢唱时段2选1,48,9683
新声代KTV（立丰国际店）,碑林区,立丰国际,4.8,下午场/午夜场时段2选1欢唱,59,8361
Max量贩KTV,碑林区,南稍门,5.0,周一至周日13:00-06:00任选3小时欢唱+套餐,188,4557
魔方KTV（西大街店）,碑林区,广济街,5.0,阳光场/午夜场6小时或黄金场2小时欢唱+酒水套餐,68,4481
欢乐迪音乐氧吧（东关店）,碑林区,东关正街,5.0,阳光场/午夜场6小时欢唱+套餐,69,4429
糖潮KTV（李家村万达店）,碑林区,李家村,5.0,周一至周日阳光场/夜猫场2选1欢唱+小吃饮品套餐,48,2717
新声代KTV（兴正元广场店）,碑林区,钟楼/鼓楼,4.5,周一至周日下午场/午夜场欢唱2选1,36,2671
纯k魔方（纯K魔方太乙路店）,碑林区,太乙路,5.0,周一至周日欢唱时段2选1套餐,29,2118
悦豪KTV（和平路店）,碑林区,和平门/建国门,5.0,周一至周日下午场/黄金场/夜猫场时段3选1欢唱+酒水套餐,428,1720
V-SHOW主题KTV（省体育场店）,碑林区,长安立交,5.0,小包4小时欢唱+小吃套餐,78,1036
V SHOW主题KTV（粉巷店）,碑林区,广济街,5.0,周一至至周日下午场任选4小时欢唱+小吃套餐,108,905
IDO纯K,碑林区,广济街,4.6,周一至周日时段3选1欢唱套餐,39.9,343
火吧PTV西安1号店,碑林区,碑林区,5.0,12:00-17:00欢唱3小时+休闲套餐,59,184
真爱范特西KTV（交大店）,碑林区,交大/理工大,5.0,爱在一起欢唱套餐,217,141
真爱KTV（旗舰店）,碑林区,长安立交,5.0,欢唱3小时+套餐,217,109
途歌录音棚,碑林区,南稍门,5.0,个人独唱/朗诵录制（电子版）,150,75
那些年KTV,碑林区,李家村,4.4,周一至周日阳光场3小时欢唱套餐,38,65
滚石乐生活,碑林区,互助路立交,5.0,周一至周日全天任意时段3小时欢唱套餐,298,19
凯曼纯k,碑林区,南稍门,3.5,周一至周日下午场小包欢唱套餐,68,15
塞纳时光私享影院,碑林区,钟楼/鼓楼,5.0,黄金档欢唱3小时,288,0
Muma轰趴馆聚会吧桌游吧生日聚会（顶屋别墅旗舰店）,雁塔区,小寨,5.0,周五到周日400平米6小时轰趴,1588,0
酷爱KTV量贩,莲湖区,西大街,5.0,下午场6小时欢唱+小吃/午夜场7小时欢唱券,39,17886
新穿悦量贩KTV,莲湖区,莲湖区,5.0,周一至周日欢唱套餐2选1+小吃饮品套餐,69,9476
天辰ktv,莲湖区,汉城路沿线,5.0,欢唱时段3选1,78,8858
快乐迪KTV,莲湖区,西大街,5.0,大爱K歌欢唱时段三选一,49,8142
魔方KTV（北关店）,莲湖区,北关正街,5.0,周一至周日下午场6小时欢唱套餐,48.8,6537
悦宫量贩KTV（桃园南路店）,莲湖区,莲湖区,4.1,黄金场/阳光场/午夜场3选1欢唱+酒水套餐,98,1810
星歌派对量贩KTV,莲湖区,大兴新区,4.8,周一到周日阳光场/黄金场/午夜场欢唱+套餐,158,1654
麦霸纯k,莲湖区,红庙坡,5.0,周一至周日下午场/黄金场/夜猫场3选1欢唱+小吃饮品套餐,198,1595
迷笛主题KTV,莲湖区,大兴新区,5.0,周一到周日阳光场欢乐5小时,68,681
魔方KTV（玉祥门店）,莲湖区,莲湖区,4.8,阳光场6小时欢唱小吃套餐,46.8,473
魔方KTV（西稍门西旺店）,莲湖区,西稍门,4.8,3小时阳光场,26.8,462
欢乐迪音乐氧吧（北关店）,莲湖区,北关正街,5.0,时段3选1欢唱+精美套餐,168,259
72号商务区ktv,莲湖区,西稍门,3.9,欢乐阳光场3小时欢唱+套餐,99,101
迷笛KTV小火锅,莲湖区,大兴新区,5.0,4人套餐，提供免费WiFi,298,80
纯K（西安店）,未央区,未央路,5.0,周一至周日全天任选3小时欢唱+酒水小吃套餐,370,546
观糖KTV,未央区,红旗厂,5.0,周一至周日下午场欢唱套餐,68,485
嗨翻天KTV,未央区,三桥,4.6,黄金场3小时纯欢唱+酒水美食套餐,168,435
新歌汇量贩式KTV,未央区,辛家庙,4.1,周一至周日时段2选1欢唱+饮品套餐,98,253
海蓝天KTV,未央区,北大学城,5.0,周一至周四下午场任选2小时欢唱套餐,19.9,219
宝乐迪量贩式KTV（文景路店）,未央区,文景路,5.0,周一至周日欢唱时段3选1,88,170
青果主题KTV,未央区,北大学城,4.4,阳光场5小时欢唱,58,123
真爱KTV（经开店）,未央区,未央路,5.0,欢唱3小时+套餐,217,109
汉宫音乐火吧,未央区,城市运动公园,5.0,6人欢唱10小时+酒水美食套餐,298,83
嘉贝年华KTV,未央区,未央区,5.0,周一至周日时段3选1欢唱+小吃饮品套餐,228,63
伯爵会所KTV（原太阳神KTV）（凤城二路店）,未央区,未央路,4.0,12:00-20:00欢唱8小时+豪华酒水小吃套餐,636,0
悦豪KTV（万和城购物中心店）,新城区,胡家庙,5.0,周一至周日23:30~07:00欢唱+小吃饮品套餐,88,11402
GOGO HAPPY（东大街店）,新城区,东大街,4.5,周一至周日时段3选1欢唱+酒水小吃套餐,188,2582
星浪量贩ktv,新城区,新城区,5.0,阳光场/午夜场时段2选1欢唱+酒水,68,449
滨江桌球会所,新城区,民乐园,5.0,小包欢唱套餐A,88,18
HAPPY MUSE主题KTV（灞桥店）,灞桥区,纺织城,5.0,下午场/午夜场欢唱2选1+饮品小吃套餐,58,7556
唛田纯K,灞桥区,白鹿原,5.0,下午场1小时欢唱套餐,9.9,6489
海王星量贩KTV,灞桥区,田洪正街,4.0,周一至周日下午场/黄金场欢唱时段2选1,9.9,3548
丽歌烤吧KTV,灞桥区,纺织城,5.0,欢唱时段2选1+酒水小吃套餐,68,3075
乡音量贩KTV,灞桥区,灞桥火车站,4.6,全天任意时段4小时欢唱+套餐,198,1887
畅享KTV,灞桥区,纺织城,5.0,周一至周日下午场/午夜场欢唱时段2选1,58,1647
魔之方ktv,灞桥区,白鹿原,4.3,阳光场欢唱3小时,18.8,1173
金柜KTV,灞桥区,田洪正街,4.8,周一至周日13:00至19:00 任选4小时欢唱套餐,58,933
纯K魔方,灞桥区,长乐坡,5.0,周一至周日欢唱时段2选1+饮品小吃套餐,58,876
巢歌ktv,灞桥区,十里铺,3.9,通宵套餐,128,838
银座量贩式KTV,灞桥区,白鹿原,4.9,周一至周日下午场/黄金场欢唱套餐二选一,68,595
