商家,区域,商圈,星级,服务,价格,销量
歌迷量贩KTV（贵阳中华店）,云岩区,喷水池,5.0,4小时白天场+果盘小吃套餐,25,20127
欢唱KTV（富水北路店）,云岩区,富水北路,4.7,欢唱白天档7小时+饮品套餐A/B,28,8040
马可量贩KTV,云岩区,云岩广场,5.0,欢唱套餐 时段可选 PARTY包/大包+套餐A,88,6862
FACE纯K量贩式KTV（星力银海元隆广场店）,云岩区,北京路,5.0,黄金场+酒水美食套餐,368,3915
新天地音乐文化中心（宝山店）,云岩区,宝山北路,4.9,周一至周日白天场5小时套餐,9.9,2624
歌友汇,云岩区,贵开路,4.6,白天场中包欢唱+饮品美食套餐,58,2035
爱K音悦匯,云岩区,六广门,5.0,6小时黄金场+酒水美食套餐,428,1767
红馆纯k(汇金星力城店),云岩区,汇金星力城,4.9,周日至周四黄金场时段任意5小时欢唱+酒水套餐,298,813
新唱Man bar KTV（云岩广场店）,云岩区,云岩广场,5.0,黄金场6小时欢唱+酒水美食套餐,168,761
歌迷量贩KTV（旗舰店）,云岩区,黔灵公园,5.0,周一到周日欢唱+饮品套餐,39,647
丛林KTV,云岩区,云岩广场,4.3,8小时小包欢唱啤酒套餐,168,569
丛林KTV（迷你丛林KTV）,云岩区,小十字,4.2,8小时小包欢唱啤酒套餐,168,569
贵阳一夜party&ktv;,云岩区,中大国际购物中心,5.0,周一至周日白天场／午夜场热饮套餐,98,246
IND·悦堡KTV,云岩区,陕西路,5.0,7小时中包黄金场欢唱+美食酒水套餐,498,227
k歌之王,云岩区,浣沙路,5.0,周一至周日黄金场小房套餐,288,201
K歌PARTY主题量贩式KTV,云岩区,恒峰步行街,4.4,9小时黄金场+酒水小吃B套餐,300,105
微畅纯k,云岩区,未来方舟,5.0,白天场5小时欢唱+茶水套餐,69,27
尚辰量贩KTV（紫林庵店）,云岩区,云岩区,4.0,周一至周日黄金场／夜猫场套餐,188,9
欢唱KTV（花果园店）,南明区,花果园,4.6,欢唱时段2选1+小吃套餐,28,26450
新摇篮KTV（国鼎店）,南明区,遵义路,5.0,5小时白天场+小吃套餐,38,11104
领秀KTV（市南路店）,南明区,市南路,4.9,周一至周五12：00-18：00欢唱6小时+套餐A,9,10397
欢乐迪KTV,南明区,鸿通城,4.9,周一至周日白天场夜猫场二选一,38,7781
主唱纯k,南明区,花果园,5.0,6小时白天场中包+饮料美食套餐2选1,58,5926
方糖量贩式ktv（时代广场店）,南明区,大十字,5.0,白天场5小时欢唱+饮品美食套餐,45,5308
御歌苑量贩KTV（瑞金南路店）,南明区,河滨公园,4.6,白天场6小时欢唱+茶水美食套餐,38,4059
方糖KTV,南明区,博爱路,5.0,6小时白天场欢唱+茶水果盘套餐,29.9,3005
美秀纯k,南明区,南明区,5.0,周一至周日白天档欢唱6小时+饮品套餐A,48,2591
欢乐迪KTV,南明区,大十字,5.0,周一至周日白天档欢唱5小时+套餐A,22,1786
歌迷量贩KTV（瑞金店）,南明区,河滨公园,5.0,平日黄金场10小时欢唱+美食酒水A套餐,228,1783
好声音纯K,南明区,南明区,5.0,12小时黄金场欢唱+套餐A,258,1675
k迷音乐汇（花果园店）,南明区,花果园,5.0,黄金场小中包任选4小时欢唱+酒水美食套餐2选1,299,598
丛林KTV（丛林河畔KTV）,南明区,南明区,3.0,8小时小包欢唱啤酒套餐,168,569
凯奇主题量贩式KTV（元和店）,南明区,火车站,5.0,白天场欢唱6小时,39.9,493
ONE'K艺术空间KTV,南明区,南明区,5.0,黄金档欢唱任选6小时+酒水美食套餐,328,285
维唛饭饭式KTV,南明区,中华南路,4.9,黄金档/午夜档时段2选1欢唱6小时+美食套餐,168,180
新天地留声堡,南明区,都司路,5.0,白天场5小时套餐,9.9,163
华畅靓k（花果园店）,南明区,花果园,5.0,白天场欢唱+美食饮品套餐,58,125
樂酷量贩KTV,南明区,花果园,4.6,周一至周日黄金场套餐a,468,69
碧波数码歌城,南明区,南明区,3.4,周一至周日19:00-次日02:00欢唱7小时+套餐A 中包可用,248,17
歌时尚氧吧ktv,白云区,大山洞,5.0,周一至周日欢唱6小时+小吃套餐,38,1969
匚秀KTV,白云区,白云区,5.0,黄金场18:00~03:00欢唱9小时+酒水美食套餐,368,1753
新唱量贩式KTV,白云区,大山洞,4.7,周一至周日白天场欢唱6小时+小吃套餐,36,1011
凯旋门KTV（白云商学院分店）,白云区,白云区,4.9,周日至周四白天场5小时欢唱+小吃套餐,48,563
聚点（龚家寨街店）,白云区,贵铝中心,4.2,周一至周日黄金场/夜猫场+酒水小吃B套餐,208,451
星乐迪概念KTV量贩,白云区,大山洞,5.0,黄金场8小时欢唱+酒水小吃套餐,368,429
好声音量贩式ktv,白云区,白云区,5.0,周一至周五白天场欢唱6小时,9.9,367
借口ktv,白云区,贵铝中心,3.4,黄金场+酒水美食套餐,158,319
圣迪莎主题量贩ktv,白云区,白云公园,4.9,周一至周日黄金场7小时欢唱+酒水美食A套餐  限小包使用,298,135
加州红量贩KTV,乌当区,顺海,4.5,黄金场豪华大包酒水美食套餐,398,1531
乐哈哈KTV,乌当区,新添寨,4.2,[小包]欢唱8小时+酒水美食A套餐,198,47
新摇篮KTV（高新店）,乌当区,乌当区,5.0,黄金场欢唱+美食酒水B套餐,999,27
可乐8纯K,花溪区,小河-黔江路,4.7,周一至周日14:00 至 19:00 包段欢唱,29.9,3621
魔方纯k量贩式ktv,花溪区,花溪区,4.9,白天/午夜场2选1纯唱小包套餐,48,2085
午夜阳光ktv,花溪区,花溪区,4.4,周一至周日19:00-次日02:00欢唱7小时+套餐A 小包可用,198,1455
魔方KTV（老朝阳村店）,花溪区,朝阳村,4.1,6小时白天场纯唱,9.9,1075
好声音·量贩KTV,花溪区,花溪公园,4.6,白天/午夜场2选1纯唱套餐,58,887
I·SHOW爱秀KTV,花溪区,花溪区,5.0,白天场/夜猫场2选1套餐,68,871
畅响KTV（花溪店）,花溪区,花溪区,5.0,白天场欢唱6小时+饮料套餐,38,606
金澳斯KTV,花溪区,徐家冲,4.2,周一至周日小包白天档7小时欢唱,58,342
凯旋門量贩ktv（小吃街凯旋门KTV）,花溪区,花溪区,5.0,周一至周四白天场纯唱5小时,40,302
金百年KTV（小河店）,花溪区,小河-海纳广场,4.7,黄金档7小时欢唱+美食套餐,298,244
尚合国际,花溪区,花溪区,4.4,周一至周日白天场6小时欢唱+饮品套餐A,58,151
新太阳KTV,花溪区,十字街,3.5,黄金场小包套餐,188,51
好声音纯k（民族大学店）,花溪区,花溪区,4.1,周五至周日白天场套餐,38,45
high歌主题KTV,花溪区,花溪区,5.0,白天场小包6小时欢唱券+饮料,40,37
懿香叮量贩ktv,花溪区,花溪区,4.4,周一至周日午夜场3小时欢唱+啤酒D套餐,118,13
