商家,区域,商圈,星级,服务,价格,销量
遇见纯k,金水区,金水区,4.9,黄金场3小时啤酒小吃欢唱套餐,128,1091
朝歌量贩ktv,金水区,郑东新区CBD,5.0,下午场6小时欢唱套餐,58,1063
糖果纯k,金水区,科技市场/硅谷广场,5.0,下午场/夜猫场欢唱套餐,62,1020
钱柜至尊量贩式KTV（郑东新区店）,金水区,郑东新区CBD,4.5,4小时欢唱+酒水美食套餐,188,906
唱吧唛颂量贩KTV,金水区,东建材,5.0,下午场/黄金场/午夜场欢唱时段3选1+啤酒软饮套餐,128,869
自然空间纯k,金水区,陈寨/张家村,5.0,黄金场4小时欢唱啤酒套餐,218,783
开心时代KTV,金水区,财院/轻工业学院,4.9,中小包全天任选5小时欢唱+酒水套餐,78,757
东方金柜量贩式KTV（东明路店）,金水区,经三路沿线,5.0,东方金柜东明路店黄金场欢唱+啤酒套餐,228,737
米唱量贩ktv,金水区,龙子湖校区,5.0,下午场/午夜场时段2选1+A/B套餐任选,88,670
乐之港纯K,金水区,财院/轻工业学院,5.0,阳光场/午夜场欢唱+啤酒套餐,58,620
糖果量贩式ktv,金水区,陈寨/张家村,5.0,5小时阳光场中包欢唱+饮品套餐,29.9,615
唱响量贩式KTV,金水区,科技市场/硅谷广场,4.5,7小时下午场/7小时黄金场2选1欢唱券+美食套餐,98,533
橙子纯k,金水区,郑东新区东建材,5.0,中小包全天任选3小时欢唱+酒水套餐,198,509
喜喜麦克CICI MIC,金水区,金水区,5.0,全天任选5小时欢唱+酒水套餐,238,395
爱尚歌量贩式KTV（永恒店）,金水区,金水区,4.4,3小时阳光场中小包欢唱+饮品套餐,18.8,326
魔方纯Kparty,金水区,健康路/体育场,5.0,下午场/夜猫场欢唱任选+果汁套餐,38,259
豪门纯K,金水区,郑东新区东建材,4.8,下午场欢唱4小时+小吃套餐,48,236
东都ktv,金水区,龙子湖校区,4.9,4小时阳光场欢唱+小吃套餐,38,220
英伦量贩KTV,金水区,经三路沿线,4.5,周一至周日5小时欢唱券+啤酒套餐,58,179
格莱美ktv（国基路店）,金水区,沙门/汽配,5.0,下午场6小时欢唱饮品套餐,35,136
至尚纯K,金水区,金水区,4.8,下午场3小时/午夜场6小时欢唱,26,134
都唛量贩式ktv,金水区,龙子湖校区,5.0,周日至周四午夜场7小时欢唱+果汁套餐,68,79
圣诞树ktv,金水区,金水区省政府,3.9,圣诞树KTV下午场欢唱套餐+小吃套餐,38,53
锦绣大地ktv（金水路店）,金水区,大石桥,3.9,夜场中包,88,49
乐海汇KTV,金水区,财院/轻工业学院,4.7,下午场/午夜场6小时欢唱啤酒套餐,58,41
