商家,区域,商圈,星级,服务,价格,销量
凯乐汇量贩式KTV（凯乐汇KTV）,沙坪坝区,天星桥,5.0,下午场4.5小时欢唱券,10,16003
帝豪·派谱娱乐KTV（沙坪坝融汇店）,沙坪坝区,烈士墓,5.0,周一至周日19:00-02:00欢唱+啤酒套餐,288,3276
台北k8,沙坪坝区,大学城,5.0,下午场13：00-17:30包段欢唱+饮品小吃套餐,48,3074
地盘KTV量贩式氧吧,沙坪坝区,三峡广场,4.7,下午档欢唱5小时+小吃套餐,24,2682
畅爽ktv,沙坪坝区,大学城,4.7,欢唱5小时+小吃套餐,38,2191
喜约派对沙坪坝店（原好乐迪重师店）,沙坪坝区,三峡广场,4.9,周一至周日黄金场任选4小时欢唱+酒水套餐,138,1820
金乐迪量贩式KTV（大学城店）,沙坪坝区,大学城,4.9,周一至周五下午场小包6小时欢唱券+小食套餐,68,1533
欢乐迪KTV（萌秀）,沙坪坝区,三峡广场,5.0,周一至周日黄金场8小时欢唱套餐,158,1116
热潮KTV,沙坪坝区,小龙坎,5.0,周年庆下午场欢唱4小时欢唱+小吃套餐,38,653
阿凡迪ktv,沙坪坝区,大学城,4.5,下午场欢唱5小时+酒水小吃套餐,59,646
夜炫KTV（小龙坎店）,沙坪坝区,小龙坎,4.4,欢唱6小时+酒水套餐,98,492
澳龙KTV,沙坪坝区,小龙坎,4.6,黄金场包段8小时欢唱+酒水豪华套餐,198,485
歌美帝量贩ktv,沙坪坝区,大学城,5.0,周一至周日下午场欢唱5小时+小食套餐,48,453
醉江南k歌洗浴,沙坪坝区,三峡广场,5.0,醉美江南K歌音乐主题SPA,268,450
GALAPARK复合式K.BAR（三峡广场店-原欢乐迪品牌升级）,沙坪坝区,三峡广场,5.0,下午场欢唱6小时+饮品小吃,58,464
千汇KTV,沙坪坝区,大学城,4.5,晚场欢唱7小时+酒水套餐,138,408
阿玛尼量贩KTV,沙坪坝区,大学城,4.7,黄金场欢唱7小时+酒水套餐,128,367
纯K2012,沙坪坝区,大学城,5.0,周一到周五下午场小包5小时欢唱,58,323
新摇篮KTV（双碑店）,沙坪坝区,双碑,5.0,白天5小时/凌晨4小时（小包/中包）,29,292
欢乐颂量贩ktv（双碑店）,沙坪坝区,双碑,5.0,下午场13：00-18：00小中包欢唱5小时+小吃饮品,38,290
K歌之王重庆旗舰店,渝北区,中渝广场,5.0,周日至周四12：00至05：00欢唱3小时+水果套餐,398,35
魔方KTV,渝北区,黄泥塝,5.0,黄金场欢唱8小时+套餐2选1,148,35
海歌ktv,渝北区,回兴,4.3,周一至周日13:00-18:00欢唱5小时,38,24
华辰国际娱乐总汇,渝北区,空港新城,3.5,黄金场中小包7小时欢唱套餐+酒水套餐,1196,1
星光欢乐迪氧吧KTV（跃华新都店）,九龙坡区,杨家坪,5.0,周一至周日13:00-18:00包段5小时欢唱+果盘饮品套餐,73,16616
欢乐迪KTV（石桥铺渝高店）,九龙坡区,石桥铺,5.0,周日至周四19:00至次日03:30包段8小时欢唱套餐,178,5284
台北星光88KTV,九龙坡区,巴国城,4.8,黄金场包段8小时欢唱+酒水小吃套餐2选1,138,3395
帝豪·派谱娱乐KTV（万象城店）,九龙坡区,万象城,5.0,周一至周日19:00-02:00欢唱+啤酒套餐,288,3276
天界纯K（石桥铺店）,九龙坡区,石桥铺,5.0,周一至周日任选欢唱8小时,158,2200
帝都量版KTV,九龙坡区,石桥铺,4.6,黄金场欢唱7小时+酒水套餐,198,1441
首席PTV-KTV,九龙坡区,谢家湾,5.0,黄金场欢唱4小时+酒水小吃套餐,209,1241
大自然量贩式KTV,九龙坡区,杨家坪,5.0,周一至周日黄金场8小时欢唱+套餐3选1,158,1092
星玛泰主题ktv,九龙坡区,巴国城,5.0,小包黄金场7小时欢唱+酒水小吃套餐,118,903
诺丁山328娱乐会所,九龙坡区,石桥铺,4.9,下午场4个半小时欢唱,9.9,815
欢乐迪KTV（袁家岗城上城店）,九龙坡区,袁家岗,5.0,周一至周日下午场欢唱5小时+饮品小吃,34,760
欢乐迪KTV（杨家坪桃源店）,九龙坡区,杨家坪,5.0,周一至周日13：00-18：00欢唱5小时+饮品小吃,44,725
帝苑KTV,九龙坡区,开发区,5.0,下午场欢唱5小时+小吃套餐,39,628
银乐迪量贩式KTV（盛仁汇店）,九龙坡区,杨家坪,4.8,周一至周五下午档6小时欢唱券,9.9,630
麦八黑汽车主题ktv,九龙坡区,开发区,5.0,黄金场欢唱7小时+酒水小吃套餐,98,479
天界纯k（白市驿店）,九龙坡区,九龙坡区,5.0,周一至周五下午场欢唱5小时,78,289
龙豪国际商务KTV,九龙坡区,杨家坪,3.8,周一至周日黄金场欢唱7小时+酒水小吃套餐,128,279
星月歌城,九龙坡区,杨家坪,3.9,周一至周日13:00-18:00欢唱5小时+酒水小吃套餐,39,129
星玛泰主题ktv（华福店）,九龙坡区,九龙坡区,3.6,周一至周四小包黄金场7小时欢唱+酒水小吃套餐,118,112
雲鼎国际娱乐会所,九龙坡区,巴国城,4.3,黄金场包段欢唱+ A休闲套餐,138,99
星玛泰主题ktv（和泓四季店）,九龙坡区,九龙坡区,5.0,周六至周日下午场4个半小时欢唱+茶水小吃,30,69
皇佳国际娱乐城,九龙坡区,巴国城,5.0,黄金档欢唱7小时,78,63
嗨玩酒吧（石桥铺石桥广场店）,九龙坡区,石桥铺,4.8,黄金时段K歌8小时+酒水套餐（18:00-02:00）,298,32
星玛泰主题ktv（华庆路店）,九龙坡区,九龙坡区,4.2,周一至周日中包黄金场7小时欢唱+酒水小吃套餐,138,33
同乐汇ktv,九龙坡区,石桥铺,3.6,黄金场欢唱7小时+酒水套餐,198,15
男孩女孩KTV,九龙坡区,开发区,3.9,周一至周日黄金场欢唱7小时+酒水套餐,168,12
永乐会KTV,九龙坡区,开发区,3.5,黄金场欢唱7小时+酒水套餐,1280,0
畅响娱乐会所KTV,南岸区,回龙湾,3.9,黄金场7小时欢唱+酒水小吃套餐,148,53
北纬9度,南岸区,弹子石,4.3,黄金场小包欢唱7小时+酒水套餐,188,45
新濠会KTV（K歌王）,南岸区,回龙湾,3.8,大包黄金场6小时欢唱+酒水小吃套餐,288,21
天使城KTV,南岸区,南坪,3.7,黄金场7小时欢唱+酒水套餐,108,21
欧若拉KTV,南岸区,南岸区,4.1,黄金场欢唱7小时+酒水小吃套餐,158,16
新青年私人订制主题KTV,南岸区,南坪,4.1,白金会员大包专属黄金场10小时欢唱+酒水小吃套餐,688,5
久爱公馆商务KTV,南岸区,南坪,4.0,黄金场7小时欢唱+酒水套餐,380,1
水兵KTV,南岸区,黄桷垭/南山,3.8,小包下午场5小时欢唱,58,1
亚洲永利会,南岸区,南滨路,3.5,超值代金劵,5000,0
阿卡迪亚商务ktv,南岸区,南岸区,3.0,代金劵,1280,0
红雨伞歌城,南岸区,南坪,3.5,黄金场19:00-次日02:00欢唱7小时+酒水小吃套餐,158,0
时光隧道,万州区,高笋塘/白岩路,5.0,下午场欢唱6小时+啤酒小吃套餐,59,6535
纯k时光氧吧自助式ktv（重百店）,万州区,高笋塘/白岩路,5.0,下午场欢唱7小时,49,4632
纯k时光氧吧自助式ktv（北山店）,万州区,北山,5.0,下午场欢唱7小时,49,4632
babyK主题量贩式KTV,万州区,万达广场/移民广场,5.0,黄金场8小时欢唱+酒水套餐,188,3763
积佳ktv,万州区,五桥,5.0,下午场欢唱6小时+美食套餐,65,3318
星皇会所,万州区,万达广场/移民广场,5.0,下午场欢唱5小时+小吃套餐,40,2028
天方夜谈,万州区,北山,5.0,下午场欢唱6小时+小食套餐,40,1191
夜金彩ktv,万州区,高笋塘/白岩路,5.0,欢唱6小时+酒水套餐,68,748
酷歌派对空间KTV,万州区,万达广场/移民广场,5.0,下午场5小时欢唱+饮品小吃套餐,48,343
东方神韵娱乐会所,万州区,五桥,4.8,欢唱7小时+酒水套餐,188,155
天尚娱乐会所,万州区,周家坝/兴茂,3.9,黄金场欢唱7小时+酒水套餐,384,7
多乐迪KTV,合川区,大学城,5.0,周一至周日下午场小包5小时欢唱券,48,4093
欢乐迪KTV（合川宝龙店）,合川区,合川,5.0,周一至周日下午场5小时欢唱,48,2345
新西南KTV（缤果店）,合川区,大学城,5.0,周一至周日中包5小时欢唱,60,1334
星颂ktv,合川区,合川,5.0,周一至周日13:00-18:00阳光场5小时欢唱套餐,38,1256
新西南KTV（金马广场店）,合川区,合川,5.0,周一至周日小包5小时欢唱,48,459
景鸿Ktv,合川区,久长步行街,4.4,周一至周日下午场4小时欢唱套餐+饮料,28,454
欣座KTV,合川区,大学城,4.6,小包黄金场任选3小时欢唱+啤酒套餐,88,268
皇家壹號ktv,合川区,合川,4.1,黄金场19：00-02:00欢唱8小时,88,42
午夜阳光KTV,合川区,久长步行街,4.1,下午场5小时欢唱,38,33
