商家,区域,商圈,星级,服务,价格,销量
印象KTV（前进大街店）,朝阳区,南湖公园,5.0,欢唱3小时+美食套餐,136,18410
红堪KTV（豪华店）,朝阳区,桂林路,5.0,白天/晚场2选1欢唱+美食套餐,79,14885
帝秀KTV（辽宁路店）,朝阳区,朝阳区,5.0,全天时段欢唱3小时套餐,188,10689
红堪量贩式KTV（Style店）,朝阳区,桂林路,5.0,红堪style店,4,8194
红堪KTV（公爵时代店）,朝阳区,红旗街,5.0,阳光场欢唱3小时+美食套餐,198,5315
牛仔酷（菲芘店）PTV,朝阳区,桂林路,5.0,欢唱时段3选1套餐,6,3796
星座KTV（宽平大桥店）,朝阳区,红旗街,5.0,阳光场4小时欢唱+酒水套餐,19.9,3543
金港KTV,朝阳区,重庆路,4.9,欢唱套餐,39,3343
牛仔酷录音棚量贩式ktv,朝阳区,朝阳桥,5.0,限时礼包全天通用2小时欢唱+酒水套餐,188,2694
欢乐迪KTV,朝阳区,重庆路,5.0,任选3小时欢唱,46.9,2322
红堪量贩式KTV（伯爵店）,朝阳区,朝阳区,5.0,欢唱时段2选1+饮品小吃套餐,79,1850
唱吧麦颂ktv（长春欧亚商都乐活里店）,朝阳区,红旗街,5.0,周一至周日全时段欢唱,10,885
夜色时尚KTV（宽平大街店）,朝阳区,湖西路,4.0,阳光场不限时欢唱套餐,9.9,229
酷乐KTV,朝阳区,建设街,4.2,4人黄金场4小时欢唱+酒水套餐A,198,20
私人订制ktv（巴黎春天百货店）,朝阳区,红旗街,5.0,白天场欢唱2小时+酒水套餐A,48,27
音浪录音棚,朝阳区,红旗街,5.0,单人精录歌曲一首套餐,288,10
印象KTV（湖西路店）,绿园区,绿园区,5.0,欢唱3小时+美食套餐,136,18410
莎啦啦ktv（中海凯旋门店）,绿园区,绿园区,5.0,全天通用欢唱3小时+酒水套餐B,135.9,1282
盛乐尊KTV,绿园区,锦江广场/电影城,4.9,全天2小时欢唱套餐,38,808
海天之恋ktv（皓月大路店）,绿园区,绿园区,4.5,周一至周日3小时欢唱+酒水套餐,158,261
海天之恋（正阳街店）,绿园区,绿园区,5.0,周一至周日3小时欢唱+酒水套餐,158,261
魔方KTV,绿园区,绿园区,3.5,11:00-18:00欢唱2小时+美食套餐,72,78
巅锋KTV,绿园区,绿园区,4.8,日场欢唱5小时+酒水套餐,128,14
星座KTV（住邦城市广场店）,宽城区,宽城区,5.0,全天3小时欢唱套餐,169,4250
欢乐迪KTV（长新街店）,宽城区,宽城区,5.0,全天套餐,88,2268
欢乐迪量贩式KTV（一匡店）,宽城区,一匡街,5.0,阳光场3小时欢唱,9.9,1462
好声音KTV,宽城区,宽城区,4.9,小包欢唱3小时+酒水套餐,128,1021
小巨蛋量贩式ktv,宽城区,一匡街,5.0,2小时欢唱券+精品小吃套餐,168,780
汇乐迪KTV,二道区,东盛,5.0,汇乐迪欢唱3小时+酒水套餐,88,5613
印象KTV（东环城旗舰店）,二道区,二道区,5.0,欢唱1小时,5,3928
麦乐纯k,二道区,二道区,5.0,周一至周日1小时欢唱,3,2138
帝秀KTV（上东店）,二道区,东盛,5.0,周一至周日白天场欢唱3小时,8.8,666
首席纯K量贩KTV,二道区,二道区,5.0,小包日场欢唱2小时,8.9,467
领秀时尚量贩式KTV,二道区,东盛,4.3,夜场小包欢唱,48,255
帝乐KTV（安乐路店）,二道区,东盛,5.0,阳光场欢唱12小时,18,238
金酷KTV（吉林大路店）,二道区,东盛,3.7,欢唱套餐,19.9,40
乐透纯k,二道区,东盛,4.5,日场欢唱1小时,2,22
私人订制KTV（二道店）,二道区,东盛,5.0,全天欢唱2小时+酒水套餐A,198,2
盛世华庭-宝乐迪量版式KTV,双阳区,双阳区,4.2,周一至周日白天档阳光场小包欢唱3小时+酒水套餐,59.9,42
盛世华庭ktv,双阳区,双阳区,4.0,全天场198,198,39
