商家,区域,商圈,星级,服务,价格,销量
温莎KTV（五一广场店）,芙蓉区,五一广场,5.0,周一至周日欢乐时光/星乐时光2选1全时段欢唱,56,38668
新麦客量贩KTV（精彩店）,芙蓉区,晚报大道,5.0,下午场/晚晚场2选1包场欢唱,58,11821
歌迷量贩ktv（五一广场店）,芙蓉区,五一广场,5.0,下午场/午夜场2选1欢唱券+美食套餐,59.9,8957
水晶石量贩KTV,芙蓉区,汽车东站,5.0,下午场/晚晚场2选1欢唱5小时,48,6281
芒果KTV量贩,芙蓉区,马王堆,5.0,小包/迷你包下午场晚晚场2选1,48,3112
乐够量贩KTV（长沙大润发店）,芙蓉区,芙蓉区,5.0,4小时欢唱+美食套餐,258,2997
弗洛KTV（VIP店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,下午场/晚晚场欢唱2选1+茶水套餐,58,2452
新起点量贩KTV,芙蓉区,人民中路/朝阳路/融圣国际,4.8,下午场/晚晚场2选1欢唱+爆米花1份,28,1825
麦旋风ktv（银港水晶城店）,芙蓉区,马王堆,4.3,周一至周日正晚场欢唱+酒水小吃套餐,198,1471
欢歌量贩KTV,芙蓉区,袁家岭/火车站,4.7,小包下午场/午夜场欢唱2选1,28,1058
微歌互联网KTV（长沙旗舰店）,芙蓉区,芙蓉区,5.0,白场欢乐时段欢唱8小时＋茶水套餐,38,999
快乐王朝,芙蓉区,湖南农业大学,5.0,周一至周日下午场/晚晚场2选1,38,263
魔音KTV,芙蓉区,湖南农业大学,5.0,下午场4小时欢唱+小吃套餐,38,248
咖麦量贩式ktv,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,欢唱6小时＋A套餐（下午场）,48,199
嗨歌量贩KTV,芙蓉区,汽车东站,5.0,下午场/晚场2选1欢唱套餐,19,148
堂会（自助餐）KTV（开福店）,开福区,松桂园,5.0,周一至周日17:00~20:00欢唱3小时+自助餐单人券,58,27287
新麦客量贩KTV（乐和城店）,开福区,中山亭/乐和城,5.0,下午场/晚晚场2选1包场欢唱,58,11821
天麦主题式量贩KTV,开福区,珠江花城/万国城,4.8,下午场/晚晚场包段6小时欢唱,38.8,10912
乐够量贩KTV（长沙世纪金源店）,开福区,湘江世纪城,5.0,4小时欢唱+美食套餐,258,2997
挑麦量版KTV（四方坪店）,开福区,四方坪,4.8,新正晚场欢唱套餐,148,2637
华悦量贩KTV,开福区,伍家岭,5.0,黄金正晚场欢唱套餐+酒水套餐,128,2381
云鼎量贩式KTV（四方坪店）,开福区,四方坪,5.0,下午场或午夜场2选1欢唱套餐,38,2007
蓝岛量贩式KTV,开福区,湘江世纪城,5.0,周一至周日黄金场欢唱套餐,158,1663
大秀歌量贩ktv（开福万达广场店）,开福区,开福万达广场,5.0,黄金场欢唱美食套餐,119,898
红麦量贩KTV,开福区,中山亭/乐和城,4.1,阳光场套餐,28.8,753
华夏好声音KTV,开福区,烈士公园,5.0,下午场/晚晚场欢唱2选1+酒水套餐,38,385
畅通量贩式ktv,开福区,开福区,4.9,下午场欢唱6小时,58,79
琴天KTV（洪山桥店）,开福区,月湖公园/长沙大学,4.3,周一至周日晚场欢唱6小时,128,71
8090KTV,开福区,月湖公园/长沙大学,5.0,小中包黄金场酒水套餐,148,67
凯迪音乐茶吧,开福区,四方坪,3.5,凯迪音乐茶吧KTV黄金场套餐,128,6
烟坡休闲山庄,开福区,开福区,3.5,大套间KTV欢唱套餐,200,0
娱歌氧吧量贩KTV,岳麓区,涉外经济学院,4.2,下午场欢唱5小时＋茶水套餐,48,134
新猫咪量贩ktv,岳麓区,汽车西站,4.8,黄金晚场欢唱6小时+酒水套餐,128,49
爱之巢量贩主题ktv,岳麓区,涉外经济学院,5.0,黄金场欢唱5小时＋酒水美食套餐,248,34
湘味烧烤（驻领唱量贩ktv分店）,岳麓区,观沙岭/茶子山,3.5,聚会，建议5-10人使用,398,0
嗨乐量贩KTV（望城店）,望城区,望城区,5.0,周一至周日18:00-24:00欢唱5小时,98,5095
D6区量贩ktv,望城区,望城区,5.0,下午场13:00-18:00欢唱5小时,28,2666
好声音ktv量贩,望城区,望城区,5.0,下午场晚晚场套餐,29,2371
歌门纯k,望城区,望城区,5.0,周一至周日13:00-18:00欢唱6小时+爆米花,36,514
联诚华天酒店KTV,望城区,望城步行街,4.6,黄金正晚场/下午场欢唱+酒水美食套餐,388,188
五啸KTV（望城店）,望城区,望城区,4.3,周一至周日18:00-00:00欢唱6小时+酒水套餐,178,68
丽莎KTV量版,浏阳市,淮川街道,4.5,5小时13:00-18:00包段欢唱券,19.9,5047
铂金汉宫KTV,浏阳市,淮川街道,4.6,下午场/黄金正晚场二选一欢唱套餐+啤酒畅饮套餐,188,2631
