商家,区域,商圈,星级,服务,价格,销量
乐万家KTV（鞍山路店）,市北区,市北家乐福,5.0,黄金档欢唱1小时或美食套餐,19,3936
大家乐量贩式KTV（大院店）,市北区,台东步行街商圈,5.0,白天档2小时欢唱,29,2878
MAST一站式俱乐部（射箭台球KTV俱乐部）,市北区,科技街,5.0,周一到周日3小时欢唱套餐,39,950
ALLSTAR全明星主题量贩式ktv（迪安娜店）,市北区,市北家乐福,5.0,午夜档周一到周日五小时欢唱+酒水小吃套餐,88,909
星期八量贩式KTV,市北区,台东步行街商圈,4.4,周一至周日黄金档1小时欢唱,32,888
V-SING威森主题量贩KTV,市北区,万达CBD,5.0,全天档3小时欢唱+小食套餐,98,432
帝标量贩式KTV,市北区,万达CBD,4.6,周一至周日阳光场欢唱2小时,19.9,132
凯歌美量贩式KTV,市北区,市北家乐福,5.0,黄金档3小时欢唱,98,110
大家乐量贩式KTV（汉口路店）,市北区,市北家乐福,5.0,下午档3小时欢唱+饮品小吃套餐,58,23
K姿主题量贩KTV,市南区,麦凯乐,5.0,全天时段3选1欢唱3小时+美食套餐,39,16007
麦度ktv（中联广场店）,市南区,中联广场,5.0,全天欢唱时段3选1,29,4304
NOBOBO纯K,市南区,闽江路,5.0,全天欢唱时段3选1,29.9,1277
格莱美量贩式KTV（宁夏路店）,市南区,镇宁桥,5.0,周一至周日全天免费欢唱3小时+超市现金券1张,128,1151
大家乐量贩式ktv（西城店）,市南区,火车站/团岛,5.0,白天档2小时欢唱,29,233
格莱美量贩式KTV（新会路店）,市南区,奥帆中心商圈,5.0,周一至周日白天档/午夜档欢唱套餐,29,101
格莱美量贩式KTV（奥帆旗舰店）,市南区,奥帆中心商圈,5.0,欢唱时段3选1+酒水美食套餐,199,36
星光大道KTV（即墨店）,即墨市,开发区,4.2,星光大道KTV   夜场酒水套餐,88,2652
钻石嘉年华音乐广场,即墨市,环秀街道,5.0,3小时欢唱+啤酒6瓶+2份小吃,48,1810
唐潮KTV,即墨市,即墨,4.8,白天场欢唱4小时套餐,68,1360
欢乐迪KTV,即墨市,即墨,4.3,周一到周五欢唱2小时,58,541
乐够音乐广场,即墨市,古城,4.8,周一至周日白天档欢唱3小时套餐,29,229
华林圣舞,即墨市,即墨,3.5,欢唱10小时+双人份海鲜大咖,228,3
枫城KTV,即墨市,即墨,3.5,欢唱代金券,80,0
