商家,区域,商圈,星级,服务,价格,销量
奈瑞儿塑身美颜（百花店）,禅城区,百花广场,5.0,面部保湿+肩颈放松双宠套餐,128,50722
银濠假日酒店沐足部,禅城区,恒福GO GO PARK,5.0,单人银濠沐足1次,68,14343
乐肤·科尔皮肤管理中心（佛山祖庙店）,禅城区,祖庙,5.0,单人控油补水面部套餐,30,9303
枫叶情沐足,禅城区,东方广场,5.0,单人全天沐足套餐,58,9232
咪咪专业脱毛连锁机构（百花广场店）,禅城区,百花广场,5.0,单人双腋下脱毛年卡+赠送比基尼上/侧/造型脱毛单次体验,99,8976
豪城沐足,禅城区,东方广场,5.0,单人金品沐足,55,5653
千足堂沐足城,禅城区,东方广场,5.0,单人养生保健沐足套餐,88,5289
足缘阁国际会所,禅城区,同济,3.6,时尚沐足套餐,59,4308
金御龙沐足,禅城区,石湾,4.3,单人专业足疗,50,4148
国汇沐足保健休闲会所,禅城区,季华园,5.0,单人养生沐足,58,4089
金城大酒店步云阁沐足中心,禅城区,祖庙,5.0,双人足浴套餐,110,4057
福生圆沐足休闲中心（季华五路店）,禅城区,同济,5.0,代金券,85,3307
芭顿美容美发spa,禅城区,东方广场,5.0,单人洗剪吹造型,39,2802
海怡阁休闲沐足中心,禅城区,祖庙,5.0,单人沐足套餐,88,2708
佛山 皇冠假日酒店康体中心,禅城区,祖庙,4.9,单人沐足80分钟,108,1861
奇效盲人按摩,禅城区,同济,5.0,中式筋络穴位推拿1小时单人套餐,62.9,1836
金御湾休闲（沐足城店）,禅城区,澜石,4.1,单人泰式沐足套餐,89,1737
瑶芳专业祛痘祛斑（佛山禅城店）,禅城区,东方广场,5.0,单人水光补水套餐2次,38,1623
阿华盲人按摩,禅城区,季华园,5.0,中式按摩＋拔罐／刮痧二选一单人套餐,53,1405
清颜堂专业祛痘祛斑（铂顿城店）,禅城区,百花广场,5.0,单人香港清颜堂面部去污毛孔洗澡净颜美容套餐2次,100,1390
清颜堂专业祛痘祛斑（季华店）,禅城区,同济,5.0,单人香港清颜堂面部去污毛孔洗澡净颜美容套餐2次,100,1390
清颜堂专业祛痘祛斑（东方店）,禅城区,东方广场,5.0,单人香港清颜堂面部去污毛孔洗澡净颜美容套餐2次,100,1390
火凤凰健康管理,禅城区,东建世纪广场,5.0,单人中式推拿,65,1350
专业修脚坊,禅城区,禅城区,5.0,单人草本泡脚+按摩+修脚,25,1251
专业修脚坊,禅城区,东方广场,5.0,单人草本泡脚+按摩+修脚,25,1251
东江沐足,禅城区,碧桂园,5.0,养生沐足单人套餐,59,1038
嘉源沐足中心,禅城区,张槎,4.3,单人实力沐足,59,1027
泰圣荷泰国草本美胸国际连锁机构（佛山普君店）,禅城区,普君新城,3.8,【轻度】胸部疏通缓解胀痛3次体验套餐,98,935
和顺元养生（东方广场店）,禅城区,东方广场,4.6,单人保健养生套餐,88,822
亚艺皇室休闲会,禅城区,季华六路/湖景路,4.1,亚艺单人沐足,88,792
梅花足浴城,禅城区,澜石,4.5,单人梅花足浴,65,769
康扬健康推拿,禅城区,季华园,5.0,单人中式推拿,53,674
香港纤盈堂（雅居乐店）,禅城区,季华六路/湖景路,3.8,卵巢／肩颈／面部护理3选2,88,662
香港纤盈堂（东方广场店）,禅城区,东方广场,3.5,卵巢／肩颈／面部护理3选2,88,662
香港纤盈堂美体（兆阳店）,禅城区,丽日玫瑰,4.9,卵巢／肩颈／面部护理3选2,88,662
香港纤盈堂（绿地中心总店）,禅城区,同济,3.5,卵巢／肩颈／面部护理3选2,88,662
健足苑休闲中心,禅城区,同济,3.8,单人保健养生套餐,59.9,600
何能保健按摩经营部,禅城区,禅城区,5.0,单人拔罐,9.9,556
完美地带美容美甲（禅城玫瑰园店）,禅城区,印象城,5.0,香薰精油全身经络放松,69,549
乐龙湾连锁沐足（季华维也纳店）,禅城区,禅城区,5.0,实力沐足单人套餐,59,543
和毅足道（佛山保利香槟总店）,禅城区,张槎,5.0,单人足浴（60分钟）全天适用,99,508
韩容宫美容SPA养生馆,禅城区,印象城,4.1,韩容宫护理套餐3选1 玫瑰园玫瑰大街,38,461
蒸美颜美容院,禅城区,祖庙,5.0,单人托玛琳石汗蒸套餐,16.8,448
健翔保健中心,禅城区,印象城,5.0,镇店之宝－健翔理筋推拿单人套餐,138,414
康旺盲人专业按摩,禅城区,季华园,4.9,单人中式按摩,55,389
42℃盐蒸美痧会所（乐安店）,禅城区,禅城区,4.5,汗蒸或盐蒸+面部除螨或面部刮痧套餐,88,378
金手指沐足中心,禅城区,张槎,3.9,单人桃花沐足1次,58,333
