商家,区域,商圈,星级,服务,价格,销量
美丽田园（瑞都购物广场店）,江宁区,瑞都购物广场,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13595
香港乐肤皮肤修复中心（江宁店）,江宁区,东山镇,5.0,单人脸部海藻控油套餐,29,11818
韩医美-科技美容连锁（江宁万达店）,江宁区,东山镇,5.0,单人韩国水氧深层清洁套餐,39,7708
子舒盲人推拿按摩（东山步行街店）,江宁区,东山镇,5.0,单人推拿+拔罐套餐,58,7392
子舒盲人推拿按摩（女人街店）,江宁区,东山镇,5.0,单人推拿+拔罐套餐,58,7392
秀域科技美容（秀域江宁）,江宁区,东山镇,3.6,单人夏日冰点净脱,88,7222
陆琴脚艺（天印大道店）,江宁区,东山镇,5.0,［全天通用］单人原生态绞股蓝足浴1次,129,5638
陆琴脚艺（天元东路店）,江宁区,东山镇,4.1,［全天通用］单人原生态绞股蓝足浴1次,129,5638
陆琴脚艺（上元大街店）,江宁区,东山镇,5.0,［全天通用］单人原生态绞股蓝足浴1次,129,5638
御苗坊祛痘连锁机构（江宁店）,江宁区,同曦商业圈,5.0,单人战痘护理体验2次套餐,29,4867
大汉松骨足疗保健会所,江宁区,东山镇,5.0,单人足疗/按摩2选1套餐,98,4021
手艺盲人推拿（金盛路店）,江宁区,东山镇,5.0,单人肩颈腰部调理套餐,39.9,3908
手艺盲人推拿,江宁区,托乐嘉,5.0,单人肩颈腰部调理套餐,39.9,3908
云邸天境,江宁区,东山镇,5.0,单人蝶舞花香SPA  卓越技师团队  手法升级体验,268,3863
舒康盲人推拿（通淮街店）,江宁区,江宁区,5.0,舒康盲人推拿/足疗（2选1）+热敷套餐,68,3408
水沐足韵（百家湖1912店）,江宁区,江宁金鹰/1912,5.0,单人水沐足道1次,189,3033
克丽缇娜（江宁万达店）,江宁区,东山镇,5.0,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（宝娜胜太路店）,江宁区,胜太路沿线,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（托乐嘉店）,江宁区,托乐嘉,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（宏运大道店）,江宁区,东山镇,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（湖山路店）,江宁区,东山镇,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（莱茵达店）,江宁区,东山镇,4.1,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（胜太路店）,江宁区,江宁区,3.0,克丽缇娜水妍润泽单人焕美套餐,158,3090
克丽缇娜（翠屏国际店）,江宁区,将军大道沿线,4.3,克丽缇娜水妍润泽单人焕美套餐,158,3090
碧爽800保健会所,江宁区,东山镇,5.0,单人碧爽彭祖养生套餐,259,2930
李专家专方祛痘（江宁万达店）,江宁区,东山镇,5.0,清痘整脸体验2次（不推销）,12.8,2798
琦品美容SPA私享空间（水晶蓝湾店）,江宁区,江宁区,5.0,单人护理套餐2选1,168,2760
丝域传说,江宁区,东山镇,5.0,单人丝域传说套餐,528,2522
