商家,区域,商圈,星级,服务,价格,销量
东方悦庭spa会所（琅西人才市场店）,青秀区,琅西,5.0,【琅东琅西通用】单人中式保健（60分钟）,79,1857
东方悦庭spa会所（琅东水晶城店）,青秀区,金湖,4.7,【琅东琅西通用】单人中式保健（60分钟）,79,1857
印象仙指,青秀区,仙葫,5.0,金色年华套餐（全天单人）,198,1578
唐韵养生馆,青秀区,青秀区,4.2,单人中式经络全身按摩,60,1405
百玺足道,青秀区,东盟商务区,5.0,单人足疗按摩,70,1318
东方圣泉国际美食水疗会所,青秀区,东盟商务区,4.2,单人净桑体验1次,168,1167
广西阳光盲人按摩服务中心,青秀区,青秀区,5.0,单人足疗/按摩2选1,43,1154
乐康保健,青秀区,七星路,5.0,中式按摩,60,1126
天天向上养生馆,青秀区,青秀区,5.0,拔罐/走罐/刮痧,35,1112
维美益美容院（韩蒸王朝）,青秀区,青秀区,5.0,韩蒸王朝身体保养护理单人套餐,31.9,1061
唯美度美容养生馆,青秀区,七星路,4.1,单人养生套餐4选1,38,1050
靖元经络养生馆,青秀区,金湖,5.0,单人腰背脊柱调理+免费养生甜品,128,1025
泰和堂调理养生馆,青秀区,金湖,5.0,单人足浴,59.9,1006
瑞康·弘中健康中心,青秀区,南湖公园,5.0,中式全身调理（单人）,118,986
方源保健,青秀区,青秀区,5.0,单人经络推油+泡脚+热疗背部+拔罐,79,971
克丽缇娜（桃源店）,青秀区,桃源天桃路口,3.8,单人美容套餐,68,961
柔婷（沛鸿中学店）,青秀区,桃源天桃路口,3.5,单人美容专业护理套餐1次,38,908
圣展酒店足圣阁会所,青秀区,金湖,3.8,香薰推油,219,870
舒丽保健中心,青秀区,民族大道,5.0,精华-推油（单人）,198,845
Heloskin肌肤年轻化基站,青秀区,青秀区,4.2,单人皮肤年轻化套餐体验,98,816
芳妮汗蒸养生馆,青秀区,凤翔路,5.0,刮痧 / 拔罐 / 艾灸,25,803
宋朝御廷养生会所（琅西店）,青秀区,琅西,5.0,足按/中式按摩2选1,88,782
祥康盲人按摩（竹塘店）,青秀区,东葛望园,5.0,按摩/足浴（2选1）,45,735
御指天娇（中国9店青秀杰作店）,青秀区,琅西,5.0,精品推拿按摩,99,685
蔷薇之恋,青秀区,东葛古城,5.0,单人养生套餐,36,653
秘密后花园养生SPA会所,青秀区,东盟商务区,5.0,三线淋巴净排单人套餐,9.9,632
安妮美妆,青秀区,古城民族,5.0,单人化妆套餐,25,608
安然纳米汗蒸按摩馆（钻石年代店）,青秀区,青秀区,5.0,单人首次汗蒸,9.9,609
圆圆工作室,青秀区,国贸中心,5.0,单人刮痧 /拔罐,20,570
法国安杰玛SPA会所,青秀区,长湖路,3.7,单人护理套餐4选1,198,555
淑播仑国际瘦身中心（中泰路店）,青秀区,东盟商务区,3.8,面部护理套餐,48,539
芳草养颜康体生活馆,青秀区,凤翔路,4.9,单人养生套餐4选1,42,531
足盛堂推拿按摩,青秀区,青秀区,5.0,单人全身中式保健按摩1次,45,511
广西医科大学体保推拿工作室（荣和店）,青秀区,民族大道,4.6,单人全身推拿1次,78,495
广西医科大学体保推拿工作室,青秀区,青秀区,5.0,单人全身推拿1次,78,495
Ushow lady 图缇格生活馆,青秀区,东盟商务区,5.0,单人酵素浴,29,464
姣兰美容养生会所（航洋店）,青秀区,凤翔路,5.0,单人胸部护理套餐一,9.9,463
大唐盛世保健中心,青秀区,金湖,5.0,[经典推荐]推油+桶浴（单人）,318,446
元和堂中医SPA养生馆（荣和店）,青秀区,凤岭北,4.2,浴足按摩套餐,78,441
元和堂中医养生馆（山语城店）,青秀区,凤岭北,5.0,浴足按摩套餐,78,441
健足堂,青秀区,仙葫,5.0,刮痧/拔罐/艾灸（单人）,25,434
黛尼丝连锁脱毛机构（国贸中心店）,青秀区,国贸中心,5.0,双腋下／唇毛单人单次套餐,28,430
古瑶乡民间养生会所（新竹店）,青秀区,东葛古城,5.0,古瑶乡滚蛋美容5选1套餐,19.9,421
帝豪国际酒店御足堂,青秀区,竹溪大道,5.0,采耳/修脚/刮痧/拔罐4选1,38,395
尚宝格丽美容美发会所,青秀区,万象城,5.0,精油开背单人套餐,78.8,375
妃斯秀美容美体连锁（航洋店）,青秀区,航洋国际,4.9,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（琅西店）,青秀区,琅西,5.0,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（五象店）,青秀区,金湖,4.3,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（嘉园店）,青秀区,东葛望园,5.0,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（建政店）,青秀区,园湖路,4.6,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（桂雅店）,青秀区,东盟商务区,5.0,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（民主店）,青秀区,青秀区,4.8,胶原蛋白美颜+芳香开背护理,18,373
妃斯秀美容美体连锁（东葛店）,青秀区,东葛古城,4.8,胶原蛋白美颜+芳香开背护理,18,373
文婷草本植物养生会所,青秀区,青秀区,4.6,文婷草本植物养生会所养生护理套餐 友爱衡阳西路,76,365
花悦容美容养生会所,青秀区,青秀区,5.0,39面部+胸部+背部养生单人套餐,39,363
嘉碧唯女子美容健康管理中心（旗舰店）,青秀区,民族大道,5.0,单人面部拨筋醒肤驻颜健康关爱课程,69,363
嘉碧唯女子美容健康管理中心（嘉艺店）,青秀区,桃源天桃路口,5.0,单人面部拨筋醒肤驻颜健康关爱课程,69,363
本元传统养生馆,青秀区,七星路,4.6,单人拔罐/刮痧（本店无女技师）,25,361
菩提专业美容养生机构（琅西店）,青秀区,琅西,4.8,面部补水+芳香开背+蚕丝面膜修护单人套餐,29.9,347
金牌按摩养生堂（双拥路店）,青秀区,双拥路,4.6,单人足疗/按摩套餐,49.9,345
金牌按摩养生堂（琅西店）,青秀区,琅西,4.1,单人足疗/按摩套餐,49.9,345
金牌按摩养生堂（医科大店）,青秀区,双拥路,4.1,单人足疗/按摩套餐,49.9,345
百玺足道养生馆,青秀区,凤岭北,5.0,单人足疗按摩,68,342
康丽源美容养生SPA会所,青秀区,东葛古城,4.5,康丽源美容单人套餐,39,331
艾薇伊朵,青秀区,金湖,5.0,美容养生单人套餐二选一,39.9,316
元安韵国际专业美胸连锁机构,青秀区,东盟商务区,4.0,69,69,306
思颖佳养生美容,青秀区,金湖,5.0,思颖佳三焦净排套餐,38,301
企典养生馆（东葛路店）,青秀区,青秀区,4.0,港式推油按摩（单人）,125,295
御丽丰汗蒸美容美体spa生活馆,青秀区,东盟商务区,4.9,岩磐浴（第四代汗蒸）,19.9,292
清秀丽人中医点穴按摩减肥,青秀区,航洋国际,4.2,中·医按摩点·穴护理,29.9,291
壮锦盲人按摩院,青秀区,古城民族,5.0,盲人按摩,48,283
罗拉国际养生馆,青秀区,民族大道,4.0,肩颈护理套餐,68,279
重庆富侨（长湖店）,青秀区,青秀区,5.0,单人全身按摩,138,278
名人养生堂（东葛华城商厦店）,青秀区,青秀区,4.0,名人天堂浴/80分钟,228,276
国艺康养生会所,青秀区,仙葫,5.0,尊享保健（单人）,178,277
科医美美容,青秀区,青秀区,5.0,单人面部祛黑头深层清洁套餐,78,275
好功夫修脚堂（新竹店）,青秀区,新竹路,4.6,泡脚+修脚+按摩,39,262
珞艺美甲SPA会所,青秀区,东盟商务区,4.2,单人甲油胶套餐,68,254
东方扬华养生馆,青秀区,东葛望园,5.0,经络拔罐（单人）,29.9,250
金康盲人按摩院,青秀区,南湖公园,4.7,按摩,45,249
南湖养生馆,青秀区,南湖公园,5.0,中式按摩+拔罐（单人）,68,246
伊妍美容养生会所,青秀区,竹溪大道,3.8,面部补水+面部拔筋+眼部护理（单人）,88,246
家富富侨（琅东仙葫店）,青秀区,仙葫,5.0,金品足浴套餐（白天单人）,78,244
