商家,区域,商圈,星级,服务,价格,销量
浅深.足浴spa指压,东湖区,八一广场/省府,5.0,单人按摩套餐,290,5630
美肌工坊皮肤管理（南昌世茂天城店）,东湖区,东湖区,4.5,单人-超微气泡去螨虫去黑头深层清洁,49.8,4426
克丽缇娜（紫金城店）,东湖区,东湖区,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3091
克丽缇娜（渊明路旗舰店）,东湖区,中山路,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3091
克丽缇娜（苏圃路店）,东湖区,中山路,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3091
御龙捏脚城,东湖区,叠山路,5.0,单人足底按摩修刮捏脚套餐,65,2818
美时慕（南昌象山会所）,东湖区,叠山路,4.0,单人素颜美人/健康调理/女人花套餐（3选1),99,2615
七星商务酒店（足疗按摩）,东湖区,八一广场/省府,5.0,足疗全套,78,2294
瑶芳专业祛痘（南昌东湖店）,东湖区,叠山路,5.0,单人洁面养颜套餐,12.8,1163
天泉水都,东湖区,中山路,5.0,单人天泉水都-温泉-游泳-水疗SPA,89,1131
扶元中医推拿,东湖区,青山路沿线,5.0,单人精油开背/经络推拿2选1,69,700
丸美专柜（南昌百货大楼中山路店）,东湖区,八一广场/省府,4.0,丸美眼部\面部护理2选1,20,623
方强馆按摩足疗,东湖区,八一广场/省府,5.0,足浴按摩二选一,55,551
巴渝风足道,东湖区,东湖区,5.0,单人泰式按摩1次,130,464
苗医生祛痘（东湖店）,东湖区,叠山路,5.0,单人深层毛孔通畅排油套餐,9,421
康健盲人按摩,东湖区,叠山路,4.6,中式推拿套餐,49.9,356
lc美肤私人定制会所（广场恒茂店）,东湖区,八一广场/省府,5.0,面部深层补水特价限量体验套餐,39.8,346
lc美肤私人定制会所（财富广场店）,东湖区,八一广场/省府,5.0,面部深层补水特价限量体验套餐,39.8,346
水雲都养生会所,东湖区,东湖区,5.0,单人尊享按摩套餐,268,336
豪庭足浴按摩会所,东湖区,叠山路,5.0,单人韩式指压高端按摩套餐,298,295
腾飞盲人按摩,东湖区,东湖区,5.0,单人全身按摩,46.9,244
嘉泰盲人按摩（三经路店）,东湖区,东湖区,5.0,中式推拿+草本热敷,39.9,211
北京同仁堂,东湖区,叠山路,5.0,背部砭石刮痧+拔罐单,68,211
蕾特恩专业祛痘（国际）连锁（工人文化宫店）,东湖区,叠山路,5.0,单人法式面部肌肤美白/法式面部深层补水2选1,69,208
荟草堂祛痘美容中心,东湖区,八一广场/省府,5.0,单人专业祛黑头护理体验1次,38,208
lc美肤私人定制会所（渊明北路店）,东湖区,中山路,4.9,单人私人定制面部深层补水美白护理套餐,69.8,200
感康盲人按摩,东湖区,胜利路,4.0,单人按摩套餐,50,192
七星官邸·足浴SPA指压,东湖区,八一广场/省府,5.0,七星推拿,128,194
苗方清颜专业祛痘连锁（百盛店）,东湖区,中山路,4.0,单人2次专业痘肌护理套餐,59.8,165
华韩国际纹绣半永久工作室（胜利路店）,东湖区,中山路,5.0,单人韩式美瞳美睫套餐,99,160
华韩国际纹绣半永久工作室（滨江路紫金城店）,东湖区,东湖区,4.6,单人韩式美瞳美睫套餐,99,160
巴渝风足道,东湖区,八一广场/省府,5.0,单人通督养脊,229,158
韩医生祛痘问题皮肤管理中心（南昌店）,东湖区,中山路,5.0,单人活氧焕肤净化毛孔套餐,149,154
