商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康护理连锁（吕岭路店）,思明区,莲花,4.9,泡脚足浴+修脚护理单人套餐,9.9,26900
美丽田园（禾祥店）,思明区,思明区,3.5,单人美白/保养/紧致/保湿SPA套餐四选一,268,13576
美丽田园美容（建发•JFC品尚店）,思明区,会展中心,4.1,单人美白/保养/紧致/保湿SPA套餐四选一,268,13576
豪都商务休闲会所,思明区,文灶/火车站,5.0,单人若石足浴套餐,108,12669
大桶水（全国旗舰店）,思明区,体育中心,5.0,单人足浴大桶套餐,138,10956
素可泰主题SPA,思明区,松柏,5.0,单人泰式古法按摩套餐,198,10024
尚概念养生会所,思明区,前埔,5.0,单人中式推拿套餐,138,8989
行之本养生会所,思明区,中山公园,5.0,单人养生沐足套餐,98,6157
美肌工坊皮肤管理（厦门太平洋广场店）,思明区,松柏,5.0,单人-超微气泡去螨虫去黑头深层清洁,49.8,4390
世纪阳光（海景店）,思明区,思北路口,5.0,单人太极油压（大）+托玛琳汗蒸+自助餐,262,3838
富侨保健（后滨店）,思明区,思明区,5.0,单人足浴/指压套餐,78,3585
晋爵会SPA水疗游泳馆,思明区,海湾公园,5.0,单人游泳水疗SPA1次,75,3260
克丽缇娜（故宫店）,思明区,思明区,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3043
克丽缇娜（五缘湾店）,思明区,思明区,5.0,克丽缇娜水妍润泽单人焕美套餐,158,3043
克麗緹娜（禾祥商城店）,思明区,思明区,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3043
克丽缇娜（建兴店）,思明区,滨北,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3043
煌家养生会所（嘉莲店）,思明区,莲花,5.0,单人中式足浴/中式推拿2选1套餐,118,2416
世纪阳光（南湖店）,思明区,南湖公园,5.0,单人五行指压推拿+托玛琳汗蒸+自助餐,255,2294
舒康汗蒸时代,思明区,明发商业广场,5.0,单人汗蒸,68,2110
金榜明爱盲人按摩中心,思明区,火车站,5.0,单人推拿套餐,83,1949
贵足缘足浴（中山路步行街店）,思明区,中山路/轮渡,5.0,单人特惠按摩足浴套餐,68,843
大脚丫文创养生（原羽东亭）,思明区,文灶/火车站,4.4,单人艾足浴,108,829
金瀚淋养生馆,思明区,火车站,4.8,单人至煌尊养生SPA套餐,268,820
苗医生专业祛痘祛斑连锁（明发店）,思明区,新景中心,5.0,单人深层清洁黑头套餐,39,764
世纪阳光（禾祥店）,思明区,思明区,5.0,单人太极油压(大) + 托玛琳汗蒸+自助餐,301,761
德颐堂推拿艾灸馆（故宫店）,思明区,思明区,4.8,单人资深推拿+磁石热敷,108,760
德颐堂推拿艾灸馆（滨北店）,思明区,滨北,4.8,单人资深推拿+磁石热敷,108,760
爱出色化妆造型（爱出色化妆造型）,思明区,罗宾森广场,5.0,单人日常美妆,49.8,739
五行堂足疗推拿,思明区,加州商业广场,5.0,舒适足浴单人套餐,59,703
韵聪盲人医疗按摩所,思明区,思明区,5.0,全身推拿按摩套餐,59,703
尚足坊足浴（中山路步行街）,思明区,中山路/轮渡,5.0,单人养生足浴套餐,68,692
时光美界美容SPA会所,思明区,新景中心,4.0,单人时光美界美容护理套餐,58,592
紫琪尔国际丰胸美胸机构（厦禾路店）,思明区,思明区,4.5,单人胸部养护套餐,398.8,570
精品足道足浴店（中山路步行街店）,思明区,中山路/轮渡,5.0,单人特惠足浴按摩,68,556
春和延足浴休闲会所,思明区,莲花,4.0,单人芳香奢享套餐,268,482
石兴凯减肥/美容/美体/养生(罗宾森购物广场店),思明区,罗宾森广场,4.8,单人石兴凯中式经络套餐,98,477
贵足足浴（中山路步行街店）,思明区,中山路/轮渡,5.0,单人精品足浴套餐,108,456
鑫金海岸盲人按摩,思明区,莲花,5.0,单人舒心套餐,63,404
荒漠甘泉盲人推拿,思明区,思北路口,5.0,单人专业推拿,66,394
明发园社区美容养生馆,思明区,前埔,5.0,单人艾灸、刮痧、拔罐套餐,38,384
纳米汗蒸美容美体塑身会所（龙山居店）,思明区,莲前西路,5.0,单人体验券,9.9,373
人生富足（中山路步行街店）,思明区,中山路/轮渡,5.0,单人鱼疗套餐,19.9,362
艾立健经络养生,思明区,加州商业广场,5.0,拔罐/刮痧,28,310
素锦小院,思明区,莲花,4.9,体验单人套餐,58,310
心灵之窗盲人按摩,思明区,莲前西路,4.8,单人盲人按摩刮痧走罐1次,68,287
众恩中医艾灸馆（金榜店）,思明区,文灶/火车站,5.0,单人综合套餐,128,276
如生足浴健康养生会所（金榜店）,思明区,罗宾森广场,5.0,单人经络油压,229,260
亚健康调理,思明区,加州商业广场,5.0,单人特色全身经络调理套餐,128,259
聚元堂盲人按摩,思明区,前埔,4.6,单人按摩体验套餐,65,250
时代脚吧,思明区,思明区,4.6,经典足浴套餐,48,234
山水足浴,思明区,思明区,4.8,经典足浴套餐,58,232
香港瑶芳专业祛痘（思北店）,思明区,思北路口,5.0,单人清痘2次,8.8,221
香港瑶芳专业祛痘（国贸店）,思明区,莲坂国贸,4.8,单人清痘2次,8.8,221
香港瑶芳专业祛痘（文灶店）,思明区,思明区,5.0,单人清痘2次,8.8,221
小小世界进口母婴游泳spa生活馆,思明区,明发商业广场,4.3,单人婴儿游泳全套SPA首次体验套餐,45,221
鑫淼房汗蒸馆,思明区,火车站,5.0,单人汗蒸,29.9,218
佳媛美容养生汗蒸会所,思明区,加州商业广场,5.0,单人汗蒸,12.8,179
明心堂养生文化中心,思明区,前埔,4.0,单人明心开背/推拿套餐,269,178
爱蓓丽娅科学美肤中心,思明区,思明区,4.9,无痛冰点脱毛,98,177
阳丹苗妮,思明区,加州商业广场,3.7,单人阳丹苗妮美容美体护理套餐,58,168
安然纳米汗蒸养生馆（东浦店）,思明区,火车站,5.0,体验单人汗蒸,19.9,165
祖慈肩颈（二市店）,思明区,思明区,3.5,单人祖慈六法调理服务套餐,198,156
祖慈肩颈（会展店）,思明区,会展中心,3.0,单人祖慈六法调理服务套餐,198,156
祖慈肩颈（前埔店）,思明区,前埔,4.0,单人祖慈六法调理服务套餐,198,156
祖慈肩颈（卧龙店）,思明区,莲前西路,3.5,单人祖慈六法调理服务套餐,198,156
伊人坊spa,思明区,新景中心,4.9,单人拔罐+艾灸,38,153
幽兰意境专业男士女子SPA,思明区,前埔,4.4,单人般若养生SPA,338,152
618足道推拿,思明区,厦门大学,4.2,单人足疗套餐,55,150
十方缘古法艾灸（明发店）,思明区,明发商业广场,4.8,单人拔火罐一次,15,140
华陀养生馆,思明区,七星乐都汇,5.0,单人香薰足疗套餐,158,140
歆雅美容生活馆,思明区,文灶/火车站,5.0,拔罐+背部舒缓+刮痧,50,136
雪芙spa美容,思明区,罗宾森广场,3.7,雪芙SPA美容护肤单人套餐,38,136
尚纯工作室,思明区,火车站,5.0,单人美甲套餐,49,129
富贵竹养生美容会所（豆仔尾路店）,思明区,斗西路口,4.1,汗蒸艾灸单人套餐,29.9,123
富贵竹养生美容会所（莲前西路店）,思明区,莲前西路,4.2,汗蒸艾灸单人套餐,29.9,123
魅感美容美甲养生会所,思明区,文灶/火车站,4.1,单人面部护理开背套餐,59,119
金领凯悦健身水疗会馆（育秀店）,思明区,体育中心,4.8,金领凯悦单人指压套餐,390,77
南洋调筋养生馆,思明区,莲花,4.5,单人精油推拿套餐,59,73
苗老祖专业祛痘（明发店）,思明区,明发商业广场,4.7,单人面部清洁护理套餐,32,73
苗方清颜专业祛痘机构（思北店）,思明区,思北路口,4.4,单人莹润透氧补水护理套餐,58,72
苗方清颜专业祛痘机构（湖明店）,思明区,南湖公园,4.2,单人莹润透氧补水护理套餐,58,72
苗方清颜专业祛痘机构（瑞景旗舰店）,思明区,瑞景商业广场,4.9,单人莹润透氧补水护理套餐,58,72
华侨酒店（四星）养生会所（中山路轮渡店）,思明区,中山路/轮渡,4.6,单人足浴套餐,68,71
水云涧美容SPA会所（卧龙会所）,思明区,莲前西路,3.6,水云涧单人背部spa按摩护理,198,70
水云涧美容SPA会所（莲花会所）,思明区,莲花,4.1,水云涧单人背部spa按摩护理,198,70
水云涧美容SPA会所（后滨会所）,思明区,思明区,4.8,水云涧单人背部spa按摩护理,198,70
伊美康瘦身美容养生馆,思明区,加州商业广场,5.0,单人拔罐除湿套餐,35,67
涵曦美容美体养生馆,思明区,松柏,4.4,单人开背净排套餐,58,66
sujie 半永久美甲美睫,思明区,观音山,5.0,单人深层补水套餐,28,65
清颜世家祛痘,思明区,禾祥西路沿线,5.0,祛黑头单人套餐,9.9,64
