商家,区域,商圈,星级,服务,价格,销量
大唐盲人按摩中心（怀宁路店）,蜀山区,蜀山区,5.0,全身按摩推拿+四肢经络疏通+头部减压按摩套餐/足底按摩2选1,88,30732
世龙世家手足健康护理连锁,蜀山区,1912街区,5.0,泡脚足浴+修脚护理单人套餐,9.9,26962
雲龍足道（潜山路富侨足浴五店）,蜀山区,蜀山区,5.0,单人足浴套餐,88.8,20101
富侨足浴保健会所（1912店）,蜀山区,1912街区,5.0,单人中级足疗套餐,108,11383
七朵莲花影院式足道（潜山路店）,蜀山区,凤凰城,5.0,单人专业沐足套餐,59.9,10541
韩医美-科技美容全国连锁（之心城店）,蜀山区,之心城,5.0,单人韩国水氧深层清洁套餐,39,7708
秀域古方减肥（凤凰城店）,蜀山区,凤凰城,4.5,单人夏日冰点净脱,88,7222
秀域古方减肥（芙蓉路店）,蜀山区,蜀山区,4.2,单人夏日冰点净脱,88,7222
良子足浴（东至路店）,蜀山区,根据地美食广场,5.0,单人中式足浴或中式全身推拿,78,6625
逸都养生馆,蜀山区,翡翠路,5.0,单人养生套餐,138,6552
碧泉海养生会馆,蜀山区,根据地美食广场,5.0,单人泰式按摩,88,6496
檀宫CEO养生（黄山路店）,蜀山区,黄潜交口,5.0,单人远古时光SPA套餐,168,6037
富桥足浴（港汇店）,蜀山区,蜀山区,5.0,单人中华足浴1次,88,5847
水月洞天spa会所,蜀山区,青阳路,5.0,单人经典指压spa套餐,138,5824
大唐盲人按摩中心（清溪路店）,蜀山区,清溪路大润发,5.0,颈椎推拿+腰椎推拿+肩周保养套餐,108,5737
大唐盲人按摩中心（石台路店）,蜀山区,蜀山区,5.0,颈椎推拿+腰椎推拿+肩周保养套餐,108,5737
魔指仙境（潜山路店）,蜀山区,黄潜交口,5.0,单人静心指压套餐,198,5082
极道尊享·清风堂（1912店）,蜀山区,1912街区,5.0,宫廷御足单人套餐,188,4418
富侨足浴（科学大道店）,蜀山区,大铺头,5.0,单人富侨乐套餐,99,4367
联手盲人推拿,蜀山区,蜀山区,5.0,单人按摩套餐2选1,55,3899
七朵莲花（淠河路店）,蜀山区,青阳路,5.0,单人七朵莲花泰式保健套餐,139.9,3303
徽韵足典（经开店）,蜀山区,蜀山区,5.0,单人徽韵贵足套餐,179,3177
克丽缇娜（中央美域店）,蜀山区,青阳路,4.5,克丽缇娜水妍润泽单人焕美套餐,158,3091
克丽缇娜（安高店）,蜀山区,华润五彩城,5.0,克丽缇娜水妍润泽单人焕美套餐,158,3091
克丽缇娜（天波路店）,蜀山区,大铺头,3.8,克丽缇娜水妍润泽单人焕美套餐,158,3091
克丽缇娜（中环城店）,蜀山区,蜀山区,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3091
克丽缇娜（大溪地店）,蜀山区,1912街区,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3091
念奴娇养生SPA会所,蜀山区,蜀山区,5.0,单人念奴印象养生一次,168,2937
良子足浴（琥珀山庄一店）,蜀山区,蜀山区,5.0,经典足浴单人套餐,99,2731
良子足浴（国购广场店）,蜀山区,国购广场,5.0,经典足浴单人套餐,99,2731
私爱美容养生会所（国购广场店）,蜀山区,三里庵,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（安高店）,蜀山区,华润五彩城,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（大溪地店）,蜀山区,长江西路华联,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（拓基城市广场店）,蜀山区,大铺头,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（丰乐大厦店）,蜀山区,长江西路华联,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（清溪路大润发店）,蜀山区,清溪路大润发,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（龙凤嘉园店）,蜀山区,凤凰城,5.0,单人护理套餐5选1,39,2705
私爱美容养生会所（华府骏苑店）,蜀山区,望潜交口,5.0,单人护理套餐5选1,39,2705
良子足浴（高新区天波路店）,蜀山区,大铺头,5.0,单人养生套餐1次,108,2608
迎客松盲人推拿康复中心,蜀山区,蜀山区,5.0,单人推拿足浴2选1,65,2344
圣达养生馆,蜀山区,大铺头,5.0,单人三生有幸套餐,168,2262
丽妍春天养生SPA会所（西园店）,蜀山区,三里庵,5.0,单人养颜滋润面部全套护理,69,2105
丽妍春天养生SPA会所（高新店）,蜀山区,大铺头,4.3,单人养颜滋润面部全套护理,69,2105
丽之媛纹绣半永久（之心城店）,蜀山区,之心城,5.0,单人修眉画眉体验,2.9,2100
魔尔时光养生馆,蜀山区,蜀山区,5.0,单人指压套餐,168,2066
沅明源养生会所,蜀山区,清溪路大润发,4.8,单人经典指压spa套餐,158,1977
舞指仙境足浴指压（紫荆广场店）,蜀山区,凤凰城,5.0,舞指单人SPA套餐,268,1886
星辰盲人推拿,蜀山区,大铺头,4.7,单人推拿足浴二选一套餐,52,1762
学子推拿,蜀山区,三里庵,5.0,单人推拿套餐,50,1409
港岛音乐SPA会所,蜀山区,蜀山区,4.8,单人经典养生套餐,138,1376
金座水汇养生会所,蜀山区,青阳路,5.0,单人经典养生SPA套餐,168,1323
古尊spa会所,蜀山区,蜀山区,5.0,古尊指压,139,1229
蕾特恩专业祛痘国际连锁（三里庵店）,蜀山区,之心城,5.0,单人痘肌护理2次,8.8,1223
七朵莲花影院式文化足道,蜀山区,大铺头,5.0,单人泰式套餐,169.9,1168
御皇减肥美容养生汗蒸脱毛会所（荷花路店）,蜀山区,大铺头,5.0,单人御皇护理套餐,58,1160
龙品足浴会所,蜀山区,凤凰城,5.0,单人经典spa套餐,168,1090
云端养生堂,蜀山区,蜀山区,5.0,单人精品足道1次,138,1021
纪梵希护肤造型连锁（1912街区店）,蜀山区,1912街区,5.0,【资深设计师】洗剪吹1次,28,1025
安然养生馆,蜀山区,蜀山区,4.8,单人养生套餐,198,1012
金鼎养生SPA,蜀山区,蜀山区,5.0,单人古典spa套餐,188,940
尊享养生SPA,蜀山区,蜀山区,5.0,单人尊享套餐,168,924
柔婷（安居苑店）,蜀山区,青阳路,3.0,单人美容专业护理套餐1次,38,908
纳米汗蒸馆（秋水伊人养颜阁）,蜀山区,蜀山区,4.5,单人汗蒸1次,11.9,868
安然纳米汗蒸（三里庵店）,蜀山区,三里庵,5.0,单人汗蒸体验,13.9,851
Heloskin肌肤年轻化基站（开元店）,蜀山区,华润五彩城,4.5,单人皮肤年轻化套餐体验,98,816
艺佳盲人推拿中心,蜀山区,凤凰城,5.0,单人推拿按摩/足浴2选1套餐,59,769
丰艾堂艾灸养生会馆（大溪地店）,蜀山区,1912街区,4.3,单人中式局部推拿拔罐调理套餐,88,758
丰艾堂艾灸养生会馆（港澳广场店）,蜀山区,蜀山区,4.3,单人中式局部推拿拔罐调理套餐,88,758
丰艾堂艾灸养生会馆（港汇广场店）,蜀山区,蜀山区,5.0,单人中式局部推拿拔罐调理套餐,88,758
丰艾堂艾灸养生会馆（国际花都店）,蜀山区,蜀山区,4.3,单人中式局部推拿拔罐调理套餐,88,758
宋一刀扬州修脚（史河路店）,蜀山区,凤凰城,5.0,单人修脚修灰指甲套餐,48.8,746
吉原养生休闲会所,蜀山区,大铺头,5.0,单人经典养生套餐,168,739
兰馨阁养生足浴会所,蜀山区,蜀山区,4.3,单人养生足浴套餐,109,723
龙都养生会所,蜀山区,大铺头,5.0,单人养生套餐,138,702
龙庭御典足浴会所,蜀山区,青阳路,5.0,单人沐足,78,691
尚泉男子SPA会所,蜀山区,清溪路大润发,4.9,尚泉经典养生套餐,168,689
铜鹊台养生会所,蜀山区,摩尔广场,5.0,单人铜雀云海经典SPA套餐,168,651
左岸养生spa（黄山路店）,蜀山区,蜀山区,5.0,单人经典净身之旅SPA一次,299,646
心之语盲人推拿足浴,蜀山区,清溪路大润发,5.0,单人推拿+拔罐套餐,45,637
康元推拿中心,蜀山区,三里庵,4.3,单人中式推拿套餐,55,605
康孚正骨推拿馆,蜀山区,蜀山区,5.0,单人推拿+拔罐套餐,58,228
原色美容美体养生SPA馆（经开区中环城店）,蜀山区,蜀山区,4.7,拔罐刮痧二选一单人,19.9,228
玛丽艳汗蒸美容养生馆（金星家园店）,蜀山区,蜀山区,5.0,单人韩式汗蒸1次+五行拔罐1次,15,215
领尚会养生会所,蜀山区,蜀山区,5.0,单人中式指压+拔罐/刮痧2选1套餐,118,208
紫罗兰spa养生会所,蜀山区,蜀山区,5.0,单人养生SPA套餐,158,212
拉菲CEO养生SPA会所,蜀山区,凤凰城,4.8,单人拉菲经典养生spa按摩一次,158,206
舒络堂盲人按摩,蜀山区,大铺头,4.5,单人舒络堂盲人按摩推拿套餐,60,204
刘丽足浴（丽足天下）,蜀山区,根据地美食广场,5.0,单人足浴大钟一次（90分钟）,149,203
澳洲ev美容连锁（合肥市高新店）,蜀山区,大铺头,3.8,澳洲伊微红石榴面护,78,201
澳洲伊微（凤凰城店）,蜀山区,凤凰城,3.9,澳洲伊微红石榴面护,78,201
吉源公馆,蜀山区,1912街区,5.0,豪华养生套餐,168,201
澳洲伊微,蜀山区,蜀山区,4.3,澳洲伊微红石榴面护,78,201
恋曼秀SPA会所（潜山路家乐福店）,蜀山区,蜀山区,3.5,时尚美容护理单人套餐,29,197
熙园养生会所,蜀山区,青阳路,4.6,单人经典spa套餐,168,195
之心宫养生馆,蜀山区,蜀山区,5.0,单人经典养生spa套餐,128,194
左岸养生spa（望江路店）,蜀山区,蜀山区,5.0,单人经典远古之旅SPA一次,199,194
璞真堂,蜀山区,望潜交口,5.0,单人全身经络推拿套餐,178,188
娇雅美容美体生活馆（华润幸福里店）,蜀山区,蜀山区,3.9,身体护理套餐一次,28.8,184
丸美美容spa连锁（青阳路店）,蜀山区,青阳路,5.0,单人丸美面部美白保湿SPA,68,182
菩提推拿足浴养生spa,蜀山区,蜀山区,4.8,单人养生套餐,168,181
晓鸥工作室,蜀山区,之心城,5.0,单人单色美甲套餐,29.9,176
纤丝鸟瘦身美体中心（黄山路店）,蜀山区,黄潜交口,4.7,奢华精致SPA单人护理套餐,119,175
悦色养生汇,蜀山区,蜀山区,5.0,单人悦色养生spa套餐,168,174
郑一生专业祛痘全国连锁机构（国购店）,蜀山区,之心城,4.3,单人养生按摩,20,172
玉铭堂汗蒸美容养生馆（和谐店）,蜀山区,1912街区,5.0,单人汗蒸,12.9,169
御皇减肥美容养生会所（贵池路店）,蜀山区,摩尔广场,4.5,拔罐2选1单人套餐,19.8,163
枫玲养生spa,蜀山区,凤凰城,5.0,单人轻枫养生spa套餐,158,161
硕康推拿,蜀山区,三里庵,5.0,腰椎推拿,55,157
38度美容养生连锁（金大地店）,蜀山区,1912街区,3.9,黄金富贵深层补水面护+暖脚单人体验2次,38,157
伊曼SPA美容汗蒸养生会所,蜀山区,之心城,5.0,特价舒缓减压套餐,78,151
天妮美容美纤SPA（凯旋门店）,蜀山区,蜀山区,4.7,舒适双重深度清洁面护套餐,58,149
铭仕休闲会所,蜀山区,蜀山区,5.0,单人养生套餐,158,146
御之宫,蜀山区,凤凰城,3.6,单人spa养生套餐,138,141
lily韩式半永久定妆纹绣（合肥店）,蜀山区,之心城,5.0,单人韩式樱花唇设计套餐,2980,141
颐雅馨医美纹绣,蜀山区,华润五彩城,5.0,双眼皮代金券,18.8,135
络康推拿养生中心,蜀山区,1912街区,4.8,单人推拿,60,127
梦康盲人推拿,蜀山区,大铺头,5.0,单人颈肩护理,59,121
忘忧宫养生SPA会所,蜀山区,蜀山区,4.6,单人经典SPA养生套餐,118,118
研多萃科技皮肤管理中心（之心城店）,蜀山区,之心城,5.0,超微小气泡皮肤清洁管理1次,98,120
颐道养生馆,蜀山区,蜀山区,4.6,单人颐道SPA套餐,198,117
华尔兹冰点E光脱毛工作室（合肥蜀山店）,蜀山区,青阳路,5.0,单人脱毛7选1体验,58,116
Z.M美甲美睫纹绣工作室,蜀山区,蜀山区,4.3,单人韩式嫁接睫毛套餐1次,98,113
天和养生spa会所,蜀山区,蜀山区,5.0,单人经典养生SPA套餐,178,114
Z.M美甲美睫纹绣工作室,蜀山区,蜀山区,4.3,单人韩式嫁接睫毛套餐1次,98,113
千寻美甲,蜀山区,蜀山区,5.0,单人穿耳洞,16.9,111
郑远元专业修脚房（青阳路店）,蜀山区,青阳路,4.5,单人泡脚+修脚+按摩套餐,33,108
深蓝彩妆bleunuit（百大店）,蜀山区,望潜交口,4.8,单人彩妆套餐,30,107
深蓝彩妆bleunuit（三里庵店）,蜀山区,望潜交口,3.5,单人彩妆套餐,30,107
益登祥养生足浴会所,蜀山区,蜀山区,5.0,单人草本养生足浴套餐,88,107
顶尚堂头疗馆,蜀山区,凤凰城,3.7,单人头疗体验1次,48,100
颜至尊足疗会所,蜀山区,大铺头,4.2,单人指压套餐,198,100
良子足浴（经开店）,蜀山区,蜀山区,5.0,单人足疗+中式按摩+（刮痧/拔罐/采耳）套餐,138,95
皇朝指韵,蜀山区,大铺头,5.0,皇朝单人养生spa,268,95
天籁养生spa会所,蜀山区,蜀山区,4.9,单人经典套餐,138,95
若颜女子美容养生会馆,蜀山区,望潜交口,5.0,单人肩颈养护套餐,68,94
思颜丽抗衰养生（尊荣名店）,蜀山区,蜀山区,4.0,思颜丽抗衰养生套餐,88,94
八里皇养生SPA会所,蜀山区,1912街区,4.8,单人朝阳欣喜SPA套餐,178,94
雅澜萱女子美容spa会所,蜀山区,长江西路华联,3.5,合肥欧博尔女子美容SPA会所逆时空焕颜面部护理1次[复制],38,92
海棠湾养生馆,蜀山区,大铺头,4.3,单人时之影养生套餐,269,92
KISS订制美妆美甲,蜀山区,三里庵,5.0,修眉+精致约会生活妆化妆一次,9.9,91
苗医生专业祛痘（三里庵店）,蜀山区,三里庵,4.7,黑头净颜单人套餐,9.9,91
华健盲人推拿,蜀山区,大铺头,5.0,中式推拿足疗二选一,53.9,91
果蔬美容养生会所,蜀山区,蜀山区,4.7,特色果蔬面护套餐,50,88
瘦秀减肥美容塑身馆（中环城店）,蜀山区,蜀山区,5.0,单人五行经络瘦身体验,1,89
艾柔脏腑推拿,蜀山区,三里庵,5.0,单人全身推拿套餐,50,88
美之泉美容养生SPA连锁机构（百花井店）,蜀山区,蜀山区,3.9,单人美容套餐,98,84
融和堂影院式养生足道,蜀山区,大铺头,5.0,单人和渊源意境养生套餐,139,85
社区生活馆（明珠广场店）,蜀山区,蜀山区,5.0,社区生活馆面部护理+肩颈疏通1次,48,83
御上皇养生spa会所,蜀山区,凤凰城,5.0,单人养生SPA套餐,168,82
云尚公馆养生会所,蜀山区,蜀山区,4.5,单人指压套餐,168,82
Angel’s face专业半永久 皮肤管理中心,蜀山区,望潜交口,5.0,单人皮肤检测+全脸水氧小气泡深层清洁,128,81
苏安推拿,蜀山区,蜀山区,4.3,单人推拿,53,81
Wskin Clinic皮肤管理中心,蜀山区,之心城,5.0,皮肤检测+韩式小气泡毛孔黑头管理+深层补水管理+头皮管理,299,77
玉澜庭养生会所,蜀山区,凤凰城,5.0,单人经典养生套餐,138,76
菲丽阁美甲纹绣中心,蜀山区,之心城,5.0,眉型设计,1,74
悦阁养生spa会所,蜀山区,黄潜交口,4.6,单人悠然养生spa一次,138,77
少林正骨堂（长江路店）,蜀山区,蜀山区,4.7,少林任督通脉大黑膏单人套组感恩父母关爱健康,29,70
花千树美容汗蒸养生会所,蜀山区,松芝万象城,5.0,冬病夏治,58,69
