商家,区域,商圈,星级,服务,价格,销量
梵+女子养生会所,赛罕区,赛罕区,4.6,梵+女子养生会所美容美体AB套餐二选一,69.9,997
东方贵足（金桥店）,赛罕区,金桥,5.0,秦淮素手按摩120分钟,195,970
品味足道,赛罕区,长乐宫,4.2,足疗按摩套餐,78,857
泽宁修脚足疗按摩（桥靠店）,赛罕区,赛罕区,5.0,单人足疗按摩套餐,36.8,833
元康盲人按摩,赛罕区,赛罕区,4.9,全身按摩,75,754
艾浓美容SPA养生会所（金桥店）,赛罕区,金桥,4.5,汗蒸套餐,39,597
艾浓美容SPA养生会所（敕勒川大道店）,赛罕区,赛罕区,4.2,汗蒸套餐,39,597
益寿康按摩院,赛罕区,长乐宫,4.6,单人套餐,68,593
福原堂健康中心,赛罕区,仕奇公园,4.8,按摩套餐,38,568
优优修脚,赛罕区,内大,5.0,修脚足部护理套餐1次,29.8,498
王子特色足疗,赛罕区,赛罕区,4.1,王子足疗按摩套餐,98,457
小杨盲人按摩,赛罕区,长乐宫,5.0,单人套餐,55,445
盲人按摩（大学西街店）,赛罕区,内大,5.0,医莱康按摩套餐,66,443
华都君悦足道养生SPA会所,赛罕区,桥华,4.9,单人养生足道套餐,108,377
和煦轩推拿按摩中心,赛罕区,赛罕区,5.0,单人30分按摩＋刮痧或拔罐二选一,38.8,361
美加乐婴童SPA水育乐园,赛罕区,仕奇公园,5.0,单人婴儿游泳首次体验套餐,45,361
苗方清颜,赛罕区,师大,4.3,洁面套系,32,354
丝域养发馆（世华店）,赛罕区,桥华,4.8,丝域玫瑰水润spa,69,345
博善堂盲人按摩,赛罕区,赛罕区,5.0,按摩足疗AB2选1,59.8,344
una精灵化妆工作室,赛罕区,摩尔城,4.9,生活妆,49.9,342
杏林一家盲人按摩,赛罕区,嘉茂,4.1,按摩足疗刮痧精油4选1,69,336
艾灸养生馆,赛罕区,桥华,4.4,艾灸养生馆48元（A/B/C）套餐三选一,48,336
内蒙古呼和浩特艾灸经络养生（兴安南路店）,赛罕区,桥华,4.1,艾灸养生馆48元（A/B/C）套餐三选一,48,336
名家国技养生馆,赛罕区,桥华,4.3,单人足疗按摩套餐,88,334
优肤王氏专业祛痘祛斑,赛罕区,乌兰察布东街,5.0,美容套餐,19.9,329
崔大夫美容美体（电力店）,赛罕区,嘉茂,5.0,水氧嫩肤  水嫩肌肤 收缩毛孔 清除黑头等面部细小问题,99,281
崔大夫美容美体（金宇店）,赛罕区,金宇文苑,5.0,水氧嫩肤  水嫩肌肤 收缩毛孔 清除黑头等面部细小问题,99,281
崔大夫美容美体（长安店）,赛罕区,长乐宫,5.0,水氧嫩肤  水嫩肌肤 收缩毛孔 清除黑头等面部细小问题,99,281
逸天云璟,赛罕区,长乐宫,5.0,单人沐足套餐,98,276
优恋芭比美甲美容纹绣学院,赛罕区,摩尔城,5.0,韩国超微小气泡（皮肤深层清洁、去黑头油脂、补水） 韩式去角质,88,268
香儿足道养生会所,赛罕区,赛罕区,5.0,足部养生套餐,128,266
茜曼国际美容养生会馆（如意店）,赛罕区,赛罕区,3.9,AB套餐二选一,69.9,265
茜曼国际美容养生会馆（大学路店）,赛罕区,内大,4.6,AB套餐二选一,69.9,265
远康盲人推拿按摩院,赛罕区,嘉茂,5.0,单人全身筋络按摩、足浴、精油开背3选1套餐,65,264
伊蓝缇娜,赛罕区,长乐宫,4.1,伊蓝缇美容套餐 新华东街,26.8,259
