商家,区域,商圈,星级,服务,价格,销量
长风美塑（三八广场店）,中山区,三八广场,3.8,单人塑身排解套餐,58,152
左岸美容养生会馆,中山区,友好广场,5.0,单人全身经络按摩,38,150
左岸美容二部,中山区,二七广场,5.0,单人全身经络按摩,38,150
美丽公主睫毛嫁接中心（友好广场店）,中山区,友好广场,4.1,单人美丽公主睫毛嫁接,180,142
妙手一方推拿,中山区,二七广场,5.0,单人拔罐,19.9,136
感染力彩妆造型,中山区,胜利广场/青泥洼桥,4.0,单人彩妆套餐,29.9,136
丰韵堂专业丰胸美胸机构,中山区,胜利广场/青泥洼桥,5.0,单人胸部护养2次（开业特惠）,1,129
五行泥盲人推拿,中山区,中山区,5.0,全身保健套餐,99,126
安娜半永久美容美睫脱毛中心,中山区,人民路,5.0,单人E光OPT冰点无痛净毛,39,110
echin伊亲婴幼儿水育spa拓展中心,中山区,解放路沿线,5.0,婴幼儿戏水,58,101
康达盲人按摩院,中山区,解放路沿线,4.7,局部放松按摩,38,101
瑞合堂艾灸养生馆,中山区,天津街,5.0,单人手工悬灸套餐,38,100
太乙中医经络养生,中山区,二七广场,4.8,单人养生套餐7选2,58,99
赫米娅脱毛嫩肤工作室,中山区,中山区,4.7,单人冰点嫩肤净毛1次,45,99
安吉拉美容瘦身养生女士会所,中山区,友好广场,5.0,单人特惠背部排湿-排寒,39,96
艾琳专业美容祛痘工作室,中山区,友好广场,5.0,单人深层清洁排肌毒1次+水份管理1次,28.8,92
三原色美妆美甲美睫,中山区,胜利广场/青泥洼桥,4.3,单人日妆1次,19,91
焱悦美容养生会馆,中山区,中山区,5.0,单人【肩颈经络疏通+面部补水护理】,58,91
希美养生会馆,中山区,中山区,4.8,单人拔罐,25,90
泰福养生会馆,中山区,三八广场,5.0,单人泰式精油SPA,138,88
Mary脱毛·半永久·水光中心,中山区,三八广场,5.0,单人腋下包脱净套餐,288,82
元和经络养生馆,中山区,友好广场,5.0,单人局部调理+筋膜松解背部/拔罐,68,78
韩国半永久纹绣美睫焕颜店,中山区,二七广场,4.4,单人韩国维娜新概念焕颜体验套餐,29,76
香馨谷女士spa私人会所,中山区,友好广场,3.9,单人香馨谷女士SPA私人会所调理套餐,88,74
至善美美容养生馆（上鼎大厦店）,中山区,中山广场/延安路,4.1,单人头部/肩颈按摩,38,73
盤古足道,中山区,二七广场,5.0,超值单人保健按摩/90分钟,118,72
德胜保健盲人按摩,中山区,桃源,4.3,按摩套餐,49,70
JM半永久·皮肤管理·美睫·脱毛,中山区,胜利广场/青泥洼桥,5.0,单人韩式无痛水光补水与全脸清洁收缩毛孔组合套餐,168,69
美林足道,中山区,民主广场,4.1,单人保健+足底1次,128,68
诗蔓丽（雍容阁店）,中山区,胜利广场/青泥洼桥,3.9,单人面部淋巴排.毒,1,66
香美儿美容美体,中山区,胜利广场/青泥洼桥,5.0,单人背部经络拔罐,9.9,61
