商家,区域,商圈,星级,服务,价格,销量
纯中药专业祛痘美容（塘沽店）,滨海新区,外滩/金街,4.4,单人祛痘美容 凌,9.9,900
沐清泉足浴城,滨海新区,塘沽城区,5.0,单人经典套餐,98,886
宏康盲人按摩,滨海新区,经济开发区,4.7,足疗 +盐袋热敷,68,880
憶水阁足道养生会馆,滨海新区,大港城区,5.0,单人憶水阁贵足套餐（100分钟）,159,889
蕾特恩专业祛痘国际连锁（塘沽洋货店）,滨海新区,滨海新区,5.0,单人深层洁面护理套餐,8.8,853
鑫缘女子养生会馆（博美园店）,滨海新区,经济开发区,4.9,单人美容养生精品套餐六选二,38,747
鑫缘女子养生会馆（千佰汇分店）,滨海新区,经济开发区,5.0,单人美容养生精品套餐六选二,38,747
痘博士专业祛痘连锁机构（塘沽店）,滨海新区,外滩/金街,5.0,单人祛黑头套餐（请电话预约）,98,732
小古林娱乐休闲会馆,滨海新区,大港城区,4.7,单人保健按摩+足疗+洗浴套餐,128,720
菩提足道会馆,滨海新区,经济开发区,5.0,单人菩提1次,158,722
克丽缇娜,滨海新区,经济开发区,4.4,单人身体SPA超值套餐,88,715
颐康盲人按摩,滨海新区,经济开发区,5.0,单人60分钟按摩套餐,68,654
禧灸堂艾灸养生馆,滨海新区,新港,5.0,禧灸堂艾灸健康馆按摩套餐2选1,88,647
禧灸堂艾灸健康馆,滨海新区,经济开发区,4.4,禧灸堂艾灸健康馆按摩套餐2选1,88,647
好运堂足道,滨海新区,大港城区,5.0,单人足疗按摩,88,647
萃泽中医推拿,滨海新区,塘沽城区,5.0,小儿推拿,60,627
滨海润德小儿推拿,滨海新区,塘沽工农村,4.8,单人小儿按摩,29.9,583
榕泽足道会馆,滨海新区,经济开发区,5.0,单人采耳/修脚/拔罐3选1,78,573
美玲美业,滨海新区,塘沽城区,4.7,美容养生护肤套餐,18,553
兰纳秘境泰式spa（足疗泰式spa）,滨海新区,经济开发区,4.7,单人泰式足疗spa套餐,148,520
J.L美甲会所,滨海新区,外滩/金街,5.0,单人嫁接睫毛套餐,69,488
紫萱专业彩妆工作室,滨海新区,滨海新区,5.0,单人时尚生活整体造型1次,38,482
高风推拿按摩店,滨海新区,塘沽城区,5.0,单人按摩套餐,89,452
双飞燕泰式·SPA养生馆,滨海新区,经济开发区,4.8,单人泰式按摩套餐,158,448
文康盲人按摩,滨海新区,经济开发区,4.6,单人文康盲人按摩,76,440
太易阁养生,滨海新区,经济开发区,5.0,单人拔罐滑罐,41,416
森林雅舍美容院（紫云国际店）,滨海新区,新港,4.7,森林雅舍美容院养生护理套餐,38,411
森林雅舍美容养生会馆（外滩永久街店）,滨海新区,外滩/金街,5.0,森林雅舍美容院养生护理套餐,38,411
康辉盲人按摩,滨海新区,塘沽城区,4.1,康辉盲人单人按摩,59,390
思妍丽（金元宝海滨国际店）,滨海新区,经济开发区,4.0,原花香水润升级DR Bio多肽护理,288,390
苗方清颜专业祛痘（学校大街店）,滨海新区,外滩/金街,5.0,单人面部毛孔洗澡护理套餐,15.8,336
苗方清颜（开发区店）,滨海新区,经济开发区,5.0,单人面部毛孔洗澡护理套餐,15.8,336
晓宇盲人按摩,滨海新区,经济开发区,5.0,单人全身按摩套餐,68,335
康达足道,滨海新区,大港城区,5.0,单人休闲套餐,108,276
珍珠养颜坊,滨海新区,外滩/金街,5.0,单人经络拔火罐,9.9,265
爱足康修脚堂,滨海新区,滨海新区,5.0,单人修脚1次,15,232
伊莱尔养生会馆,滨海新区,滨海新区,5.0,单人皇家豪华套,308,230
卓美尔专业减肥美体会馆（宝山道店）,滨海新区,塘沽工农村,5.0,单人瘦身套餐2选1,88,224
中艾堂艾灸养生馆（开发区店）,滨海新区,经济开发区,5.0,单人精品养生套餐,128,224
卓美尔专业减肥美体会馆（少年宫店）,滨海新区,外滩/金街,3.9,单人瘦身套餐2选1,88,224
卓美尔专业减肥美体会馆（上海道店）,滨海新区,外滩/金街,5.0,单人瘦身套餐2选1,88,224
中艾堂艾灸养生馆（康翠店）,滨海新区,经济开发区,4.6,单人精品养生套餐,128,224
卓美尔专业减肥美体会馆（MSD店）,滨海新区,经济开发区,5.0,单人瘦身套餐2选1,88,224
卓美尔专业减肥美体会馆（桐景园店）,滨海新区,经济开发区,3.9,单人瘦身套餐2选1,88,224
贻康盲人按摩,滨海新区,塘沽城区,4.9,按摩,75,219
满城靓甲spa会所,滨海新区,塘沽工农村,4.3,美甲套餐3选1,39.9,201
中艾堂艾灸养生馆,滨海新区,滨海新区,5.0,单人精品套餐,148,197
曼黛拉香薰SPA,滨海新区,塘沽工农村,4.6,面部活肤七彩水疗,38,190
康健中医推拿足疗（原福泽园推拿店）,滨海新区,大港城区,5.0,单人全身推拿,50,174
青青美容美体会馆（福华里店）,滨海新区,大港城区,4.5,单人美容套餐,68,165
金蝴蝶指尖艺术美甲,滨海新区,外滩/金街,4.4,金蝴蝶指尖艺术睫毛嫁接套餐,58.8,165
益康疼痛调理中心,滨海新区,新港,5.0,单人颈椎痛/肩周痛调理按摩,128,163
凯丽专业美容美体（开发区2店）,滨海新区,经济开发区,4.6,单人艾灸温补养生温灸调理套餐,99,160
凯丽美容SPA养生会馆,滨海新区,外滩/金街,4.1,单人艾灸温补养生温灸调理套餐,99,160
夏都 · 润SPA,滨海新区,经济开发区,4.7,夏都●润SPA手部护理1次,58,158
益康美脱毛养生馆,滨海新区,经济开发区,5.0,单人局部OPT绝毛套餐10选1,69,157
芭黎梦幻美容SPA,滨海新区,经济开发区,4.5,法国植萃肩颈疏通单人套餐,88,157
江南足道养生会馆,滨海新区,大港城区,4.7,单人中式足疗+按摩套餐,128,157
裕嘉香薰SPA养生会馆,滨海新区,经济开发区,4.3,单人裕嘉足疗套餐,48,154
佐康专业祛痘（大港店）,滨海新区,大港城区,5.0,单人鼻部去黑头套餐,9.8,34
百合美容美体汗蒸养生馆,滨海新区,滨海新区,5.0,单人身体护理3选1套餐,19.6,33
水韵江南养生会所,滨海新区,滨海新区,4.8,养生套餐,138,33
瘦美人减肥（第188家分店）,滨海新区,滨海新区,5.0,单人瘦身套餐,48,31
荟草堂专业祛痘,滨海新区,外滩/金街,4.4,单人专业黑头护理套餐,18.8,31
新生活美容纹绣工作室,滨海新区,滨海新区,5.0,单人精油开背疏通经络套餐,38,31
陕西逸足专业修脚,滨海新区,滨海新区,4.6,单人修脚+足疗+按摩+拔罐/采耳,50,30
晓燕美妆,滨海新区,塘沽工农村,4.7,单人舞台妆套餐,59.9,29
神州行美容养生会所,滨海新区,外滩/金街,4.7,单人汗蒸体验,9.9,28
Only You芳香SPA馆,滨海新区,滨海新区,4.4,单人有机香薰头部舒缓按摩,29.8,28
天津市滨海新区大港诗露美容,滨海新区,大港城区,4.5,单人肩颈护理套餐,9.9,27
长青树养生会馆,滨海新区,经济开发区,4.5,单人局部按摩套餐,88,27
小S绿色减肥中心（润泽园店）,滨海新区,大港城区,4.0,五行温灸调理单次体验,38,27
吉美美容纤体馆,滨海新区,经济开发区,4.2,单人吉美保养体验,58,26
珈黛专业祛痘（大港店）,滨海新区,大港城区,4.1,面部特色排毒,19.8,26
唯美经络养生会馆,滨海新区,经济开发区,5.0,单人颈肩调理 ,39.9,26
爱奇雅健康管理·美丽定制（泰达店）,滨海新区,经济开发区,4.1,单人美容护理套餐,118,24
misslee沐子日系美甲美睫,滨海新区,经济开发区,5.0,单人大气泡套餐,298,24
九河足道休闲会馆,滨海新区,塘沽城区,5.0,单人整脊推拿套餐,108,24
美厚工作室（开发区店）,滨海新区,经济开发区,5.0,美厚工作室单人美甲,58,22
雨淇创意发型（欧莱雅形象店）,滨海新区,经济开发区,5.0,单人女士保养套餐,68,22
诗美诗格美容养生会所,滨海新区,大港油田,4.8,单人调理十选四套餐,39.8,22
万生源足道spa保健中心,滨海新区,新港,5.0,单人冠唐足疗套餐,138,21
艾莉美容美体养生馆,滨海新区,经济开发区,4.2,单人全身十二经络疏通调理,68,20
美甲小屋工作室,滨海新区,外滩/金街,5.0,单人温和净肤体验1次,1,20
三晋人康体中心,滨海新区,经济开发区,3.8,单人足疗/按摩2选1套餐,68,20
伊人坊美容养生会馆,滨海新区,经济开发区,4.6,单人特色面部毛孔清洁+注氧水疗套餐,39.8,21
天使爱美丽瘦身美容理疗馆,滨海新区,滨海新区,5.0,单人肩颈保养护理--3次,59.8,19
法国路易香浓美容美体（远洋城店）,滨海新区,塘沽城区,3.9,美容养生套餐,19.9,19
芊韵美容院,滨海新区,外滩/金街,5.0,单人面部深层净化护理,28,19
私蜜国际皮肤管理中心,滨海新区,新港,5.0,单人韩国高端小气泡导入豪华套餐,98,23
艾嘉美容美体SPA馆,滨海新区,滨海新区,5.0,单人美容SPA护理套餐,29,18
唯美创意工作室,滨海新区,滨海新区,4.7,单人专业背部经络拔罐,18.8,18
美丽汇颜值管理中心皮肤管理.半永久,滨海新区,新港,5.0,单⼈⽪肤检测,1,17
Only You美甲美容私人定制工作室,滨海新区,经济开发区,5.0,Only You私人定制工作室单人蜜蜡绝毛,19.9,17
善多多养生spa会所,滨海新区,经济开发区,4.7,芳香心灵SPA,268,16
纤雅减肥美容理疗室,滨海新区,新港,5.0,单人乳腺增生/静脉曲张/腰间盘突出调理3选1,38.8,16
丽芙馨颖美容美体养生会馆,滨海新区,经济开发区,3.8,丽芙馨颖美容美体养生会馆按摩套餐,38,14
中草药养生馆,滨海新区,滨海新区,4.5,68,68,14
铭君会美容SPA养生馆,滨海新区,经济开发区,3.5,单人背部经络疏通按摩,39.8,14
拉佛珥丹康体沙龙,滨海新区,经济开发区,3.5,拉佛珥丹康体沙龙泰式按摩套餐,188,14
苗方清颜专业祛痘（汉沽店）,滨海新区,汉沽城区,4.9,单人双屏水氧美白补水护理套餐,98,13
