商家,区域,商圈,星级,服务,价格,销量
無極皇宫臻尊spa按摩,迎泽区,迎泽区,4.9,单人贵妃养生,468,670
乐活概念专业祛痘（大南门店）,迎泽区,柳巷商业区,4.7,乐活去黑头套餐,38,614
宁宇养生会所,迎泽区,五一路,3.9,单人护理套餐3选1,58,466
大谦盲人推拿,迎泽区,迎泽区,5.0,大谦推拿调理 专业专心专为您,56,465
思妍丽（天美店）,迎泽区,新建路,3.5,原花香水润升级DR Bio多肽护理,288,390
如佳汉芳（柳巷店）,迎泽区,柳巷商业区,5.0,泰式养生,168,379
百年吴越专业祛痘美容院（五一路店）,迎泽区,五一路,5.0,单人专业痘肌护理体验,1,273
梁际盲人按摩院,迎泽区,五一路,5.0,单人全身按摩,48,260
榭斓萱美容美体养生会所,迎泽区,柳巷商业区,5.0,单人拔罐刮痧,9.9,258
福泰中医经络养生馆,迎泽区,迎泽区,5.0,单人超值按摩经络梳理1次,9.9,240
蕾特恩专业祛痘国际连锁（铜锣湾店）,迎泽区,铜锣湾,5.0,水疗,49,203
五号足道休闲养生馆,迎泽区,火车站,5.0,单人韩式指压,188,193
林心足疗修脚（五一路店）,迎泽区,五一路,5.0,刮痧+拔罐单人1次,33.8,188
毛丢丢专业脱毛机构,迎泽区,柳巷商业区,4.6,冰点无痛脱.毛,29.9,153
U美女子会所,迎泽区,朝阳街,4.1,单人9.9元面部补水及美白体验一次,9.9,153
宇泉自然养生馆,迎泽区,柳巷商业区,5.0,单人罐疗一次,9.8,132
梦蝶·美甲美睫纹绣（铜锣湾店）,迎泽区,五一路,5.0,单人韩式专业眉形设计修眉,5,121
美丽心情专业女子SPA连锁机构,迎泽区,五一路,3.9,美丽心情专业女子SPA连锁机构,28,115
菩提花美容美体中心,迎泽区,五一路,5.0,芳香精油温灸肩颈SPA套餐,38,112
涵雅香美容院,迎泽区,五一路,5.0,超值身体按摩单人套餐,48,90
豆豆博士专业祛痘连锁机构（并州东街店）,迎泽区,迎泽区,3.9,单人清洁肌肤套餐,18,88
香港磁立瘦（五一广场店）,迎泽区,迎泽区,5.0,体质调理瘦身1次,29.9,67
女王大人半永久工作室,迎泽区,火车站,4.6,素颜定妆眼线,298,63
拾美养生会所,迎泽区,五一路,4.2,单人肩颈经络疏通,25.9,62
琳妃养生馆,迎泽区,火车站,5.0,水疗1次,9.9,61
纤姝美容美体养生会所,迎泽区,五一路,5.0,推背,58,53
足行天下,迎泽区,迎泽区,4.6,尊享养生,188,52
养身名尚会所,迎泽区,火车站,3.8,名尚一足、开背二选一,88,52
韩蓉专业祛痘店,迎泽区,柳巷商业区,5.0,单人黑头导出2次,38,53
雲指胜镜,迎泽区,迎泽区,4.2,单人十四经络养生套餐,308,46
锦麟养生推拿,迎泽区,火车站,3.5,五脏养生套餐,68,46
苗方净颜祛痘祛斑,迎泽区,解放路,5.0,单人纳晶毛孔洗澡+蛋白面膜,49,45
茹玉美容养生馆,迎泽区,大营盘,4.8,单人美丽一身体验超值套餐,28,44
