商家,区域,商圈,星级,服务,价格,销量
良富足浴,海曙区,月湖盛园,5.0,单人标准足浴套餐,94.9,15637
朋朋修脚（青林湾店）,海曙区,青林湾,4.0,单人足部护理套餐,33.9,15619
朋朋修脚（环城西路店）,海曙区,海曙区,4.3,单人足部护理套餐,33.9,15619
朋朋修脚（大沙泥街店）,海曙区,海曙区,4.8,单人足部护理套餐,33.9,15619
美丽田园（和义大道购物中心店）,海曙区,和义大道,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13569
华府月红1992,海曙区,海曙区,5.0,单人港式按摩套餐,88,10706
秀域科技美容（银杏店）,海曙区,西门口,4.0,单人夏日冰点净脱,88,7218
泰圣荷泰国草本美胸国际连锁机构（宁波海曙店）,海曙区,天一广场,4.1,【特惠】单人美胸体验套餐,1,4204
爱尚甲姐妹花美甲店（鼓楼麦当劳店）,海曙区,鼓楼,5.0,单人UV甲油胶1次,38.9,3058
克丽缇娜（南都店）,海曙区,海曙区,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3035
克丽缇娜（青林湾21号码头店）,海曙区,青林湾,4.9,克丽缇娜水妍润泽单人焕美套餐,158,3035
克丽缇娜（通达路店）,海曙区,环城西路南段,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3035
克丽缇娜（丽园店）,海曙区,环城西路南段,4.5,克丽缇娜水妍润泽单人焕美套餐,158,3035
皇朝养生会馆（海曙店）,海曙区,鼓楼,5.0,单人足浴1次,99,2005
苗医生专业祛痘（海曙店）,海曙区,海曙欧尚,4.9,单人专业痘肌护理套餐,9,1807
润脉堂盲人推拿会所,海曙区,鼓楼,5.0,单人健康养生护理套餐,67,1801
伊锦苑美容美体中心（宁波店）,海曙区,天一广场,3.5,单人美容护理套餐2选1,68,1721
静博士养生美容连锁（东门店）,海曙区,天一广场,5.0,五行通调养护理单人套餐,158,1492
静博士美容养生（月湖·静spa）,海曙区,月湖盛园,5.0,五行通调养护理单人套餐,158,1492
静博士养生美容连锁（蓝天店）,海曙区,环城西路南段,5.0,五行通调养护理单人套餐,158,1492
碧塔海养生会馆（宁波一店）,海曙区,环城西路南段,5.0,【碧塔海推荐】单人养生SPA套餐90分钟,198,1453
逸轩足浴,海曙区,城隍庙,5.0,单人精品足浴,118,1310
芯肤科技专业美肤痘肌护理中心（宁波世纪广场店）,海曙区,天一广场,4.8,单人毛孔深度疏通净排痘肌护理套餐（轻中度）,79,1109
芯肤科技专业美肤痘肌护理中心（宁波世贸中心店）,海曙区,天一广场,4.7,单人毛孔深度疏通净排痘肌护理套餐（轻中度）,79,1109
美雅芙科技美肤生活馆（天之海店）,海曙区,天一广场,4.2,单人五国焕颜套餐,58,1054
亦云时代专业机构（宁波店）,海曙区,青林湾,4.4,9选1温和脱毛,8.8,1011
圣梦美容美体生活馆,海曙区,海曙区,5.0,单人泰式推拿套餐,62,889
修致美皮肤管理中心（宁波天一总店）,海曙区,天一广场,5.0,氧气过敏洗 单人套餐,29,822
瑶玉会,海曙区,南塘老街,4.0,单人足浴1次,119,813
苗医生专业祛痘（联丰店）,海曙区,环城西路南段,5.0,单人痘肌护理2次套餐,38,788
谢式一鼎灸（海曙汇金店）,海曙区,和义大道,4.5,单人谢式一鼎灸保健项目2选1套餐,98,693
中经堂（宁波店）,海曙区,月湖盛园,5.0,单人颈肩调理（推拿／按摩／艾灸／拔罐）套餐,228,636
大学生足浴（法院巷店）,海曙区,鼓楼,5.0,单人超值足疗按摩套餐,88,578
天德堂,海曙区,天一广场,4.6,单人调理按摩4选1,68,522
富侨足浴,海曙区,环城西路南段,5.0,单人富桥标准足浴套餐,89,487
天御古典足道（铭悦广场店）,海曙区,环城西路南段,5.0,单人足浴套餐,99,478
素然雅半永久定妆,海曙区,天一广场,5.0,单人眉形设计+修眉年卡一张,1,409
豪成保健,海曙区,环城西路南段,5.0,单人按摩SPA套餐,238,368
精气神经络推拿,海曙区,海曙区,5.0,单人刮痧／拔罐2选1,25,358
山水足浴,海曙区,西门口,4.0,单人足浴1次,88,356
卓伊百草堂,海曙区,天一广场,5.0,单人拔罐1次,16.9,342
仁艾堂艾灸养生,海曙区,青林湾,5.0,单人拔罐/刮痧二选一1次,39,326
韩美人科技美容连锁（天一广场店）,海曙区,天一广场,4.9,单人超人气单部位终身无限次包脱套餐,98,321
泰一足道,海曙区,海曙区,4.1,单人足浴四选一1次,78,314
十全久美皮肤修复中心（天一店）,海曙区,天一广场,5.0,单人痘肌调理套餐,18,252
宜之夫美容养生,海曙区,鼓楼,5.0,肩颈推拿按摩加古方药泥套餐,98,249
宁波少林永化堂,海曙区,城隍庙,5.0,单人功夫推拿1次,129,246
上水健康足道生活馆,海曙区,青林湾,5.0,单人上水足浴套餐,138,224
银十字（海曙店）,海曙区,海曙区,3.6,单人淡痘套餐,19.9,205
菩瑞婷美容连锁（月湖旗舰店）,海曙区,月湖盛园,4.0,单人全身14经络疏通（大三通）1次,129,205
