商家,区域,商圈,星级,服务,价格,销量
姗娜娜足浴（文一西路店）,西湖区,文一路沿线,5.0,单人经典足浴套餐（赠送汗蒸+洗浴）,79.9,27729
静逸堂功夫肩颈（灯彩街店）,西湖区,三墩镇,4.6,单人功夫肩颈一次,88,16980
儒之堂足道理疗会所（转塘店）,西湖区,美院象山,5.0,单人足浴套餐,145,16276
美丽田园（恩济花苑店）,西湖区,古墩路沿线,4.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13572
美丽田园（西溪天堂店）,西湖区,西溪,4.5,单人美白/保养/紧致/保湿SPA套餐四选一,268,13572
旭康盲人推拿按摩（竞舟路店）,西湖区,文三路沿线,5.0,单人推拿按摩 足疗保健二选一 手法专业、尊贵享受,73.9,12641
香港乐肤皮肤修复中心（文二店）,西湖区,文二路沿线,5.0,单人脸部海藻控油套餐,29,11812
良子足浴（百合花店）,西湖区,西湖区,4.9,单人精油足底按摩套餐,98,9709
良子足浴（文华店）,西湖区,文二路沿线,5.0,单人精油足底按摩套餐,98,9709
太乙盲人推拿按摩（西溪华府店）,西湖区,文一路沿线,5.0,单人全身专业经络保健推拿,69.8,9101
太乙盲人推拿按摩（西溪花园店）,西湖区,文二路沿线,5.0,单人全身专业经络保健推拿,69.8,9101
太乙盲人推拿按摩（星洲花园店）,西湖区,古墩路沿线,5.0,单人全身专业经络保健推拿,69.8,9101
太乙盲人推拿按摩（蒋村花园店）,西湖区,文二路沿线,5.0,单人全身专业经络保健推拿,69.8,9101
大足神农（恒励店）,西湖区,西湖北线/黄龙,5.0,单人神农专业足道（80分钟）,139,7451
秀域科技美容（华星店）,西湖区,文三路沿线,4.6,单人夏日冰点净脱,88,7218
秀域科技美容（金色蓝庭店）,西湖区,文一路沿线,4.0,单人夏日冰点净脱,88,7218
足本纪（杭州旗舰店）,西湖区,文三路沿线,5.0,单人养生一式体验套餐,149,6664
芬芳四季养生会所（教工店）,西湖区,教工路/学院路,5.0,原生态足浴单人套餐,108,6455
丽晶足浴（文一西路店）,西湖区,文一路沿线,5.0,单人足浴3选1＋足底走罐,69,5859
丽晶足道（西溪分店）,西湖区,龙井,4.7,单人足浴3选1＋足底走罐,69,5859
姚氏按摩（文二西路店）,西湖区,文二路沿线,3.9,单人专业脊柱调理套餐,60,5403
洪虹盲人推拿,西湖区,三墩镇,4.4,单人全身中式推拿按摩,58,5376
元泉盲人推拿（西溪店）,西湖区,文二路沿线,5.0,经穴推拿/足疗单人套餐二选一,70,4919
元泉盲人推拿（文华店）,西湖区,古墩路沿线,5.0,经穴推拿/足疗单人套餐二选一,70,4919
喜莲福健康管理Spa,西湖区,文二路沿线,5.0,单人洗浴,68,4539
一指禅盲人按摩,西湖区,文一路沿线,5.0,单人盲人推拿按摩,73.9,4415
一指禅盲人推拿中心,西湖区,古墩路沿线,4.9,单人盲人推拿按摩,73.9,4415
一指禅盲人推拿按摩（同人精华店）（同人精华分店）,西湖区,古墩路沿线,4.5,单人盲人推拿按摩,73.9,4415
一指禅盲人推拿按摩（城西银泰店）,西湖区,古墩路沿线,5.0,单人盲人推拿按摩,73.9,4415
一指禅,西湖区,古墩路沿线,5.0,单人盲人推拿按摩,73.9,4415
伊植美女子美容会所（西城广场院）,西湖区,西城广场,4.9,单人全身通养经络SPA/面部新生莹白嫩肤SPA,36,4289
伊植美女子美容会所（湖畔院）,西湖区,古墩路沿线,5.0,单人全身通养经络SPA/面部新生莹白嫩肤SPA,36,4289
伊植美（e.g.miss）女子美容spa会所（物美院店）,西湖区,文一路沿线,3.0,单人全身通养经络SPA/面部新生莹白嫩肤SPA,36,4289
汇鼎足道（三墩店）,西湖区,古墩路沿线,4.9,单人推荐足疗一次,110,3679
法国碧蔻女子养生会所（火炬店）,西湖区,教工路/学院路,5.0,单人护理秒杀套餐,1,3480
克丽缇娜（星洲店）,西湖区,古墩路沿线,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（文三店）,西湖区,文三路沿线,3.7,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（莲花街店）,西湖区,古墩路沿线,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（良户家苑店）,西湖区,西湖区,4.5,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（悦美连锁●华星店）,西湖区,文二路沿线,5.0,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（悦美连锁●和家园店）,西湖区,小和山,4.1,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（文苑店）,西湖区,古墩路沿线,4.1,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（三墩颐景园店）,西湖区,三墩镇,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（西溪风情澄品店）,西湖区,文一路沿线,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（西溪诚园店）,西湖区,文一路沿线,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3038
克丽缇娜（西城店）,西湖区,西城广场,4.3,克丽缇娜水妍润泽单人焕美套餐,158,3038
