商家,区域,商圈,星级,服务,价格,销量
大唐沐足（关山店）,洪山区,光谷/鲁巷,5.0,大唐初级沐足,69.9,63174
大唐沐足（卓豹店）,洪山区,虎泉/关西,5.0,大唐初级沐足,69.9,63174
大唐沐足（卓刀泉店）,洪山区,石碑岭/街道口,5.0,大唐初级沐足,69.9,63174
大唐沐足（光谷广场店）,洪山区,光谷/鲁巷,5.0,大唐初级沐足,69.9,63174
世龙世家手足健康连锁（友谊大道店）,洪山区,洪山区,3.5,泡脚足浴+修脚护理单人套餐,9.9,26933
竹道养生馆（光谷店）,洪山区,光谷/鲁巷,5.0,单人健康推拿/70分钟宫廷足浴,99.9,23494
大唐沐足（石牌岭店）,洪山区,石碑岭/街道口,5.0,单人高级沐足套餐1次,89.9,15108
臻品足道（杨家湾店）,洪山区,虎泉/关西,5.0,单人臻品足浴套餐,119.9,13228
凤熙阳光港派足浴指压SPA（光谷店）,洪山区,光谷/鲁巷,5.0,单人婉式静心SPA养生套餐,288,13083
凤玺足浴·泰来摩指SPA养生（钢都友谊大道店）,洪山区,洪山区,4.8,单人婉式静心SPA养生套餐,288,13083
舒身堂盲人按摩（光谷软件园店）,洪山区,光谷/鲁巷,5.0,单人按摩调理套餐1份,59.9,9846
舒身堂盲人按摩（华科店）,洪山区,光谷/鲁巷,5.0,单人按摩调理套餐1份,59.9,9846
舒身堂盲人按摩（鲁巷店）,洪山区,光谷/鲁巷,5.0,单人按摩调理套餐1份,59.9,9846
乐肤·科尔皮肤管理中心（南湖佰港城店美白补水）,洪山区,南湖花园,5.0,单人控油补水面部套餐,30,9305
乐肤·科尔皮肤管理中心（群光店）,洪山区,石碑岭/街道口,5.0,单人控油补水面部套餐,30,9305
征舒服盲人按摩（南湖店）,洪山区,南湖花园,5.0,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（恒安路店）,洪山区,南湖花园,5.0,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（关山总店）,洪山区,光谷/鲁巷,4.5,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（光谷旗舰店）,洪山区,光谷/鲁巷,5.0,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（光谷创业街店）,洪山区,光谷/鲁巷,5.0,单人盲人推拿套餐,64.9,8295
