商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康护理连锁（和平区河北街店）,和平区,沙山,3.5,泡脚足浴+修脚护理单人套餐,9.9,26893
朋朋修脚（三经街店）,和平区,南市/马路湾,4.1,单人足部护理套餐,33.9,15618
朋朋修脚（中山广场店）,和平区,中山广场,5.0,单人足部护理套餐,33.9,15618
朋朋修脚（南五旗舰店）,和平区,和平区,4.6,单人足部护理套餐,33.9,15618
朋朋修脚（长白店）,和平区,长白地区,5.0,单人足部护理套餐,33.9,15618
朋朋修脚（热闹路店）,和平区,彩电塔,4.6,单人足部护理套餐,33.9,15618
朋朋修脚（文化路店）,和平区,五里河/南湖公园,5.0,单人足部护理套餐,33.9,15618
圣梦亲体美肤生活馆（太原南街店）,和平区,和平区,4.1,单人美容美体项目3选1套餐,58,10509
靓亮足疗城（文体路店）,和平区,五里河/南湖公园,5.0,单人天下吴双按摩套餐,119,7872
鸥迪足道（和平区西塔店）,和平区,西塔/北市场,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7738
鸥迪足道（沈河区示范店）,和平区,彩电塔,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7738
鸥迪足道（十三纬路店）,和平区,南市/马路湾,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7738
鸥迪足道（汇景店）,和平区,三好街,4.3,单人足底按摩+背部油压+头部按摩套餐,149,7738
鸥迪足道（和平区三好店）,和平区,三好街,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7738
鸥迪足道（长白店）,和平区,长白地区,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7738
鸥迪足道（太原南街店）,和平区,和平区,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7738
千惠足道（三好街店）,和平区,三好街,5.0,单人全身油压/泰式按摩套餐2选1,159,6086
大赏足道（长白店）,和平区,长白地区,5.0,单人悦享背部油压套餐,139,5168
克丽缇娜（沈水路店）,和平区,五里河/南湖公园,3.7,克丽缇娜水妍润泽单人焕美套餐,158,3028
克丽缇娜（远洋店）,和平区,长白地区,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3028
玉蟾足疗（和平店）,和平区,新华广场,4.8,单人玉蟾艾灸足疗,99,509
苗誉专业祛痘连锁机构（三好街店）,和平区,三好街,5.0,苗誉（中国）专业祛黑头套餐,8.9,407
鸥迪足道（和平北大街店）,和平区,南市/马路湾,5.0,单人足底按摩＋背部油压＋头部按摩,149,401
伊美娜美容（新世界花园店）,和平区,三好街,3.8,体验套餐,29.8,401
王氏颈椎腰椎康复保健,和平区,长白地区,5.0,单人颈部按摩,62,398
赵菲美容美体养生会馆,和平区,三好街,4.8,刮痧或拔罐,9.9,389
良子足道会馆（城中店）,和平区,南市/马路湾,5.0,单人良子养生套餐,179,360
苗谣姿然专业祛痘,和平区,万达广场,5.0,面部疮护理,9.9,342
Pi光浴科技嫩白（太原街店）,和平区,和平区,5.0,pi光浴科技美白,96,340
聚源堂中医推拿,和平区,新华广场,5.0,五行拔罐,19.9,310
中医推拿工作室（中医推拿）,和平区,三好街,4.5,单人推拿1次,69,306
康福中式推拿室（万达店）,和平区,万达广场,5.0,单人肩颈调理+腰椎调理,59,305
