商家,区域,商圈,星级,服务,价格,销量
合家欢养生馆（泉州店）,丰泽区,东海大街/师范学院,5.0,中式推拿套系,100,6965
新天地沐足城,丰泽区,侨乡体育馆/东湖,5.0,单人养生套餐3选1,139,5080
新概念养生会所,丰泽区,泉州客运中心周边,5.0,单人传统中式推拿套餐,109,4932
舒芙呦（六灌路店）,丰泽区,六灌路,4.9,单人优指套餐,248,4047
鑫源水疗,丰泽区,永辉/现代家居广场,4.7,单人净桑+自助餐（餐厅重装升级）,78,3516
皇廷商务酒店舒指天尊会所,丰泽区,泉州客运中心周边,5.0,单人尊品高端指压套餐,398,2914
滨海大酒店167足浴,丰泽区,泉州客运中心周边,5.0,单人推拿60分钟,98,2496
老地方健康养生会所,丰泽区,侨乡体育馆/东湖,4.9,单人推拿套餐,88,2278
乐享驿站（泉州店）,丰泽区,侨乡体育馆/东湖,5.0,单人静心1次（周年新客特惠）,169,2140
水之恋spa养生,丰泽区,领SHOW天地,5.0,单人SPA套餐,268,2057
魔指印象港派足浴指压,丰泽区,宝洲路,5.0,单人印象指压(新茶品鉴),138,1958
玫丽仙境（东湖店）,丰泽区,侨乡体育馆/东湖,5.0,单人按摩1次,398,1955
玫丽仙境（新车站店）,丰泽区,大洋百货周边,5.0,单人按摩1次,398,1955
云璟汇港派足浴指压,丰泽区,永辉/现代家居广场,5.0,单人云璟足浴1次,99,1943
水沐堂养生馆（温陵店）,丰泽区,大洋百货周边,5.0,单人尊享休闲套餐,278,1383
至尊天境休闲会所,丰泽区,丰泽区,4.8,名仕指压单人1次,318,1238
十年中医推拿老店,丰泽区,六灌路,5.0,单人拔罐套餐,15,1158
来春沐足城,丰泽区,丰泽区,5.0,单人木桶浴1次,128,1154
天遇韩情丶足浴SPA指压（泉州店）,丰泽区,大洋百货周边,5.0,单人花香SPA  全新手法升级超值优惠体验,198,1088
大自然会所（八一酒店内）,丰泽区,美食街,5.0,单人艾疗套餐1次,139,1028
香港瑶芳专业袪痘（津淮店）,丰泽区,津淮街,5.0,单人清痘2次,8.8,221
玫瑰林保健中心,丰泽区,永辉/现代家居广场,4.8,单人木桶浴,128,220
伊滋日式美甲美睫,丰泽区,浦西万达广场,5.0,单人精修手,9.9,195
赛凡宫女子美容会所,丰泽区,丰泽区,3.6,养生护理套餐,28.8,189
依然美容养生馆,丰泽区,星光不夜城及周边,4.1,艾灸身体护理套餐,48,187
都都美容（津怀店）,丰泽区,津淮街,3.5,单人美容SPA套餐,128,186
都都美容（泉州田安店）,丰泽区,六灌路,3.5,单人美容SPA套餐,128,186
都都美容,丰泽区,美食街,3.5,单人美容SPA套餐,128,186
妙指仙境（惠民酒店店）,丰泽区,丰泽区,5.0,单人妙指心境1次,338,186
花都养生会所,丰泽区,美食街,5.0,花都SPA（限时特惠）,168,179
康福源盲人推拿足浴,丰泽区,星光不夜城及周边,4.9,单人推拿/足浴2选1,56,170
索菲美容美体会所,丰泽区,浦西万达广场,5.0,单人推拿＋艾灸＋刮痧调理套餐,108,144
乐享汇韩情足浴指压（宝珊花园店）,丰泽区,黎明大学/宝山/宝珊,5.0,单人静心指压,138,140
朵汐美学馆（中骏世界城店）,丰泽区,中骏世界城,5.0,单人面部补水护理1次,58,125
娉娉淑女美容美体会所（田安旗舰院）,丰泽区,侨乡体育馆/东湖,4.7,单人日本葛式补水淡斑护理一次,68,123
