商家,区域,商圈,星级,服务,价格,销量
香港之春（南沙店）,龙华区,南沙路,5.0,单人港式沐足1次,69.9,62593
香港之春（北京大厦店）,龙华区,国贸大道,5.0,单人港式沐足1次,69.9,62593
香港之春（国贸店）,龙华区,美源商业广场,5.0,单人港式沐足1次,69.9,62593
富侨足浴,龙华区,京华城,5.0,单人经典足浴1次,88,27882
珈和源养生会馆（世贸店）,龙华区,金贸西路沿线,5.0,单人百草足浴一次,79,20613
珈和源养生会馆（国贸店）,龙华区,玉沙路,5.0,单人百草足浴一次,79,20613
安然纳米汗蒸养生馆（悠生海华民声店）,龙华区,海口湾,4.1,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸（昌茂时代天骄店）,龙华区,龙昆南路,5.0,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸养生馆（金海广场店）,龙华区,金龙路,4.8,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸养生馆（滨涯店）,龙华区,金盘,5.0,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸养生馆（现代花园店）,龙华区,南沙路,4.8,单人养生汗蒸1次,26.8,18437
御指仙境（尚轩国际国贸店）,龙华区,国贸大道,5.0,指压按摩单人套餐,199,15160
御指仙境（尚轩国际濠江店）,龙华区,海秀中路,4.4,指压按摩单人套餐,199,15160
御指仙境（侨中店）,龙华区,海秀中路,5.0,指压按摩单人套餐,199,15160
御指仙境（龙华店）,龙华区,解放西/泰龙城,4.9,指压按摩单人套餐,199,15160
御指仙境（尚轩国际豪苑店）,龙华区,南站/南海大道,4.0,指压按摩单人套餐,199,15160
美丽田园（世贸店）,龙华区,金山广场,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
德福专业推拿养生馆（京华城店）,龙华区,京华城,5.0,单人专业正骨推拿1次,68,7009
新天足（龙华路）,龙华区,龙华区,5.0,单人推拿套餐,98,4797
新天足（世贸店）,龙华区,金贸西路沿线,5.0,单人推拿套餐,98,4797
珈和源养生会馆,龙华区,南沙路,5.0,单人百草足浴1次,80,4459
世纪缘养生会馆（金宇路店）,龙华区,金宇路,5.0,单人特惠茗品足疗套餐,79,3862
大唐美容养生会馆（解放西精品店）,龙华区,解放西/泰龙城,5.0,单人足疗放松按摩/专业肩颈调理/面部护理/头部拨筋【4选1】,49,3273
家富富侨健康会所（龙昆南旗舰店）,龙华区,龙昆南路,5.0,单人经典御足,108,3167
欣奕除疤（龙华店）,龙华区,解放西/泰龙城,4.5,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
克丽缇娜（富豪大厦店）,龙华区,玉沙路,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3092
河南丽康专业推拿（国贸店）,龙华区,玉沙路,5.0,单人中式按摩套餐（含拔罐+刮痧）,62,2820
按麽易（京华城店）,龙华区,京华城,5.0,单人全身按摩1次,39,2688
一指堂河南专业推拿,龙华区,龙华区,5.0,单人推拿刮痧拔罐套餐1份,59.8,2389
精诚专业颈腰椎推拿保健,龙华区,龙华区,5.0,单人专业颈或腰推拿体验1次,68,1985
伊人阁美容养生馆,龙华区,京华城,5.0,伊人阁美容养生馆美护套餐,32,1985
足道原理养生会馆,龙华区,金山广场,5.0,单人推拿按摩套餐1次,178,1961
喜悦温泉水会,龙华区,金山广场,5.0,单人净桑+搓背套餐1份,118,1929
刘氏华艺堂,龙华区,南站/南海大道,5.0,刮痧拔罐艾灸,28,1931
河南人专业推拿（金龙路店）,龙华区,金龙路,5.0,单人全身推拿套餐,68,1848
御都国际（国贸店）,龙华区,国贸大道,4.8,单人御都国际指压（原278指压限时抢购138）,188,1593
红洋坊美容（大同分店）,龙华区,解放西/泰龙城,5.0,雪肤护理,28,1539
红洋坊美容（国贸分店）,龙华区,京华城,4.3,雪肤护理,28,1539
红洋坊美容（金宇路分店）,龙华区,金牛岭公园周边,4.6,雪肤护理,28,1539
水颜舫美会（海德路店）,龙华区,海德路,4.3,单人水颜舫美会肩颈保养套餐一次,39.8,1291
盈丰健康修身中心,龙华区,龙华区,5.0,单人全身按摩套餐1次,58,1271
新标榜,龙华区,京华城,5.0,单人爽身背疗1次,108,1179
玉莲池足道养生会所,龙华区,坡博村,4.7,单人情感御指（精品指压）,188,1167
