商家,区域,商圈,星级,服务,价格,销量
奈瑞儿塑身美颜（香洲店）,香洲区,香洲汽车总站,5.0,面部保湿+肩颈放松双宠套餐,128,50734
奈瑞儿塑身美颜（景山店）,香洲区,吉大,5.0,面部保湿+肩颈放松双宠套餐,128,50734
奈瑞儿塑身美颜（乐世界店）,香洲区,香洲区,5.0,面部保湿+肩颈放松双宠套餐,128,50734
奈瑞儿塑身美颜（拱北店）,香洲区,拱北,5.0,面部保湿+肩颈放松双宠套餐,128,50734
茜茜美容养生SPA会所（拱北兰西店）,香洲区,夏湾,5.0,单人女性香薰精油护理套餐,39,29444
静逸堂功夫肩颈（NB自然美）,香洲区,吉大,4.0,单人功夫肩颈一次,88,16990
贵福源保健按摩中心,香洲区,前山,5.0,单人足浴按摩二选一,59.8,12769
康美益足浴保健中心,香洲区,吉大,5.0,康美益单人足浴按摩2选1套餐,58,12018
老天姿足部按摩中心,香洲区,香洲汽车总站,5.0,单人足浴/按摩2选1,60,11464
益健休闲保健会所,香洲区,摩尔广场,5.0,单人保健沐足,68,9496
适健足底按摩中心（总店）,香洲区,香洲汽车总站,5.0,按摩/足浴单人套餐,58,6959
张钰强中医正骨推拿研究所（华发四季店）,香洲区,新香洲,3.8,中式刮痧/拔罐（单人套餐）,0.99,6615
张钰强中医正骨推拿研究所（兰埔店）,香洲区,拱北,5.0,中式刮痧/拔罐（单人套餐）,0.99,6615
张钰强中医正骨推拿研究所（吉大店）,香洲区,吉大,5.0,中式刮痧/拔罐（单人套餐）,0.99,6615
张钰强中医正骨推拿研究所（柠溪总店）,香洲区,柠溪,5.0,中式刮痧/拔罐（单人套餐）,0.99,6615
张钰强中医正骨推拿研究所（南屏店）,香洲区,南屏,5.0,中式刮痧/拔罐（单人套餐）,0.99,6615
张钰强中医正骨推拿研究所（拱北店）,香洲区,夏湾,4.8,中式刮痧/拔罐（单人套餐）,0.99,6615
张钰强中医正骨推拿研究所（体育中心店）,香洲区,柠溪,3.5,中式刮痧/拔罐（单人套餐）,0.99,6615
若轩保健按摩馆,香洲区,摩尔广场,5.0,中式整骨推拿/刮痧护理保健单人套餐2选1,68,1228
爱琴海休闲会所,香洲区,夏湾,4.8,3D电影沐足套餐,49.9,1174
千蔓美容连锁（拱北店）,香洲区,拱北,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（柠溪店）,香洲区,柠溪,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（华发店）,香洲区,华发商都,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（吉大店）,香洲区,吉大,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容SPA养生中心（兰埔店）,香洲区,香洲区,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（新香洲店）,香洲区,香洲区,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（扬名店）,香洲区,香洲区,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（北岭店）,香洲区,拱北,4.9,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（五洲店）,香洲区,香洲汽车总站,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（紫荆店）,香洲区,香洲汽车总站,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
千蔓美容连锁（华策店）,香洲区,南屏,5.0,单人肩颈舒缓+嫩白保湿注氧护理套餐,99,1013
每周一护（吉大店）,香洲区,吉大,5.0,每周一护单人BIO洁净美肤护理1次,99,983
每周一护（摩尔百货店）,香洲区,摩尔广场,5.0,每周一护单人BIO洁净美肤护理1次,99,983
每周一护（新香洲店）,香洲区,新香洲,5.0,每周一护单人BIO洁净美肤护理1次,99,983
库博士专业祛痘（拱北分院店）,香洲区,拱北,5.0,单人美白去印护理2次套餐,25,899
库博士专业祛痘（南坑旗舰店）,香洲区,香洲汽车总站,5.0,单人美白去印护理2次套餐,25,899
贝克皇家spa美容美发（中电大厦店）,香洲区,吉大,4.0,单人高级发型师商务洗剪吹,30,859
聚海湾（香洲店）,香洲区,香洲汽车总站,4.3,单人足浴按摩2选1,49,810
鼎盛源保健休闲中心,香洲区,香洲区,4.8,鼎盛源按摩/沐足2选1,55,670
妙手堂正骨推拿,香洲区,拱北,5.0,单人推拿体验半小时,9.9,649
慧妍雅集美容时尚会所（南油店）,香洲区,吉大,5.0,单人高级面部护理5选1套餐,68,640
慧妍雅集美容时尚会所（吉大店）,香洲区,吉大,4.2,单人高级面部护理5选1套餐,68,640
慧妍雅集美容时尚会所（新香洲店）,香洲区,新香洲,4.3,单人高级面部护理5选1套餐,68,640
慧妍雅集美容时尚会所（拱北店）,香洲区,拱北,4.2,单人高级面部护理5选1套餐,68,640
向健养生馆（北山店）,香洲区,南屏,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（梅华东店）,香洲区,香洲汽车总站,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（兰埔店）,香洲区,香洲区,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（葵竹苑店）,香洲区,新香洲,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（吉大店）,香洲区,吉大,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（银石雅园店）,香洲区,香洲区,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（中珠上城店）,香洲区,前山,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（嘉园店）,香洲区,前山,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
向健养生馆（棕榈假日店）,香洲区,香洲区,5.0,拔罐/刮痧/艾灸三选一套餐,38,602
元启堂,香洲区,夏湾,5.0,中华汗蒸+元启推拿（单人使用）,128,600
胡进中医整脊推拿养生馆,香洲区,夏湾,5.0,单人颈椎护理套餐,60,568
清水芙蓉,香洲区,新香洲,5.0,清水芙蓉美容A套餐,68,566
静美轩（前山店）,香洲区,前山,5.0,养生美容套餐4选1,68,549
静美轩美容养生馆,香洲区,香洲汽车总站,5.0,养生美容套餐4选1,68,549
碧蒂欧香薰SPA会所（柠溪店）,香洲区,柠溪,4.0,碧蒂欧●夏娃香薰SPA会所舒适套餐,198,346
碧蒂欧香薰SPA会所（免税店）,香洲区,吉大,4.2,碧蒂欧●夏娃香薰SPA会所舒适套餐,198,346
美丽概念,香洲区,拱北,5.0,【美颜美体】单人靓颜+ 舒肩双重套餐,108,337
Miss beauty korea,香洲区,南屏,5.0,单人小气泡深层皮肤清洁保湿护理,168,328
美淇保健中心,香洲区,金鼎/珠海北站,4.1,单人足浴/中式按摩套餐,45,313
嘉利娜梦会所（吉大百货店）,香洲区,吉大,4.5,护理套餐,35,313
嘉利娜合一阁,香洲区,香洲汽车总站,3.6,护理套餐,35,313
嘉利娜至尊.嘉会所,香洲区,南屏,3.8,护理套餐,35,313
SOR祛痘中心（南屏店）,香洲区,南屏,5.0,单人面部水疗护理套餐,38,308
安美瑜美容工作室,香洲区,情侣中路/市政府,5.0,单人面部尊贵美容护理套餐,58,308
sor祛痘中心（香洲总站店）,香洲区,香洲汽车总站,4.0,单人面部水疗护理套餐,38,308
