商家,区域,商圈,星级,服务,价格,销量
碧涛阁温泉SPA酒店（勒泰店）,长安区,勒泰中心,5.0,洗浴票1张,33,59828
华夏良子（石家庄时代方舟店）,长安区,省博物馆,5.0,代金券,75,11120
秀域古方减肥（冠城店）,长安区,先天下,4.0,单人夏日冰点净脱,88,7218
秀域古方减肥（嘉实蓝岸店）,长安区,方北,4.0,单人夏日冰点净脱,88,7218
欣奕除疤（胜利街店）,长安区,长安区,4.8,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
欣奕除疤（北国店）,长安区,长安区,4.2,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
欣奕除疤（谈固店）,长安区,东胜广场,4.9,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
莎蔓莉莎美容会所（育才街店）,长安区,先天下,5.0,单人莎蔓莉莎贵人经典标准护理套餐,29.9,2364
娇诗尼亚减肥瘦身经络理疗（国赫红珊湾店）,长安区,长安区,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚减肥瘦身经络理疗（乐汇城店）,长安区,长安区,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚经络理疗瘦身保养（北国益中店）,长安区,白佛,4.6,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚减肥塑型经络理疗（荣盛广场店）,长安区,长安区,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚拔罐减肥经络美容（金域蓝湾店）,长安区,谈固,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚减肥瘦身经络理疗馆（奥北店）,长安区,长安区,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚减肥塑型经络理疗中心（广安大街店）,长安区,先天下,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚减肥瘦身经络理疗（谈固瑞城店）,长安区,谈固,5.0,单人全身疏通按摩经络单次体验卡,58,1901
娇诗尼亚经络理疗减肥中心（御景半岛店）,长安区,长安区,4.7,单人全身疏通按摩经络单次体验卡,58,1901
善正堂经络养生馆,长安区,长安区,4.6,单人经络清淤,68,1654
善正堂经络养生馆（筑境店）,长安区,省博物馆,4.8,单人经络清淤,68,1654
彭世修脚养生会馆（空中花园店）,长安区,谈固,4.4,单人足部护理套餐,58,1543
彭世修脚养生会馆（书香华苑店）,长安区,盛世长安,4.3,单人足部护理套餐,58,1543
彭世修脚养生会馆（槐中路）,长安区,谈固,3.5,单人足部护理套餐,58,1543
彭世修脚养生会馆（园明路）,长安区,勒泰中心,5.0,单人足部护理套餐,58,1543
碧涛阁户外温泉,长安区,勒泰中心,4.3,"碧涛阁温泉SPA酒店门票成人票,入园前均可购买",59,1495
御生堂中医按摩（槐中路店）,长安区,方北,5.0,全身保健按摩,79.9,1328
舒筋堂正骨按摩,长安区,北国东尚,5.0,单人调理项目2选1,34.6,1121
六高康复颈肩理疗（荣盛广场1店）,长安区,长安区,5.0,单人专业颈肩调理一次,39,1103
香港莱雅美容连锁机构,长安区,北国东尚,5.0,特惠套餐,19.8,1028
艾尚美丽经络减肥美容瘦身会所（谈固店）,长安区,东胜广场,5.0,单人好评秒杀活动（全身拔罐疏通经络 瘦身 单次卡）,9.9,994
柔婷（金谈固店）,长安区,东胜广场,3.7,单人美容专业护理套餐1次,38,910
柔婷（天客隆店）,长安区,方北,3.7,单人美容专业护理套餐1次,38,910
痘博士专业祛痘连锁机构（石家庄店）,长安区,长安区,4.8,单人祛黑头套餐（请电话预约）,98,731
爱儿乐婴童spa水育乐园（紫晶悦城店）,长安区,盛世长安,5.0,单人单次婴幼儿游泳,29.9,711
起点养生堂,长安区,省四院中基礼域,3.8,起点全息养生套餐,18,618
倾城SPA足浴养生会所,长安区,长安区,4.8,泰式单人推拿全身保健,99,549
