商家,区域,商圈,星级,服务,价格,销量
壹品足道（华福店）,鼓楼区,五一广场/古田路,5.0,单人开背套餐,149,1912
abc休闲会所,鼓楼区,东街口/三坊七巷,4.2,ABC休闲会所单人韩式优指,219,1847
御尚阳光,鼓楼区,鼓楼区,5.0,单人花香养生,238,1660
泰自然（金龙店）,鼓楼区,温泉公园/福州广场,5.0,单人泰式精油套餐,169,1605
医健源推拿馆,鼓楼区,东街口/三坊七巷,5.0,单人全身推拿,69,1375
树汤盲人推拿,鼓楼区,温泉公园/福州广场,5.0,单人盲人推拿,47.9,1190
澜湖世纪温泉会所,鼓楼区,乌山/冠亚广场,5.0,中式超值2选1套餐,249,993
御品会养生会所,鼓楼区,鼓楼区,5.0,单人足浴/推拿2选1,99,967
平凡中式推拿,鼓楼区,省体/湖前,5.0,单人足浴/推拿2选1,48,863
海悦会养生会所,鼓楼区,黎明/小柳市场,5.0,【特惠套餐】单人精油开背+拔罐/刮痧/采耳 3选1,168,854
福榕盲人推拿中心,鼓楼区,东街口/三坊七巷,5.0,推拿/足按/刮痧【3选1】,48,745
法国安杰玛SPA会所（衣锦华庭店）,鼓楼区,东街口/三坊七巷,3.5,单人护理套餐4选1,198,553
安然纳米汗蒸馆（三坊七巷店）,鼓楼区,东街口/三坊七巷,5.0,背部养生套餐,98,552
安然宝贝汗蒸馆（旗舰店）,鼓楼区,鼓楼区,5.0,安然宝贝单人体验汗蒸,18,509
石兴凯减肥/美容/美体/养生（福州分院）,鼓楼区,东街口/三坊七巷,4.6,单人石兴凯中式经络套餐,98,477
爱心盲人推拿,鼓楼区,温泉公园/福州广场,5.0,单人套餐3选1,69.8,466
一冠养生,鼓楼区,五四路,5.0,单人五行拔罐/刮痧2选1,9.9,463
可诺丹婷美容院（东百店）,鼓楼区,东街口/三坊七巷,3.6,可诺丹婷美颜美体连锁特惠丽人套餐,38,390
可诺丹婷美容院（新天地店）,鼓楼区,五四路,3.6,可诺丹婷美颜美体连锁特惠丽人套餐,38,390
可诺丹婷美容院（银湖店）,鼓楼区,左海/西湖公园,3.6,可诺丹婷美颜美体连锁特惠丽人套餐,38,390
可诺丹婷美容院（国棉店）,鼓楼区,省体/湖前,3.6,可诺丹婷美颜美体连锁特惠丽人套餐,38,390
思妍丽(大洋晶典冠亚店),鼓楼区,乌山/冠亚广场,4.2,原花香水润升级DR Bio多肽护理,288,390
可诺丹婷美容院（六一店）,鼓楼区,鼓楼区,3.6,可诺丹婷美颜美体连锁特惠丽人套餐,38,390
万利泉SPA水疗会所,鼓楼区,鼓屏路/屏山公园,4.8,双人万利泉SPA套餐,298,371
伊芙世家尊品时尚spa会所（东百会所）,鼓楼区,东街口/三坊七巷,4.9,单人肽水润面部补水保湿护理套餐1次,258,363
伊芙世家尊品时尚spa会所（湖东会所）,鼓楼区,鼓楼区,4.4,单人肽水润面部补水保湿护理套餐1次,258,363
伊芙世家尊品时尚spa会所（宫廷会所）,鼓楼区,东街口/三坊七巷,4.8,单人肽水润面部补水保湿护理套餐1次,258,363
葛姐足浴推拿中心,鼓楼区,东街口/三坊七巷,5.0,单人足浴推拿套餐,75,358
领秀Spa美甲,鼓楼区,鼓楼区,5.0,单人时尚美甲套餐,38,355
东方美美容院（华林会所）,鼓楼区,五四路,4.5,单人美容套餐,108,349
东方美美容院（西湖会所店）,鼓楼区,左海/西湖公园,5.0,单人美容套餐,108,349
东方美美容院（东街会所）,鼓楼区,东街口/三坊七巷,4.1,单人美容套餐,108,349
东方美美容院(正大广场店),鼓楼区,五一广场/古田路,4.6,单人美容套餐,108,349
亲亲冰点皮肤管理中心（帝豪店）,鼓楼区,温泉公园/福州广场,5.0,单人腋下脱·毛/唇部脱·毛2选1,39,346
蒸灸堂经络推拿,鼓楼区,东街口/三坊七巷,5.0,单人正骨推拿,46,310
华夏足道（鼓东店）,鼓楼区,东街口/三坊七巷,5.0,单人开背+足浴套餐,148,251
肤之净专业祛斑,鼓楼区,五一广场/古田路,5.0,黑脸娃娃,59.9,246
金乐福足浴推拿（达明路店）,鼓楼区,东街口/三坊七巷,4.8,乐福推拿/足按2选1,68,238
8号温泉汤池,鼓楼区,铜盘路/软件园,4.7,单人澳8温泉养生SPA,298,220
刘烽盲人中医推拿,鼓楼区,五一广场/古田路,5.0,足按、推拿套餐,48,181
静美甲,鼓楼区,省立/旗汛口,5.0,单人光疗套餐,70,116
伊芙世家尊品爱美尔会所（爱美尔）,鼓楼区,鼓楼区,5.0,盛夏专场优惠脱毛腋毛包干套餐,98,117
台湾舒筋堂理疗馆,鼓楼区,省立/旗汛口,5.0,单人拔罐刮痧二选一,38,110
芭缇薇儿,鼓楼区,五一广场/古田路,5.0,单人养生护理套餐,128,110
秀域科技美容（洪山桥店）,鼓楼区,金牛山/洪山桥,4.0,高科技生活美容单次体验课程,129,103
秀域科技美容（米罗）,鼓楼区,省体/湖前,4.4,高科技生活美容单次体验课程,129,103
秀域科技美容（华城店）,鼓楼区,鼓楼区,4.0,高科技生活美容单次体验课程,129,103
秀域古方减肥（大儒店）,鼓楼区,金牛山/洪山桥,4.0,高科技生活美容单次体验课程,129,103
秀域科技美容（庆城店）,鼓楼区,省体/湖前,4.0,高科技生活美容单次体验课程,129,103
秀域科技美容（铜盘店）,鼓楼区,铜盘路/软件园,4.0,高科技生活美容单次体验课程,129,103
钦点养生足浴,鼓楼区,东街口/三坊七巷,4.2,钦点养生足浴,42,100
婕妤女子生活美容馆,鼓楼区,五四路,4.3,单人千方热能温宫泥灸/肩颈热能舒畅泥灸二选一,25,100
静水宁心瑜伽spa,鼓楼区,铜盘路/软件园,4.2,单人瑜伽课体验2次,29.9,99
益生园中医经络推拿,鼓楼区,东街口/三坊七巷,5.0,单人精油推背+刮痧/火罐套餐,108,90
伊莱美芙美容会所（鼓楼店）,鼓楼区,铜盘路/软件园,4.2,福州伊莱美芙美容会所美容单人套餐,78,84
MC生活美学mini馆,鼓楼区,鼓楼区,5.0,韩式小气泡深层清洁护理套餐,88,76
吴氏中医盲人推拿,鼓楼区,东街口/三坊七巷,4.0,单人经络穴位推拿+足浴,88,75
吴氏中医盲人推拿足浴中心,鼓楼区,省立/旗汛口,5.0,单人经络穴位推拿+足浴,88,75
郑远元专业修脚房（省府店）,鼓楼区,东街口/三坊七巷,4.7,单人艾草泡脚,54,74
苗老祖专业祛痘（鼓楼店）,鼓楼区,省立/旗汛口,4.0,单人面部清洁护理套餐,32,73
自然园美容会所,鼓楼区,鼓楼区,4.2,单人自然园肩颈经络护理一次,48,41
不老神话,鼓楼区,铜盘路/软件园,5.0,补水+生态球套餐,68,39
美肤馆,鼓楼区,省体/湖前,4.9,单人芳香开背+刮痧+拔罐套餐,69.9,37
康宁松筋养生馆,鼓楼区,津泰路/协和医院,4.4,单人拔罐,50,36
康容堂脸部健康中心（杨桥店）,鼓楼区,东街口/三坊七巷,5.0,单人单次：韩式光子淡斑套餐,120,33
木可家生活馆,鼓楼区,东街口/三坊七巷,4.8,单人养发护理套餐,49.8,33
康容堂脸部健康中心（福州康容堂东街口店）,鼓楼区,东街口/三坊七巷,5.0,单人单次：韩式光子淡斑套餐,120,33
紫罗兰美容美体SPA,鼓楼区,省体/湖前,4.0,单人美容美体SPA,208,29
莎菲琳美容养生会所,鼓楼区,省体/湖前,4.9,菲丝六部传奇护理套餐,68,28
