商家,区域,商圈,星级,服务,价格,销量
朋朋修脚（东环家乐福店）,工业园区,娄葑镇,4.4,单人足部护理套餐,33.9,15628
苏沐堂足浴会所,工业园区,万科美好广场,5.0,单人 足浴/中式推拿 二选一,88,12577
富士康足浴休闲会所（天翔店）,工业园区,左岸商业街,5.0,单人足浴／按摩2选1,128,10531
富士康足浴休闲会所（苏绣路店）,工业园区,左岸商业街,5.0,单人足浴／按摩2选1,128,10531
富士康足浴休闲会所（乐活城店）,工业园区,邻瑞广场,5.0,单人足浴／按摩2选1,128,10531
富士康足浴休闲会所（翠园路店）,工业园区,圆融时代广场,5.0,单人足浴／按摩2选1,128,10531
韩医美-科技美容全国连锁（苏州园区天虹店）,工业园区,左岸商业街,5.0,单人韩国水氧深层清洁套餐,39,7707
秀域科技美容（沈浒店）,工业园区,玲珑湾,4.0,单人夏日冰点净脱,88,7221
秀域科技美容（通园店）,工业园区,娄葑镇,4.0,单人夏日冰点净脱,88,7221
吴韵宫坻养生会所（园区左岸店）,工业园区,左岸商业街,5.0,单人足浴套餐,72,4302
汉傧足道&spa;（园区分店）,工业园区,师惠坊,5.0,汉傧足浴按摩套餐,99,3227
克丽缇娜（星湖街店）,工业园区,邻瑞广场,3.6,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜美容spa（东沙湖邻里中心店）,工业园区,玲珑湾,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜（跨塘大丰收广场店）,工业园区,青剑湖跨塘,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜（东环路家乐福店）,工业园区,娄葑镇,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜（雅戈尔店）,工业园区,玲珑湾,4.4,克丽缇娜水妍润泽单人焕美套餐,158,3088
康福盲人推拿（胜浦店）,工业园区,胜浦,5.0,单人推拿或足浴2选1,65,2821
江南领秀桑拿SPA温泉,工业园区,娄葑镇,5.0,单人洗浴门票,25,2819
青松保健会馆（园区白领店）,工业园区,左岸商业街,4.0,单人 青松足浴套餐 1次,88,2604
华粹堂（苏州店）,工业园区,白塘公园,5.0,单人推拿/拔罐/艾灸/中式养生/肩颈（腰椎）调理套餐,138,736
金足阁足浴,工业园区,车坊,5.0,单人足浴套餐,98,684
仙丽舍中韩美容脱毛连锁机构（园区店）,工业园区,左岸商业街,5.0,单人冰点净毛1次,9.9,654
仙丽舍中韩美容脱毛连锁机构（湖东店）,工业园区,圆融时代广场,5.0,单人冰点净毛1次,9.9,654
清沐SPA生活馆（园区店）,工业园区,左岸商业街,4.4,单人香薰精油沐足/全身按摩2选1+艾草泡脚,108,647
珺媛养生会所,工业园区,圆融时代广场,5.0,单人拔罐特价(不接待男士),1,644
春会馆（唯亭店）,工业园区,唯亭,5.0,单人香薰精油全身推拿【送】足浴,178,626
妙洁盲人推拿,工业园区,联丰广场,5.0,盲人高级推拿,58,606
爱薇妮·皮肤管理中心（园区店）,工业园区,星海国际广场,5.0,单人脱毛套餐券,9.9,579
飓风保健•足浴SPA,工业园区,李公堤,5.0,菁芸足浴/中式推拿2选1,98,570
润元堂足浴保健会所,工业园区,娄葑镇,5.0,单人养生足浴,78,551
乐足轩足浴,工业园区,独墅湖高教区,5.0,足浴盐+保健按摩,118,533
唐三彩美妆（园区时尚舞台店）,工业园区,胜浦,3.5,单人唐三彩美妆体验大礼包套餐,9.9,534
