商家,区域,商圈,星级,服务,价格,销量
世龙世家灰指甲手足健康连锁（西安友谊东路店）,碑林区,文艺路,5.0,泡脚足浴+修脚护理单人套餐,9.9,26968
世龙世家灰指甲手足健康连锁（边家村店）,碑林区,西北大/西工大,5.0,泡脚足浴+修脚护理单人套餐,9.9,26968
世龙世家手足健康护理连锁（碑林区交大路店）,碑林区,交大/理工大,5.0,泡脚足浴+修脚护理单人套餐,9.9,26968
美丽田园（世纪金花珠江时代店）,碑林区,南稍门,4.2,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
圣梦亲体美肤生活馆（理工大店）,碑林区,交大/理工大,5.0,单人美容美体项目3选1套餐,58,10510
秀域科技美容（金泰丰店）,碑林区,广济街,4.3,单人夏日冰点净脱,88,7222
家富富侨足浴（金花北路店）,碑林区,碑林区,5.0,单人家富足疗套餐,108,6769
家富富侨足浴（全国示范店）,碑林区,怡丰城/西荷花园,5.0,单人精品养生足浴套钟,128,6516
天指道足浴（交大店）,碑林区,交大/理工大,5.0,单人标准足浴标三,128,6340
百草堂足疗（总部）,碑林区,交大/理工大,5.0,单人足底套餐,118,6263
百草堂足疗（领袖店）,碑林区,朱雀大街北段,5.0,百草堂足浴（单人）,98,4742
美肌工坊皮肤管理（西安万达广场店）,碑林区,李家村,5.0,单人-超微气泡去螨虫去黑头深层清洁,49.8,4428
首席7号,碑林区,文艺路,4.9,单人首席足浴套餐,168,3779
欣奕除疤（友谊东路店）,碑林区,李家村,4.7,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
克丽缇娜（金华北路店）,碑林区,碑林区,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3092
奕莎美容养生会所（钟楼店）,碑林区,南大街,4.8,奕莎美容养生会所单人美容美体,108,2606
娇莉芙·萃颜坊（兴庆店）,碑林区,交大/理工大,4.8,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
娇莉芙·萃颜坊（万达店）,碑林区,李家村,3.8,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
大足神农（东二环店）,碑林区,立丰国际,5.0,单人足浴套餐,98,2360
益升福推拿养生馆,碑林区,李家村,5.0,单人传统推拿+火罐套系,49,2151
暖水阁浴足苑（朱雀店）,碑林区,朱雀大街北段,4.3,单人专业足浴按摩养生套餐,98,2126
亲亲鱼椰风休闲馆,碑林区,立丰国际,4.7,Doctor亲亲鱼单人鱼疗,19.8,1776
静心美容养生全国连锁机构（中贸店）,碑林区,南稍门,5.0,单人全身艾灸1次,29.9,1731
家富富侨足浴（文艺路店）,碑林区,文艺路,5.0,豪华足浴,138,1599
盛世华庭足浴养生会所,碑林区,立丰国际,5.0,单人泰式按摩套餐,188,1482
雅正推拿,碑林区,南大街,5.0,单人全身推拿1次,68,1247
中伊珍灸堂艾灸推拿调理馆（二十分店）,碑林区,东关正街,5.0,单人艾灸调理特惠体验套餐,9.9,1243
名流足道,碑林区,钟楼/鼓楼,5.0,香浴盐浴足套餐,68,1219
春色满园中医推拿汗蒸养生馆（稻荷中医经络养生馆）,碑林区,李家村,5.0,单人汗蒸体验一次,9.9,1217
家富富侨足浴（钟楼店）,碑林区,钟楼/鼓楼,5.0,极品足浴,168,1190
南派推拿养生工作室,碑林区,李家村,4.7,单人全身推拿优惠套餐,59,1183
西安金花南路圣惠堂中医按摩（圣惠堂正骨推拿按摩）,碑林区,立丰国际,5.0,全身按摩+矫正脊椎（单人）,59.9,1053
百足堂,碑林区,文艺路,5.0,百足舒缓项目（单人）,98,1037
静雅轩足道（和平门店）,碑林区,李家村,5.0,单人经典足浴,108,1032
布达拉养生会所,碑林区,朱雀大街北段,5.0,养生足浴套餐,138,1026
诺娜专业脱毛连锁机构（中贸店）,碑林区,碑林区,5.0,单人双腋下无限次套餐,66,1015
金禾娇指养生馆,碑林区,东大街,4.3,单人足浴套餐,138,936
柔婷（佳昊店）,碑林区,李家村,4.0,单人美容专业护理套餐1次,38,908
柔婷（太白店）,碑林区,怡丰城/西荷花园,4.0,单人美容专业护理套餐1次,38,908
柔婷（经二路店）,碑林区,立丰国际,4.0,单人美容专业护理套餐1次,38,908
水玲珑美容养生会馆（体育场总店）,碑林区,南稍门,4.1,单人面部颈部护理套餐,28,811
柏雅美容美体（草场坡店）,碑林区,南稍门,5.0,面部活氧补水+背部SPA调理套餐,88,787
长健盲人按摩,碑林区,南稍门,5.0,单人全身推拿90分钟,108,712
康乐推拿养生馆,碑林区,南稍门,5.0,单人全身按摩,68,701
马军医颈肩腰腿疼工作室（和平门店）,碑林区,和平门/建国门,5.0,单人全身推拿套餐,69.9,685
益健堂按摩中心,碑林区,和平门/建国门,5.0,单人拔罐刮痧三选一,16.8,680
颜希棠祛痘美容瘦身连锁机构（南稍门店）,碑林区,南稍门,5.0,单人黑鼻头清理套餐,49.8,657
