商家,区域,商圈,星级,服务,价格,销量
御轩足道会馆（清和宜康分店）,云岩区,星力银海元隆广场,5.0,单人五行强腰足道,169,10866
九松堂,云岩区,小十字,5.0,单人九松堂推拿调理套餐,79,10204
秀域科技美容（陕西店）,云岩区,喷水池,3.9,单人夏日冰点净脱,88,7222
若石连锁养生会馆,云岩区,喷水池,5.0,单人足疗（东方神韵反射域调理）,118,6179
良宸足道,云岩区,云岩广场,5.0,单人足浴套餐,78,3358
欣奕除疤（普陀店）,云岩区,六广门,4.4,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
克丽缇娜（普陀店）,云岩区,六广门,4.2,克丽缇娜水妍润泽单人焕美套餐,158,3092
SUNLAND SPA（欣苑连锁店）,云岩区,威清路,5.0,单人SPA套餐,188,2932
本草记,云岩区,北京路,5.0,单人汉方胚穴1次,122,2632
泰国圣荷丰胸美体美容保养馆（贵阳旗舰店）,云岩区,云岩区,5.0,单人胸部护理套餐,38,2212
妙荷轩足道,云岩区,富水北路,5.0,单人妙荷经典,148,2168
香港雅逸国际减肥美体会所（宝山北路店）,云岩区,师大,3.8,护理套餐,68,2005
香港雅逸国际减肥美体会所（文昌南路店）,云岩区,师大,3.9,护理套餐,68,2005
颐和养生馆,云岩区,喷水池,5.0,单人肩颈疏通套餐,29,1890
刘小波盲人按摩理疗（陕西路店）,云岩区,陕西路,5.0,单人盲人按摩/足疗2选1（60分钟）,50,1361
治祥尚品按摩院,云岩区,云岩区,5.0,单人尚品保健按摩（全身70分钟）,88.2,1323
大家乐专业盲人按摩,云岩区,师大,5.0,全身按摩（65分钟）,45,1201
良子足道健身,云岩区,喷水池,5.0,单人足浴套餐(加强新手法),138,1084
曼古御足,云岩区,小十字,5.0,单人曼古主题套餐,158,1015
Chang SPA泰式古法按摩,云岩区,喷水池,5.0,单人传统泰式按摩泰国技师,188,977
美人美甲美睫,云岩区,云岩区,4.0,单人樂er美甲美妆屋纯正貂毛睫毛嫁接套餐,129,176
秦姐中医理疗,云岩区,文昌北路,5.0,单人全身精油套餐,108,172
玉元堂经络通养生馆（中天花园店）,云岩区,云岩区,5.0,单人五行经络刮痧/拔罐二选一,29.9,171
悦诗风吟（小十字店）,云岩区,富水北路,3.9,满100减20元代金券,80,156
泊雅诗美容美体连锁机构,云岩区,恒峰步行街,5.0,按摩保健,38,144
海世界养生（宅吉店）,云岩区,云岩区,4.4,单人海世界养生套餐,68,137
雅妍养身美容会所,云岩区,喷水池,4.3,68元精致护理,68,127
妮彩彩妆美甲工作室,云岩区,小十字,5.0,单人彩妆套餐,18,113
立瘦专业减肥养生中心（中大店）,云岩区,中大国际购物中心,5.0,单人单次瘦肚子/瘦腰,1.8,112
