商家,区域,商圈,星级,服务,价格,销量
清溪湾温泉洗浴酒店,金水区,经三路沿线,5.0,单人洗浴套餐,19.9,19730
重庆富侨足浴（北环店）,金水区,沙门/汽配,5.0,单人足浴套餐,98,13804
毛丢丢永久无痛脱毛嫩肤连锁机构（国贸360广场店）,金水区,国贸360,5.0,单人双腋下或上唇2选1冰爽体验1次,1,13782
毛丢丢永久无痛脱毛嫩肤连锁机构（丹尼斯.大卫城店）,金水区,丹尼斯·大卫城,4.0,单人双腋下或上唇2选1冰爽体验1次,1,13782
美悦荟（丹尼斯店）,金水区,郑东新区CBD,3.5,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
美丽田园（丹尼斯1店）,金水区,郑东新区CBD,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
小朱推拿（国基路店）,金水区,普罗旺世/庙李,5.0,单人局部推拿,45,11980
华夏良子（郑州金水路店）,金水区,金水区省政府,5.0,代金券,75,11148
华夏良子（郑州纬四路店）,金水区,金水区省政府,5.0,代金券,75,11148
家富富侨（东区钻石店）,金水区,郑东新区CBD,5.0,单人足疗套餐,116,9930
皇宫仙指（未来路店）,金水区,曼哈顿广场,5.0,单人知足常乐套餐,139,9116
秀域科技美容（天下城店）,金水区,健康路/体育场,3.6,单人夏日冰点净脱,88,7222
秀域科技美容（三全路店）,金水区,柳林刘庄,4.0,单人夏日冰点净脱,88,7222
秀域科技美容（富田店）,金水区,天旺广场,3.9,单人夏日冰点净脱,88,7222
秀域科技美容（鑫苑店）,金水区,省电视台/北站,4.1,单人夏日冰点净脱,88,7222
秀域科技美容（丰庆店）,金水区,天旺广场,4.1,单人夏日冰点净脱,88,7222
秀域古方减肥（绿城百合店）,金水区,熙地港/王府井,4.6,单人夏日冰点净脱,88,7222
秀域科技美容（红旗店）,金水区,建文新世界,4.2,单人夏日冰点净脱,88,7222
秀域科技美容（经三店）,金水区,经三路沿线,4.0,单人夏日冰点净脱,88,7222
秀域科技美容（丰产店）,金水区,国贸360,3.6,单人夏日冰点净脱,88,7222
金水桶足疗（东风路店）,金水区,天旺广场,5.0,单人养生足浴套餐,88,6870
家富富侨,金水区,健康路/体育场,5.0,单人家富富侨草本浴足套餐,88,6676
重庆家富富侨足浴（玉凤路店）,金水区,曼哈顿广场,5.0,单人特级足浴,138,5062
彭世修脚（纬五路店）,金水区,柳林刘庄,4.8,单人彭世经典足浴,63,4891
彭世修脚（丽江水花园店）,金水区,丰业广场/千盛广场,4.5,单人彭世经典足浴,63,4891
彭世修脚（纬一路店）,金水区,人民路/紫荆山,5.0,单人彭世经典足浴,63,4891
彭世修脚（明鸿路店）,金水区,金城国际广场,4.7,单人彭世经典足浴,63,4891
彭世修脚（品牌店）,金水区,丰业广场/千盛广场,4.5,单人彭世经典足浴,63,4891
彭世修脚（文劳路店）,金水区,财院/轻工业学院,4.7,单人彭世经典足浴,63,4891
彭世修脚（渠东路店）,金水区,陈寨/张家村,4.8,单人彭世经典足浴,63,4891
彭世修脚（丰产路店）,金水区,国贸360,4.3,单人彭世经典足浴,63,4891
彭世修脚（旗舰店）,金水区,农业大学,4.3,单人彭世经典足浴,63,4891
彭世修脚（二十一世纪店）,金水区,沙门/汽配,4.6,单人彭世经典足浴,63,4891
彭世修脚（政七街店）,金水区,金水区省政府,4.3,单人彭世经典足浴,63,4891
彭世修脚（顺河路店）,金水区,曼哈顿广场,4.8,单人彭世经典足浴,63,4891
彭世修脚（农科路店）,金水区,金水区,3.7,单人彭世经典足浴,63,4891
彭世修脚（信息学院路店）,金水区,财院/轻工业学院,3.4,单人彭世经典足浴,63,4891
彭世修脚优胜北路店（优胜北路店）,金水区,大石桥,4.9,单人彭世经典足浴,63,4891
彭世修脚（凤凰茶城店）,金水区,金水区,4.6,单人彭世经典足浴,63,4891
欣奕除疤（东风路店）,金水区,天旺广场,4.6,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3110
欣奕除疤（索凌路店）,金水区,普罗旺世/庙李,4.9,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3110
欣奕除疤（丰产路店）,金水区,国贸360,5.0,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3110
克丽缇娜（花园路店）,金水区,金城国际广场,4.3,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（天下城店）,金水区,健康路/体育场,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（玉凤路店）,金水区,曼哈顿广场,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（通泰路店）,金水区,郑东新区东建材,3.9,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（红专路店）,金水区,经三路沿线,4.3,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（丰产路店）,金水区,国贸360,4.1,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（纬五路店）,金水区,金水区省政府,4.1,克丽缇娜水妍润泽单人焕美套餐,158,3092
知足堂,金水区,普罗旺世/庙李,5.0,单人泰式足浴,118,2877
重庆传奇养生会所,金水区,东建材,5.0,中式足浴,88,2627
一揽芳华,金水区,金城国际广场,5.0,单人知足常乐套餐,139,2590
莎蔓莉莎美容会所（经纬花园会所）,金水区,金水区省政府,4.8,单人莎蔓莉莎贵人经典标准护理套餐,29.9,2377
莎蔓莉莎美容会所（升龙国际会所）,金水区,东建材,4.2,单人莎蔓莉莎贵人经典标准护理套餐,29.9,2377
重庆富侨（英协路店）,金水区,东建材,5.0,单人精品足浴,138,2143
大师兄推拿,金水区,大石桥,5.0,单人30分钟按摩单次,29,2089
雅美宜淳专业脱毛连锁机构（大卫城店）,金水区,丹尼斯·大卫城,5.0,单人双腋下OPT无痛毛发去除无限次套餐,68,1984
雅美宜淳专业脱毛连锁机构（360国贸店）,金水区,国贸360,5.0,单人双腋下OPT无痛毛发去除无限次套餐,68,1984
力道推拿馆,金水区,金水区,5.0,单人中式推拿,37.9,1941
金水桶保健养生会所（文博路店）,金水区,金水万达/蓝堡湾,4.8,金水桶金尊足浴A套餐,138,1931
龙光足浴,金水区,金水区,5.0,龙光足浴139经典单人足浴,109,1909
三温暖足浴养生,金水区,国贸360,5.0,单人温暖一式足浴套餐,138,1867
正元忆江南足道,金水区,金城国际广场,5.0,单人足浴套餐,119,1777
岁安盲人保健按摩（卫生路店）,金水区,大石桥,5.0,单人局部推拿,33,1775
岁安推拿院（优胜南路店）,金水区,大石桥,5.0,单人局部推拿,33,1775
御轩阁足道,金水区,省电视台/北站,5.0,商务足浴单人套餐,99,1592
重庆富侨（商都路店）,金水区,郑东新区东建材,5.0,单人富侨足疗,108,1568
重庆富侨正兴足浴保健会所,金水区,郑东新区东建材,5.0,富侨足浴（单人）,128,1535
新道尔康足浴,金水区,省电视台/北站,5.0,单人宫廷足享,139,1434
龙步足道养生会所,金水区,国贸360,5.0,单人商务足浴,78,1380
森林堂按摩院,金水区,国贸360,5.0,单人推拿按摩,39.9,1312
儒之堂,金水区,郑东新区东建材,5.0,儒之堂儒风套餐,198,1298
聚美专业脱毛连锁机构（国贸360店）,金水区,国贸360,5.0,双腋下蓝宝石冰点无痛脱毛无限次+赠上唇部体验一次,58,1285
艾草仙姑艾灸馆（广电南路店）,金水区,省电视台/北站,4.0,单人友艾卡1张,17.8,1274
艾草仙姑艾灸馆（天旺广场店）,金水区,天旺广场,4.3,单人友艾卡1张,17.8,1274
尤美脱毛（CBD丹尼斯六天地店）,金水区,郑东新区CBD,4.8,单人OPT无限次包脱套餐,88,824
尤美脱毛（尤美脱毛国贸店）,金水区,国贸360,4.8,单人OPT无限次包脱套餐,88,824
尤美连锁（天旺广场店）,金水区,天旺广场,4.6,单人OPT无限次包脱套餐,88,824
重庆富侨（龙子湖店）,金水区,龙子湖校区,5.0,精品足疗（单人）,119,762
女人蜜语美容SPA会所,金水区,国贸360,5.0,单人拔罐刮痧身体减压套餐1次,19.9,742
