商家,区域,商圈,星级,服务,价格,销量
金色印象影院式足体养生会馆（石油路店）,渝中区,大坪,5.0,单人太极指压套餐,139,129310
世龙世家灰指甲手足健康连锁（渝中区大坪正街店）,渝中区,大坪,4.4,泡脚足浴+修脚护理单人套餐,9.9,26968
世龙世家灰指甲手足健康连锁（两路口中山支路店）,渝中区,两路口,4.8,泡脚足浴+修脚护理单人套餐,9.9,26968
静逸堂（伊美世家美容瘦身中心）,渝中区,大坪,4.9,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（香榭丽人八一路店）,渝中区,解放碑,4.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（张玉珊修身堂）,渝中区,大坪,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（苗姿虎歇路店）,渝中区,渝中区,4.5,单人功夫肩颈一次,88,17002
美丽田园（龙湖·时代天街店）,渝中区,大坪,4.8,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
美丽田园（财富中心店）,渝中区,大坪,4.5,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
美丽田园（重庆时代广场店）,渝中区,解放碑,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13597
闲悦印象养生会所,渝中区,大坪,5.0,单人休闲足浴套餐,86,10538
尚足养生会所（较场口店）,渝中区,较场口,5.0,单人草本浴足,98,10282
玩美游乐中心（81PLAZA店）,渝中区,解放碑,5.0,游戏币,32.8,10074
乐肤·科尔皮肤管理中心（大坪店）,渝中区,大坪,5.0,单人控油补水面部套餐,30,9312
咪咪专业脱毛连锁机构（解放碑店）,渝中区,解放碑,4.8,单人双腋下脱毛年卡+赠送比基尼上/侧/造型脱毛单次体验,99,8995
席丹.k歌浴足,渝中区,较场口,4.9,单人席丹K歌浴足,99,8681
家富富侨影院健康会所（大坪石油路店）,渝中区,大坪,5.0,单人高级足浴套餐,88,7739
云璟汇（石油路店）,渝中区,大坪,5.0,单人云璟足浴套餐,108,7137
足乐道足浴,渝中区,解放碑,5.0,单人草本足浴,98,6228
帝逸浴足（大坪店）,渝中区,大坪,5.0,帝逸足浴方案,79.9,5528
爱莎贝儿（解放碑店）,渝中区,解放碑,4.0,补水紧致保湿2次+美白嫩肤+肩颈按摩 超值套餐（可多人使用）,118,4724
爱莎贝儿美容美体（南坪好又多）,渝中区,七星岗,3.5,补水紧致保湿2次+美白嫩肤+肩颈按摩 超值套餐（可多人使用）,118,4724
爱莎贝儿（学田湾店）,渝中区,大礼堂,4.8,补水紧致保湿2次+美白嫩肤+肩颈按摩 超值套餐（可多人使用）,118,4724
爱莎贝儿（解放碑店）,渝中区,解放碑,3.5,补水紧致保湿2次+美白嫩肤+肩颈按摩 超值套餐（可多人使用）,118,4724
富侨新影精品足疗养生,渝中区,大坪,5.0,单人富侨尊享足浴,78.8,4320
克丽缇娜（女人广场店）,渝中区,解放碑,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（化龙桥店）,渝中区,化龙桥/重庆天地,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3092
富侨保健（较场口旗舰店）,渝中区,较场口,4.8,单人草本浴足1次,88,2761
琦品高端抗衰spa私享空间（美美名媛会所）,渝中区,解放碑,3.9,单人护理套餐2选1,168,2760
娇莉芙（重庆时代广场）,渝中区,解放碑,4.2,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
少林养生堂,渝中区,解放碑,5.0,单人浴足保健套餐,73,2281
郭氏富侨（长城宾馆旗舰店）,渝中区,大坪,5.0,单人富侨指压,128,2248
康达盲人按摩推拿中心,渝中区,解放碑,5.0,单人全身经穴推拿按摩（60分钟）,49.9,2115
清肌轻奢美容2号店,渝中区,大坪,5.0,单人沉香悦（精华乳特护+经典油推）肩脊背按摩调理,49,1392
大仁医黎九贴（龙湖时代天街店）,渝中区,大坪,5.0,单人颈椎推拿,48,1294
得一正脊推拿养生馆（时代广场店）,渝中区,解放碑,4.6,单人按摩套餐,139,1215
得一正脊推拿养生馆（解放碑店）,渝中区,解放碑,4.2,单人按摩套餐,139,1215
璞禅足道,渝中区,渝中区,5.0,单人精油香薰SPA,198,1213
富康专业中医推拿理疗养生馆（龙湖时代天街店）,渝中区,大坪,5.0,单人颈肩调理套餐,39.9,1064
南国丽景盲人按摩,渝中区,解放碑,5.0,单人全身按摩,40,1006
坤宁宫SPA私会所（龙湖时代天街店）,渝中区,大坪,5.0,单人泰式肩部疏通保养套餐,98,947
欧妍泉美容养生堂（解放碑店）,渝中区,解放碑,5.0,【身体】单人肩颈经络专业调理套餐,58,921
李渝推拿理疗养生会所总店（总店）,渝中区,大坪,4.5,单人推拿按摩套餐,46.8,830
李渝推拿理疗养生会所分店（康德店）,渝中区,大坪,5.0,单人推拿按摩套餐,46.8,830
益森堂中医理疗养生推拿馆（龙湖时代天街店）,渝中区,大坪,5.0,单人肩颈调理套餐,39.9,832
Nara Thai SPA泰式按摩SPA,渝中区,大坪,5.0,单人泰式古法按摩（90分钟）,228,803
韩蒸天下（龙湖时代天街1栋店）,渝中区,大坪,5.0,单人电气石/砭石2选1汗蒸套餐,22.8,778
痘博士专业祛痘连锁机构（渝中店）,渝中区,两路口,4.7,单人祛黑头套餐（请电话预约）,98,732
magic thai 泰奇幻泰式按摩SPA会馆,渝中区,渝中区,5.0,单人正宗暹罗古法按摩,198,689
佐康专业祛痘（渝中区店）,渝中区,解放碑,5.0,单人护肤养颜八选一,19.9,670
佐康专业祛痘（大坪店）,渝中区,大坪,5.0,单人护肤养颜八选一,19.9,670
奇手推拿足疗养生中心（解放碑店）,渝中区,解放碑,5.0,单人60分钟经典推拿/养生足疗二选一,69.9,657
重庆富侨（临江门店）,渝中区,解放碑,4.9,姜疗浴足套餐,88,582
水霸面部补水站（单次付费不办卡）（解放碑店）,渝中区,解放碑,5.0,单人透明质酸深层补水套餐,69,566
澄正堂推拿理疗中心（雅地天际店）,渝中区,解放碑,5.0,单人肩颈专业护理套餐,98,546
华美整形美容医院,渝中区,上清寺,5.0,冰点脱毛一年包干,99,272
沈氏盲人按摩院,渝中区,朝天门,5.0,单人全身按摩,49.9,257
Lady Shine皮肤管理中心（龙湖时代天街店）,渝中区,大坪,5.0,【深层清洁】气泡微氧净肤单人套餐1次,158,249
