商家,区域,商圈,星级,服务,价格,销量
美丽田园（卓展购物中心店）,南关区,人民广场,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13591
欧元足道养生会馆,南关区,全安广场,5.0,单人欧元银钻套,129,5471
北派修脚（南关店）,南关区,人民广场,5.0,单人北派修脚套餐,28,4134
皇龙浴足（昆山路（5）店）,南关区,东南湖大路,5.0,单人新浴足套餐,129,4100
皇龙浴足（世荣路店）,南关区,南关区,5.0,单人新浴足套餐,129,4100
皇龙浴足（南三环店）,南关区,南关区,5.0,单人新浴足套餐,129,4100
欣奕除疤（平阳街店）,南关区,全安广场,5.0,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
克丽缇娜（洋浦大街店）,南关区,南关区,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜（柏翠园店）,南关区,工大南门,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜（繁荣路店）,南关区,南关区,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3088
克丽缇娜（银湖柳苑店）,南关区,南关区,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3088
娇莉芙.萃颜坊（卫星店）,南关区,卫星广场,4.6,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
娇莉芙.萃颜坊（中海水岸店）,南关区,南关区,4.4,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
丽汇养生足道,南关区,全安广场,5.0,单人足底加全身按摩,108,1825
十二宫休闲足道养生会馆,南关区,南关区政府,5.0,单人宫享经典套餐,108,1599
盛康盲人按摩院（二店）,南关区,南关区,5.0,单人全身保健按摩,69.9,1506
金贵人足道,南关区,东南湖大路,5.0,单人尊享套餐,169,1492
万源足道（萬源足道一店）,南关区,南关区,5.0,单人养生玉足+擦鞋+茶水,78,1319
萬源足道（萬源足道四店）,南关区,南关区,5.0,单人养生玉足+擦鞋+茶水,78,1319
钓鱼岛洗浴休闲会馆（卫星路店）,南关区,卫星广场,5.0,单人古典足底,109,1267
利金足道（白金店）,南关区,人民广场,4.9,罗汉养生单人足浴套餐,96,1076
惠美美容美体生活馆（人民广场店）,南关区,人民广场,5.0,单人美容养护套餐,69,611
彩虹足道宾馆,南关区,全安广场,5.0,单人彩虹超值SPA套餐,199,517
弘殊缘盲人按摩,南关区,南关区,5.0,单人全身保健/足疗二选一,58,490
瑞兴盲人按摩院,南关区,全安广场,4.8,中医按摩60分钟,46,407
皇龙浴足（长春大街十二店）,南关区,人民广场,5.0,单人养生浴足套餐,199,377
足益生修脚按摩店,南关区,南关区政府,5.0,新客户体验单人修脚一次,28,334
库玛泰式spa会馆,南关区,南关区,5.0,单人泰式古法按摩,358,280
金色阳光健足养生会所,南关区,卫星广场,5.0,阳光养生护理,148,252
芳钰私人定制美容院,南关区,南关区,4.3,美体体验套餐2选1,7.9,250
永康中医推拿,南关区,新天地购物公园,5.0,单人颈椎腰椎推拿渗透按摩,36.9,222
雪茹美度（桂林路店）,南关区,人民广场,4.6,单人德国菲瑞丝水凝保湿护理/美国蓓丽雅御脊梳理套餐二选一,99,193
梵希美容,南关区,南关区,5.0,单人芦荟鲜汁水疗,19.8,157
悠悦汎歌女子会所（中海店）,南关区,南关区,4.2,悠悦汎歌专业女子SPA滋养套餐,198,127
金手指养生馆,南关区,南关区,5.0,吉祥套票,109,126
经道养生会馆,南关区,南关区,5.0,单人肩颈按摩调理套餐,19.9,111
植美肤丽人坊,南关区,南关区,5.0,芦荟灌肤美白补水套餐,25.9,39
大汉浴足堂,南关区,全安广场,5.0,单人双手浴足套,169,30
铭媛堂美容瘦身养生馆,南关区,南关区,4.4,全身经络疏通+卵巢保养,29.8,28
脊柱梳理,南关区,南关区,4.0,单人拔罐+刮痧,18.8,27
洛丽塔美容养生会馆,南关区,卫星广场,4.4,单人面部水芭蕾补水,68,23
知艾灸舍养生阁,南关区,人民广场,4.5,单人局部艾灸,16.9,22
艾美之都国际美容养生spa会馆,南关区,南关区,4.7,单色甲油胶套餐,9.9,19
尚赫美容,南关区,全安广场,3.5,面部补水+头部疏通+背部舒压,9.8,18
中海蘭庭推拿按摩,南关区,南关区,5.0,头颈肩腰腿按摩调理,49.8,17
通天丝美容美发SPA馆,南关区,全安广场,4.0,大礼包套餐,88,12
虞美人国际美容连锁机构（亚泰富苑店）,南关区,人民广场,4.6,单人养生套餐,98,11
铜人按摩（万豪小区店）,南关区,南关区,4.3,铜人经典足底,48,8
水丽坊美容美体馆,南关区,南关区,3.5,主推套餐,68,7
伊婷美甲纹绣,南关区,南关区,5.0,韩式无痕仿真美睫+修补套餐,59.9,7
