商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康连锁（车站中路店）,芙蓉区,芙蓉区,5.0,泡脚足浴+修脚护理单人套餐,9.9,26967
世龙世家手足健康连锁（芙蓉区芙蓉中路店）,芙蓉区,芙蓉广场,5.0,泡脚足浴+修脚护理单人套餐,9.9,26967
世龙世家手足健康护理连锁（晚报大道店）,芙蓉区,马王堆,4.6,泡脚足浴+修脚护理单人套餐,9.9,26967
颐而康按摩（车站北路旗舰店）,芙蓉区,梦泽园,5.0,单人高桶养生足疗,100,19854
颐而康（马王堆旗舰店）,芙蓉区,马王堆,5.0,单人高桶养生足疗,100,19854
颐而康（汽车东站旗舰店）,芙蓉区,汽车东站,5.0,单人高桶养生足疗,100,19854
天之道（五一路店）,芙蓉区,袁家岭/火车站,5.0,优质养生标准足浴1次,78,11914
福康保健中心（五一广场店）,芙蓉区,五一广场,5.0,单人中式/养生足疗套餐,99,11375
天之道足浴（八一路店）,芙蓉区,八一路,5.0,单人贵宾标准足浴,119,7937
汉子足浴（婚庆公园店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人泰式足浴1次,78,5433
足熙圆休闲会所,芙蓉区,马王堆,4.8,单人养生足浴,78,5361
长沙市按摩中心（万家丽店）,芙蓉区,芙蓉区,5.0,单人中式按摩1次,79,4619
美肌工坊皮肤管理（长沙万家丽店）,芙蓉区,芙蓉区,5.0,单人-超微气泡去螨虫去黑头深层清洁,49.8,4426
天之道（同鑫家园店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人80分钟标准足疗,149,3455
慧友足浴（晚报店）,芙蓉区,晚报大道,5.0,单人古典泰式足浴套餐,108,3404
天之道足浴（东站嘉茂店）,芙蓉区,汽车东站,4.8,单人中式草尚品足浴1次,109,3290
鸿远足浴（杨家山店）,芙蓉区,德政园/杨家山,5.0,神农足浴,69,3182
克丽缇娜（荷花路店）,芙蓉区,古曲路/浏阳河婚庆文化园,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（长岛路店）,芙蓉区,八一路,4.0,克丽缇娜水妍润泽单人焕美套餐,158,3092
克丽缇娜（五一华府店）,芙蓉区,司门口,3.8,克丽缇娜水妍润泽单人焕美套餐,158,3092
天之道（才子佳郡店）,芙蓉区,芙蓉区,5.0,70分钟商务单人足浴,129,2929
晶奕空间专业脱毛连锁机构（长沙五一广场店）,芙蓉区,五一广场,5.0,单人双腋下蓝宝石温和脱毛无限次套餐,68,2733
无为足道（晚报店）,芙蓉区,马王堆,5.0,单人60分钟足底按摩1次,129,2620
美时慕（万象新天会所）,芙蓉区,五里牌,4.6,单人素颜美人/健康调理/女人花套餐（3选1),99,2615
非常道足浴,芙蓉区,八一路,5.0,足浴,88,2461
天地人和养生驿站（车站北路店）,芙蓉区,五里牌,5.0,单人固本扶阳,358,2289
天地人和养生驿站（人民东路店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人固本扶阳,358,2289
颐而康保健中心（解放东路店）,芙蓉区,人民中路/朝阳路/融圣国际,5.0,单人高桶养生足疗,90,2262
家富足道（八一路店）,芙蓉区,八一路,5.0,单人贵宾足浴90分钟,119,1958
九域足道,芙蓉区,八一路,5.0,泰式按摩,78,1803
汉方经络堂,芙蓉区,德政园/杨家山,5.0,单人经络疏通,68,1743
弘洋养生足疗（弘洋中医馆）,芙蓉区,芙蓉区,5.0,经典足浴,80,1300
媛腾物理学皮肤管理连锁机构（五一广场店）,芙蓉区,五一广场,5.0,单人双腋下上唇手指褪毛体验,30,1222
泓仁国医馆,芙蓉区,八一路,5.0,(优惠体验)单人颈肩腰腿单项正骨推拿,69,1183
见康道莱（湘域相遇店）,芙蓉区,袁家岭/火车站,5.0,单人培元足浴,138,1147
兴威索菲亚美容港（宇成店）,芙蓉区,德政园/杨家山,4.6,单人经典护理项目五选一,99,1129
索菲亚美业集团（天佑店）,芙蓉区,五里牌,3.7,单人经典护理项目五选一,99,1129
索菲亚美业集团（银港店）,芙蓉区,马王堆,4.1,单人经典护理项目五选一,99,1129
索菲亚美业集团（天鹅店）,芙蓉区,芙蓉广场,4.4,单人经典护理项目五选一,99,1129
天子足浴,芙蓉区,湖南农业大学,4.5,普通沐足（70分钟）,78,1102
长沙苗方清颜专业净痘总店（芙蓉广场店）,芙蓉区,韭菜园,4.1,单人去痘体验套餐2次,28,400
名媛臻品足浴（马王堆店）,芙蓉区,马王堆,4.8,单人特价明星臻品足浴,129,393
风度俊容男士spa按摩养生会所（五一路店）,芙蓉区,五一广场,4.2,单人普罗旺斯香薰SPA,298,388
风度俊容男士spa按摩养生会所（人民东路店）,芙蓉区,德政园/杨家山,4.6,单人普罗旺斯香薰SPA,298,388
脊康堂,芙蓉区,德政园/杨家山,5.0,整脊按摩套餐,80,358
东之阳足道健康会所,芙蓉区,马王堆,5.0,60分钟单人标准足浴,89,359
韩后尊荣美容美体会所,芙蓉区,五一广场,3.8,单人护理套餐,38,346
韩后尊荣美容养生私人会所,芙蓉区,芙蓉区,3.9,单人护理套餐,38,346
紫御足道,芙蓉区,湖南农业大学,5.0,单人经典足浴（70分钟）,98,339
永政按摩足疗,芙蓉区,五一广场,5.0,中式养生足疗／中式养生推拿二选一,75,326
家富富侨（星典店）,芙蓉区,五里牌,5.0,古典足浴,108,313
美域SPA生活馆（万家丽广场店）,芙蓉区,马王堆,5.0,单人护理套餐,99,286
知足常乐足浴保健,芙蓉区,五一广场,5.0,单人姜辽足浴套餐,78,282
天之恋足道,芙蓉区,马王堆,5.0,单人足浴,58,271
贺彩养发养生馆（车站北路店）,芙蓉区,五里牌,5.0,单人草本香薰头部+玫瑰水润SPA护理套餐,58,258
克丽缇娜（芙蓉苑店）,芙蓉区,马王堆,4.0,保湿精粹护理,128,253
克丽缇娜（湖湘店）,芙蓉区,芙蓉广场,4.0,保湿精粹护理,128,253
克丽缇娜（梦泽园店）,芙蓉区,梦泽园,4.0,保湿精粹护理,128,253
克丽缇娜（德政园店）,芙蓉区,德政园/杨家山,4.0,保湿精粹护理,128,253
九月高端化妆美甲工作室（SEP.STUDIO）,芙蓉区,五一广场,5.0,单人美妆套餐,39.9,243
蜕变人生美容美体店,芙蓉区,芙蓉区,5.0,单人韩国净痣、黑色素沉淀、浅斑,1,220
尚美美容养生馆（金科店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,小分子胶原蛋白V脸+全身艾灸床,69.9,211
尚美美容养生馆（银港水晶城店）,芙蓉区,马王堆,5.0,小分子胶原蛋白V脸+全身艾灸床,69.9,211
御尚美容美体养生中心（韭菜园店）,芙蓉区,芙蓉区,4.5,单人高端上门服务SPA按摩服务套餐,198,201
康逸堂养生馆（天佑大厦店）,芙蓉区,五里牌,4.7,单人超值养生按摩,65,195
康逸堂养生馆（八一路店）,芙蓉区,五里牌,3.5,单人超值养生按摩,65,195
佐康专业净痘中心,芙蓉区,五一广场,4.9,单人祛痘护理补水套餐,9.9,195
悦妍堂纤体美容会所（万家丽店）,芙蓉区,芙蓉区,5.0,单人肩颈背调理,38,174
美约会美容瘦身连锁（万家丽院）,芙蓉区,马王堆,4.5,单人产后宫廷满月发汗套餐,99,158
韩方科颜专业祛痘连锁（五一广场）,芙蓉区,五一广场,5.0,单人去黑头紧致毛孔护理套餐,29.8,150
华清丽池泰SPA美容养生馆,芙蓉区,芙蓉区,4.1,单人水嫩净肤护理+毛孔清理护理+健胸护理,198,121
美丽故事美容养生馆,芙蓉区,八一桥,4.7,美丽故事身心灵美容养生馆温+艾灸,9.9,117
华丽美容养生馆,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,骨胶原V脸,39.9,114
多莉斯皮肤管理中心（五一广场店）,芙蓉区,五一广场,5.0,单人面部控油、痘肌护理体验,36,111
骨圣堂（万家丽店）,芙蓉区,马王堆,5.0,单人颈肩劳损调理套餐,68,107
玉颜美容养生会所,芙蓉区,芙蓉区,5.0,单人女性肩颈/胸部/卵巢/肾部保养4选1,58,104
碧水芙蓉美容院,芙蓉区,马王堆,4.6,单人女性肩颈/胸部/卵巢/肾部保养4选1,58,104
荟草堂专业痘肌护理中心,芙蓉区,五一广场,5.0,祛黑鼻头单人套餐,29.8,100
嘉丽美容中心,芙蓉区,芙蓉区,5.0,单人V脸女神套餐,520,100
逸足轩足浴养生会所,芙蓉区,五里牌,5.0,70分钟普通足浴,98,97
尚蔓薇兰美容spa连锁机构（芙蓉店）,芙蓉区,马王堆,4.7,单人肩颈调理套餐,58,42
欧丽莎养发养颜养生馆,芙蓉区,马王堆,4.2,单人高级养生套餐,68,41
万象养生堂,芙蓉区,五里牌,4.9,单次背部经络祛湿火罐,19.8,40
唯美荟专业美肤连锁（万家丽华城店）,芙蓉区,芙蓉区,5.0,水精灵补水嫩肤（新客专享）,39.8,39
DIF私人定制美甲美睫会所（新世界百货店）,芙蓉区,五一广场,5.0,单人精修眉+设计眉型,5,37
纤后减肥美容养生会所（芙蓉广场店）,芙蓉区,芙蓉广场,5.0,单人2次背部祛湿调理,38,37
润足蹚,芙蓉区,芙蓉区,4.5,秘制足浴套餐,30,37
美芝莲美甲美睫美容公馆,芙蓉区,五一广场,5.0,单人5·C海洋面部补水护理1次,39.9,36
脊柱梳理,芙蓉区,德政园/杨家山,4.2,单人脊柱梳理1次,60,31
悦馨堂美容会所,芙蓉区,马王堆,5.0,单人肩颈/胸部/卵巢/肾部护理4选1+扶阳灸,68,31
Miss Nail定妆美容馆,芙蓉区,芙蓉广场,5.0,单人单次刮痧、拔罐2选1,29.9,31
源美女子专业美容会所,芙蓉区,马王堆,3.9,单人脐疗超值体验1次,68,30
奈斯美甲美容,芙蓉区,芙蓉区,5.0,单人精致修眉,1,31
Amiea韩式半永久皮肤管理中心,芙蓉区,五一广场,5.0,单人韩式小气泡深层清洁保湿护理,158,29
U Beauty韩式定妆美肤管理中心,芙蓉区,芙蓉区,5.0,单人Aqua Peel韩国超微小气泡毛孔清洁管理,58,27
錦妍中医减肥养生会馆,芙蓉区,马王堆,4.6,单人3次纤妹瘦身特惠体验套餐  减重2—6斤,99,27
英子瑜伽,芙蓉区,五里牌,3.5,单人瑜伽体验1次,28,25
思韵美甲纹绣工作室,芙蓉区,马王堆,5.0,单人冰点净毛包干,199,25
靓妆（万家丽广场店）,芙蓉区,马王堆,5.0,单人修手,10,25
i美丽科技美容馆（五一店）,芙蓉区,韭菜园,4.4,北极冰川面部/金钻媚眼/易通活阳经络/哈尼局部四选三,128,24
科颜美五官精雕美容,芙蓉区,芙蓉区,4.1,单人水氧活肤【面部深层清洁注氧】,29,24
秀域科技美容（迎宾店）,芙蓉区,八一路,4.0,店庆酬宾专享全营养瘦身体验小课程,499,23
苏汐美业,芙蓉区,五一广场,5.0,单人私定美妆套餐,18.8,23
秀域科技美容（朝阳店）,芙蓉区,人民中路/朝阳路/融圣国际,4.0,店庆酬宾专享全营养瘦身体验小课程,499,23
善荣高端皮肤管理中心,芙蓉区,五里牌,5.0,单人物理祛黑头,38,25
秀域科技美容（马王堆店）,芙蓉区,马王堆,4.0,店庆酬宾专享全营养瘦身体验小课程,499,23
秀域科技美容（梦泽园店）,芙蓉区,五里牌,4.0,店庆酬宾专享全营养瘦身体验小课程,499,23
秀域科技美容（荷花园店）,芙蓉区,芙蓉区,4.0,店庆酬宾专享全营养瘦身体验小课程,499,23
风爵spa养生会所（上东印象店）,芙蓉区,晚报大道,5.0,单人精油开背SPA,188,24
美集半永久纹绣学生福利店,芙蓉区,芙蓉区,4.9,单人韩式3D水雾眉设计,180,22
