商家,区域,商圈,星级,服务,价格,销量
苗医生专业祛痘机构（台东店）,市北区,台东步行街商圈,5.0,钜惠尊享单人黑头清洁2次,58,179
芳子美容（科技街店）,市北区,科技街,3.5,单人脊椎保养单次体验一次,176,175
芳子美容（威海路店）,市北区,台东步行街商圈,3.5,单人脊椎保养单次体验一次,176,175
芳子美容（利津路店）,市北区,台东步行街商圈,3.5,单人脊椎保养单次体验一次,176,175
芳子美容（合肥路店）,市北区,市北区,3.5,单人脊椎保养单次体验一次,176,175
芳子美容（湖光山色店）,市北区,浮山后,3.5,单人脊椎保养单次体验一次,176,175
芳子美容（宁夏路店）,市北区,万达CBD,4.0,单人脊椎保养单次体验一次,176,175
芳子美容（台东步行街店）,市北区,台东步行街商圈,3.6,单人脊椎保养单次体验一次,176,175
芳子美容（延安二路店）,市北区,台东步行街商圈,3.6,单人脊椎保养单次体验一次,176,175
芳子美容（新业广场店）,市北区,新业广场,3.5,单人脊椎保养单次体验一次,176,175
康美会纤体美容中心（市北店）,市北区,市北家乐福,5.0,单人肩颈背部疏通／春季疏肝利胆套餐2选1套餐,68,168
海乐游母婴spa生活馆（重庆南路店）,市北区,凯德广场,4.3,单人单次游泳体验,46,160
亮姿美（历城路店）,市北区,台东步行街商圈,4.6,美容养生套餐,88,156
依云小镇（台东店）,市北区,台东步行街商圈,4.1,特惠美容套餐,68,125
依云小镇美容SPA（福州北路店）,市北区,浮山后,4.4,特惠美容套餐,68,125
美舒源健康养生所,市北区,浮山后,5.0,健康经络养生馆单人经络疏通外加艾灸排泄湿,68,118
爱美世家,市北区,万达CBD,5.0,单人芳香开背肩颈疏通＋拔罐／刮痧2选1,88,114
俊逸轩男士spa养生机构,市北区,万达CBD,5.0,单人全身芳香精油按摩,158,109
韩影宫美容美体（威海路店）,市北区,台东步行街商圈,3.8,韩影宫美容养生护理单人超值组合套餐,198,105
秀域古方减肥（福州店）,市北区,凯德广场,4.0,高科技生活美容单次体验课程,129,103
岛城真功夫（哈尔滨路店）,市北区,新业广场,3.6,单人全身推拿（50分钟）+拔罐,55,89
瘦吧减肥专门店（同乐路店）,市北区,浮山后,4.5,单人草本热敷3次套餐,19.9,90
瘦吧减肥专门店（富源广场店）,市北区,浮山后,5.0,单人草本热敷3次套餐,19.9,90
康来舒保健按摩苑,市北区,浮山后,4.8,单人中式推拿调理套餐,48,89
黄大夫推拿所错埠岭店,市北区,新业广场,4.2,单人局部推拿拔罐,38,75
清籁 足疗·养身·spa,市北区,凯德广场,5.0,足部轻风,118,68
御足道足疗保健馆,市北区,海云庵,5.0,单人按摩+刮痧+拔罐,40,64
原宿·古法推拿馆,市北区,市北区,4.7,单人古法全身推拿,98,59
桐楠阁足道,市北区,浮山后,5.0,单人修脚,32.8,55
润葆媖姿,市北区,海琴广场,4.7,单人五行经络背疗+扶阳艾灸,59.9,52
IRIS美颜馆,市北区,万达CBD,5.0,【净痣告别脸上黑点】单人面部无感净痣色素单个体验,9.9,51
世纪康按摩院,市北区,台东步行街商圈,5.0,草本足疗,35,48
佐康专业祛痘（青岛总店）,市北区,台东步行街商圈,5.0,单人祛黑头套餐,38.8,48
悦女子SPA,市北区,台东步行街商圈,5.0,单人芳香背部疏通,38,43
伊美娜女子会所（延吉路店）,市北区,万达CBD,3.7,单人芳香清腹/有氧净排/半身淋巴净排项目3选2套餐,28,41
伊美娜女子会所（辽阳路店）,市北区,新业广场,3.9,单人芳香清腹/有氧净排/半身淋巴净排项目3选2套餐,28,41
爱沐空间美容,市北区,海琴广场,4.2,单人面部精油刮痧／水疗spa,19.9,40
金铭轩大兴推拿养生工作室,市北区,海琴广场,5.0,单人拔罐/刮痧（2选1）,15,39
及时雨推拿院（台东店）,市北区,台东步行街商圈,4.5,单人尊享套餐,119,39
JM.鑫佳人定妆连锁（万达店）,市北区,万达CBD,5.0,韩式美瞳线/润唇/仿真眉设计,10,38
JM.鑫佳人定妆连锁（海泊桥店）,市北区,海云庵,4.7,韩式美瞳线/润唇/仿真眉设计,10,38
JM.鑫佳人定妆连锁（台东店）,市北区,小村庄,4.5,韩式美瞳线/润唇/仿真眉设计,10,38
小飞盲人按摩,市北区,浮山后,4.5,单人局部推拿,45,36
荷悦艾灸,市北区,市北家乐福,4.0,单人艾灸调理套餐,69,35
海福康真功夫足疗,市北区,台东步行街商圈,5.0,单人拔罐,19.9,33
青岛木吒专业减肥（南京路店）,市北区,南京路北段,5.0,单人腹部按摩,39.9,31
爱沐空间,市北区,台东步行街商圈,4.3,单人美甲定制套餐,28,31
木吒专业减肥（浮山后店）,市北区,浮山后,4.2,单人腹部按摩,39.9,31
富荣真功夫足疗,市北区,海云庵,4.7,单人全身经络推拿60分钟,59.9,30
尚恩美甲形象设计中心,市北区,万达CBD,5.0,单人艾灸套餐,37,30
亿叶琏美容连锁（易初莲花店）,市北区,浮山后,4.0,单人美容SPA,23.4,27
亿叶琏美容连锁（丽人坊店）,市北区,浮山后,4.0,单人美容SPA,23.4,27
亿叶琏美容连锁（新业广场店）,市北区,新业广场,4.0,单人美容SPA,23.4,27
亿叶琏美容连锁（台东三路店）,市北区,台东步行街商圈,4.0,单人美容SPA,23.4,27
亿叶琏美容连锁（青岛四方利群店）,市北区,小村庄,4.0,单人美容SPA,23.4,27
大众专业修脚,市北区,台东步行街商圈,3.5,单人生姜热理超值套餐,34,26
恩美国际美吧足吧（万达店）,市北区,万达CBD,4.3,单人背疏调理,18,25
清悦庭保健会所,市北区,台东步行街商圈,3.9,单人养生SPA,99,23
颜靓体靓（台东店）,市北区,台东步行街商圈,4.3,单人韩式背部经络管理,68,23
王氏果菜美容院（长春路店）,市北区,市北区,3.5,单人惊喜体验套餐,49,23
恒佳上瑶池养生会所,市北区,市北家乐福,4.7,单人精油开背1次,88,21
妙晔晔美容养生汀,市北区,台东步行街商圈,5.0,单人DDS生物开背➕颈椎➕肩周护理（45分钟）,39.9,21
柏菲缇妮女子美肤会所（CBD中心店）,市北区,万达CBD,4.6,单人面部深度清洁,69,21
法丽尔美容,市北区,凯德广场,4.0,体脂管理瘦身30天套餐,30,21
华人康专业祛痘,市北区,万达CBD,4.1,单人肌痘护理,9.9,20
美丽摇篮美容美体会馆,市北区,科技街,4.1,单人美容美体套餐,38,20
艾美减肥馆,市北区,万达CBD,3.5,单人泡浴体验卡+精油开给全身疏通经络+拔罐一次,68,20
欧巴美发美容spa养生（四季店）,市北区,市北区,4.1,单人欧巴造型美发套餐,158,20
艾美减肥馆,市北区,台东步行街商圈,4.3,单人泡浴体验卡+精油开给全身疏通经络+拔罐一次,68,20
妙手李按摩馆,市北区,浮山后,4.0,单人成人推拿,55,19
婉嫃美容养生中心,市北区,万达CBD,4.8,单人养生拔罐,9.9,17
伊莎美尔美容会所（台东店）,市北区,台东步行街商圈,5.0,单人美颜泡泡深层清洁套餐,98,18
洛可儿spa美疗会所,市北区,海云庵,4.0,单人瘦身3次,29.9,17
皙泉美容养生馆,市北区,南京路北段,4.1,单人美颜皙泉面部经典护肤,38,16
朱氏推拿,市北区,小村庄,3.8,单人全身推拿,55,16
sl尚丽美学韩国皮肤管理,市北区,万达CBD,4.9,焕白冰点美肤单人体验,198,16
新生活美容美体（四流南路店）,市北区,市北区,3.7,单人面部深层清洁+韩式面部护理,18,13
荣凯盲人推拿足疗（台东五路店）,市北区,台东步行街商圈,4.5,单人全身推拿30分钟,34,12
美尚护肤品&美容护理工作室,市北区,海琴广场,5.0,刮痧拔罐二选一,9.9,12
香妃美容养生会所,市北区,万达CBD,3.5,单人背部拔罐,25,11
鼎御科技美容馆,市北区,浮山后,5.0,单人经典推广深层清洁补水,28.8,11
女神制造者（Goddess Maker）美甲彩妆会所,市北区,市北区,4.3,单人日常／生活／晚宴／职业妆,120,10
韩国魔镜美容会所（CBD店）,市北区,万达CBD,3.6,单人面部护理套餐,29,10
