商家,区域,商圈,星级,服务,价格,销量
佑米造型（祖庙店）,禅城区,祖庙,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310627
佛伦斯私人定制烫染名店（卫国路店）,禅城区,祖庙,5.0,美芝品系列单人美发套餐,168,143259
瑞豪烫染连锁（普君新城店）,禅城区,普君新城,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107228
欧莱雅私人定制美发连锁（佛山九鼎国际店）,禅城区,九鼎国际,5.0,单人洗剪吹/护理套餐2选1,39,101034
施华蔻美发连锁（佛山百花广场店）,禅城区,祖庙,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（佛山店）,禅城区,恒福GO GO PARK,5.0,单人施华蔻烫染套餐3选1,208,85651
欧莱雅私人定制美发连锁（佛山铂顿店）,禅城区,祖庙,5.0,单人施华蔻烫/染/拉3选1套餐,209,70159
紫尚造型（佛山普君新城店）,禅城区,禅城区,4.9,【人气】单人烫染直三选一美发套餐,159,59493
紫尚造型（佛山创意产业园店）,禅城区,创意产业园,5.0,【人气】单人烫染直三选一美发套餐,159,59493
紫尚造型（佛山祖庙店）,禅城区,祖庙,5.0,【人气】单人烫染直三选一美发套餐,159,59493
米娜造型（祖庙店）,禅城区,祖庙,5.0,单人美发套餐5选1,128,35164
摩登时尚（禅城普君新城店）,禅城区,普君新城,5.0,【品质优选】设计师定制裁剪,29.8,23679
可唻咿（福升店）,禅城区,祖庙,4.4,单人高品质烫染套餐,268,22924
迪美造型（沃尔玛迪美分店）,禅城区,东方广场,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
迪美造型（银花总汇店）,禅城区,祖庙,4.9,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
迪美造型（福升商场店）,禅城区,祖庙,4.9,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
丝域养发馆（佛山雅居乐店）,禅城区,季华六路/湖景路,3.6,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（怡景丽苑店）,禅城区,季华六路/湖景路,4.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（佛山凯德广场店）,禅城区,祖庙,4.5,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（佛山印象城店）,禅城区,东建世纪广场,5.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（恒福国际店）,禅城区,恒福GO GO PARK,5.0,玫瑰香薰spa+水润头皮护理,88,10637
迪美造型（亲仁路店）,禅城区,东方广场,4.4,单人欧莱雅超人气套餐168,168,10288
VS沙宣造型全国连锁（百花广场店）,禅城区,祖庙,5.0,单人欧莱雅品质美发套餐,158,9073
米咔造型（百花广场店）,禅城区,祖庙,4.7,单人欧莱雅超人气金典烫染套餐3选1,198,7844
尚艺美容美发连锁机构（禅城兆阳店）,禅城区,兆阳广场,4.6,单人商务洗剪吹套餐,38.8,7715
苹果造型 AP HAIR SALON（季华园店）,禅城区,丽日玫瑰,4.6,单人欧莱雅染烫5选1套餐,298,3385
苹果造型 AP HAIR SALON（百花广场店）,禅城区,祖庙,4.9,单人欧莱雅染烫5选1套餐,298,3385
米苏精致生活造型（玫瑰园店）,禅城区,印象城,4.3,米苏精致洗剪造型,45,3028
米苏精致生活造型（港口店）,禅城区,岭南大道北,5.0,米苏精致洗剪造型,45,3028
米苏精致生活造型（同华店）,禅城区,同济,5.0,米苏精致洗剪造型,45,3028
芭顿美容美发spa,禅城区,东方广场,5.0,单人洗剪吹造型,39,2802
丝艺发廊,禅城区,禅城区,4.4,单人洗剪吹一次套餐,46.9,2606
多米造型（东方沃尔玛丽莎分店）,禅城区,东方广场,5.0,单人洗剪吹套餐,38,2523
多米造型（星星华园国际店）,禅城区,季华园,4.0,单人洗剪吹套餐,38,2523
多米造型全国连锁（惠景城直营店）,禅城区,丽日玫瑰,5.0,单人洗剪吹套餐,38,2523
多米造型全国连锁（永丰大夏店）,禅城区,同济,5.0,单人洗剪吹套餐,38,2523
尚艺时尚造型秀发养疗（禅城市东店）,禅城区,祖庙,4.5,单人设计师洗剪吹套餐1次,33,2376
尚艺（禅城榴苑店）,禅城区,石湾,4.0,单人设计师洗剪吹套餐1次,33,2376
尚艺美容美发连锁机构（禅城体育店）,禅城区,印象城,5.0,单人设计师洗剪吹套餐1次,33,2376
尚艺美容美发连锁机构（禅城普君西店）,禅城区,祖庙,3.9,单人设计师洗剪吹套餐1次,33,2376
《1号连锁》美发专家（永丰大夏店）,禅城区,同济,5.0,乔薇尔（JOVIAL)单选,339,2334
1号连锁（东方沃尔玛店）,禅城区,东方广场,4.3,乔薇尔（JOVIAL)单选,339,2334
星古玛（东方广场）,禅城区,东方广场,5.0,单人风格设计师洗剪吹套餐,33.8,2208
古玛（普君新城店）,禅城区,普君新城,5.0,单人风格设计师造型套餐,59,2134
古玛（东方新天地店）,禅城区,东方广场,5.0,单人风格设计师造型套餐,59,2134
本地制造发型设计（九鼎店）,禅城区,九鼎国际,5.0,烫染直3选1套餐,218,2128
缔凡（金澜北路店）,禅城区,同济,5.0,洗护造型美发套餐,26.8,2119
缔凡（百花店）,禅城区,百花广场,5.0,洗护造型美发套餐,26.8,2119
MG Style Salon网红店（佛山品质总店）,禅城区,祖庙,5.0,【奇幻系列&七代】资深设计师染/SPA热能烫＋洗＋剪＋吹＋护,169,1952
米咔造型（季华园地铁店）,禅城区,丽日玫瑰,4.7,单人店长总监高端烫染3选1,398,1898
皇尚（江湾店）,禅城区,创意产业园,5.0,单人风格设计师洗剪吹套餐（仅限男宾）,25,1878
尚艺美容美发连锁机构（禅城绿景店）,禅城区,丽日玫瑰,5.0,单人高级发型师洗剪吹套餐,42.8,1867
