商家,区域,商圈,星级,服务,价格,销量
佑米造型（义乌商品城店）,江宁区,江宁区,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310640
瑞豪专业烫染连锁（将军大道店）,江宁区,托乐嘉,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
瑞豪专业烫染连锁（江宁大学城店）,江宁区,江宁大学城,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
瑞豪专业烫染连锁（义乌商品城店）,江宁区,东山镇,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
欧莱雅私人定制美发连锁（南京义乌商品城店）,江宁区,东山镇,5.0,单人洗剪吹/护理套餐2选1,39,101038
施华蔻美发连锁（南京江宁万达店）,江宁区,江宁万达,5.0,单人施华蔻烫染套餐3选1,208,85652
施华蔻美发连锁（南京城市之光大厦店）,江宁区,东山镇,5.0,单人施华蔻烫染套餐3选1,208,85652
紫尚造型（南京义乌商品城店）,江宁区,东山镇,5.0,【人气】单人烫染直三选一美发套餐,159,59502
瑞豪专业烫染连锁（殷巷星光名座店）,江宁区,殷巷,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,47907
米娜造型（义乌小商品城店）,江宁区,东山镇,4.2,单人美发套餐5选1,128,35164
米娜造型（谭桥公寓店）,江宁区,东山镇,4.0,单人美发套餐5选1,128,35164
米娜造型（文鼎广场店）,江宁区,江宁大学城,5.0,单人美发套餐5选1,128,35164
佑美乐（欧莱雅美发沙龙）,江宁区,江宁大学城,4.6,单人剪发套餐1份,39.8,28761
启明星·时尚（江宁万达店）,江宁区,东山镇,5.0,美发套餐,128,24643
启明星·时尚（河定桥店）,江宁区,金轮新都汇/欧尚,5.0,美发套餐,128,24643
启明星·时尚（龙眠大道义乌商品城店）,江宁区,东山镇,5.0,美发套餐,128,24643
美天淘日系造型（文鼎店）,江宁区,江宁大学城,5.0,欧莱雅烫发染发直发护理单人套餐,159,24325
摩登时尚（江宁大学城店）,江宁区,江宁大学城,5.0,【品质优选】设计师定制裁剪,29.8,23680
艺境造型（义乌商品城店）,江宁区,东山镇,5.0,单人施华蔻烫/染/直C套餐,208,20695
丝域养发馆（江宁百家湖店）,江宁区,江宁区,4.6,玫瑰香薰spa+水润头皮护理,88,10636
倷丝国际烫染连锁（江宁万达店）,江宁区,东山镇,5.0,单人美芝品美发套餐,168,10611
倷丝国际烫染连锁（天印大道店）,江宁区,东山镇,5.0,单人美芝品美发套餐,168,10611
巴罗国际烫染连锁（木函造型店）,江宁区,江宁区,4.9,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（木函国际）,江宁区,江宁区,4.6,单人超值烫发/染发套餐5选2,378.8,7934
G·T 潮牌私人订制烫染国际连锁（江宁万达）,江宁区,江宁万达,5.0,单人剪发设计 +超值烫/染组合套餐,158,7662
G·T 潮牌私人订制烫染国际连锁（河海大学店）,江宁区,将军大道沿线,4.7,单人剪发设计 +超值烫/染组合套餐,158,7662
G·T 潮牌私人订制烫染国际连锁（托乐嘉店）,江宁区,托乐嘉,5.0,单人剪发设计 +超值烫/染组合套餐,158,7662
美学·星工坊（文鼎广场店）,江宁区,江宁大学城,4.0,单人总监欧莱雅美奇丝烫染套餐,158,7519
蔓莎造型全国连锁（文鼎广场大学城店）,江宁区,东山镇,4.6,单人蔓莎+白领美发套餐,148,5901
菲凌造型（万达店）,江宁区,东山镇,4.9,VIP欧莱雅滋润烫/染/拉3选1,488,4835
炫发造型（托乐嘉店）,江宁区,托乐嘉,5.0,单人洗剪吹1次,10,3554
Sieson 丝颂沙龙（约翰店）,江宁区,东山镇,3.0,单人剪发造型套餐,58,3501
京川形象salon（江宁万达店）,江宁区,东山镇,5.0,单人资深设计师洗剪吹1次,58,2877
美联社&美丽频道造型（江宁东山万达店）,江宁区,东山镇,4.9,单人施华蔻高端烫护/染护2选1,488,2480
DK潮牌（河海大学店）,江宁区,江宁区,4.9,单人私人订制洗剪吹一次,19.8,1714
DK潮牌（托乐嘉总店）,江宁区,托乐嘉,5.0,单人私人订制洗剪吹一次,19.8,1714
DK潮牌（万达直营店）,江宁区,江宁万达,5.0,单人私人订制洗剪吹一次,19.8,1714
威娜潮色接发烫染私人订制（万达店）,江宁区,东山镇,5.0,单人施华蔻人气套餐《3选1》,208,1259
威娜私人订制烫染国际连锁（万达店）,江宁区,东山镇,4.5,单人施华蔻人气套餐《3选1》,208,1259
威娜私人订制烫染国际连锁（大学城店）,江宁区,江宁大学城,5.0,单人施华蔻人气套餐《3选1》,208,1259
本川造型（江宁万达店）,江宁区,东山镇,5.0,首席造型师洗剪吹单人套餐,49,1200
沙宣vs私人订制（义乌商品城店）,江宁区,东山镇,5.0,单人高级施华蔻美发套餐,288,1145
沙宣vs私人订制（万达店）,江宁区,东山镇,5.0,单人高级施华蔻美发套餐,288,1145
沙宣vs私人订制（同曦店）,江宁区,同曦商业圈,5.0,单人高级施华蔻美发套餐,288,1145
沙宣vs私人订制（太阳城店）,江宁区,江宁大学城,5.0,单人高级施华蔻美发套餐,288,1145
1号连锁·潮牌salon（大学城直营店）,江宁区,江宁大学城,5.0,单人施华蔻高端套餐《烫染拉3选1 》,288,1021
Franck Provost梵珀巴黎法式发艺（江宁金鹰店）,江宁区,江宁金鹰/1912,5.0,梵珀专业发型设计造型体验,75,1008
锐变潮牌（托乐嘉店）,江宁区,托乐嘉,5.0,单人高级发型师洗剪吹,18.9,798
锐变潮牌（河海大学店）,江宁区,将军大道沿线,5.0,单人高级发型师洗剪吹,18.9,798
MAJOR麦哲形象造型（江宁金鹰尊享店）,江宁区,江宁金鹰/1912,4.0,技术导师剪发单人套餐,168,752
美界造型（景枫KINGMO店）,江宁区,江宁金鹰/1912,5.0,单人高级设计师剪发1次,75,715
