商家,区域,商圈,星级,服务,价格,销量
施华蔻美发连锁（南宁航洋国际店）,青秀区,航洋国际,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（南宁东盟商务店）,青秀区,东盟商务区,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（南宁首艺东葛店）,青秀区,东葛望园,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（南宁金旺角店）,青秀区,金湖,5.0,单人施华蔻烫染套餐3选1,208,85651
欧莱雅私人定制（南宁航洋国际店）,青秀区,航洋国际,5.0,单人欧莱雅美奇丝烫/染/拉3选1套餐),159,76411
紫尚造型（南宁建政园湖店）,青秀区,园湖路,5.0,【人气】单人烫染直三选一美发套餐,159,59499
紫尚造型（南宁航洋国际店）,青秀区,航洋国际,5.0,【人气】单人烫染直三选一美发套餐,159,59499
紫尚造型（东葛店）,青秀区,东葛望园,5.0,【人气】单人烫染直三选一美发套餐,159,59499
紫尚造型（南宁国贸店）,青秀区,国贸中心,5.0,【人气】单人烫染直三选一美发套餐,159,59499
紫尚造型（南宁东方广场店）,青秀区,仙葫,5.0,【人气】单人烫染直三选一美发套餐,159,59499
芸熙美人（水晶城店）,青秀区,金湖,3.8,欧莱雅烫染拉5选1+高级护理+洗剪单人套餐,229,48633
瑞豪专业烫染连锁（航洋国际店）,青秀区,航洋国际,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,47907
米娜造型（桃源路百佳华店）,青秀区,桃源天桃路口,5.0,单人美发套餐5选1,128,35164
米娜造型（盛天地店）,青秀区,东盟商务区,5.0,单人美发套餐5选1,128,35164
米娜造型（中山路丽原天际店）,青秀区,丽原天际,5.0,单人欧莱雅高端五选一套餐,198,27358
启明星·时尚（丽原天际店）,青秀区,丽原天际,4.8,美发套餐,128,24643
美天淘日系沙龙（青秀店）,青秀区,国贸中心,5.0,欧莱雅烫发染发直发护理单人套餐,159,24325
摩登时尚（七星路新天地店）,青秀区,七星路,5.0,【品质优选】设计师定制裁剪,29.8,23680
摩登时尚（华润万家店）,青秀区,东葛望园,5.0,【品质优选】设计师定制裁剪,29.8,23680
88潮牌美发连锁（天健公馆店）,青秀区,东盟商务区,4.9,单人洗剪吹,38.8,20218
北京汤米造型（航洋店）,青秀区,航洋国际,5.0,汤米造型总监洗剪吹1次 民族大道,60,2529
北京汤米（古城总店）,青秀区,古城民族,5.0,汤米造型总监洗剪吹1次 民族大道,60,2529
多米造型全国连锁（国贸店）,青秀区,国贸中心,4.6,单人洗剪吹套餐,38,2523
印觉形象设计（金湖店）,青秀区,琅西,5.0,洗剪吹+头部瑜伽,58,2504
印觉形象设计（琅西店）,青秀区,琅西,5.0,洗剪吹+头部瑜伽,58,2504
印觉形象设计（东盟店）,青秀区,东盟商务区,5.0,洗剪吹+头部瑜伽,58,2504
韵龙商务造型（锦春路埌西店）,青秀区,琅西,5.0,单人洗剪吹套餐,29.8,2300
爱时尚造型（国贸分店）,青秀区,丽原天际,5.0,欧莱雅烫、染、拉套餐（3选1）,158,2256
丽人网－广西美发连锁品牌（七星店）,青秀区,七星路,5.0,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
丽人网-广西美发连锁品牌（万象店）,青秀区,东盟商务区,4.9,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
丽人网-广西美发连锁品牌（金旺角店）,青秀区,金湖,5.0,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
丽人网-广西美发连锁品牌（国贸中心）,青秀区,国贸中心,5.0,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
丽人网-广西美发连锁品牌（祥滨店）,青秀区,南湖公园,4.9,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
丽人网-广西美发连锁品牌（凤翔原创店）,青秀区,凤翔路,4.6,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
丽人网-广西美发连锁品牌（东葛永凯店）,青秀区,东葛望园,5.0,美发洗剪吹＋欧莱雅系列3选1单人套餐,158,1992
米咔造型（东葛古城店）,青秀区,东葛古城,4.1,单人店长总监高端烫染3选1,398,1898
C&K;诗倚造型（思贤店）,青秀区,青秀区,5.0,单人发型设计师洗剪造型,52,1865
北京汤米（航洋国际六分店）,青秀区,航洋国际,5.0,北京汤米单人298施华蔻A/B套餐,298,1812
颖秀造型（竹溪大道总店）,青秀区,竹溪大道,4.0,单人专业洗剪吹,32,1735
颖秀造型（东盟分店）,青秀区,东盟商务区,4.9,单人专业洗剪吹,32,1735
楚侗洗发（广园店）,青秀区,青秀区,4.0,茶麸+草本+水疗洗发护理,39.8,646
楚侗洗发（祥宾店）,青秀区,金湖,4.2,茶麸+草本+水疗洗发护理,39.8,646
星艺美发,青秀区,仙葫,4.0,洗剪吹套餐,31,644
你好ING,青秀区,航洋国际,5.0,资深总监单人精剪,80,628
秀·造型,青秀区,丽原天际,5.0,设计师洗剪吹,50,610
时尚定制,青秀区,国贸中心,5.0,单人专业洗护+精剪,39,597
上海公爵,青秀区,丽原天际,4.8,洗剪吹套餐,29.8,595
ShanQi美发沙龙（永凯店）,青秀区,航洋国际,5.0,洗剪吹,38,577
润色头发色彩4s店（国贸女神店）,青秀区,国贸中心,5.0,单人私人订制专业染发套餐,158,565
印象.格莱美发艺馆,青秀区,七星路,5.0,单人设计师剪发,48,534
手艺人美发沙龙工作室,青秀区,国贸中心,5.0,单人总监洗剪吹,38,509
梦幻造型,青秀区,青秀区,5.0,洗剪吹单人套餐,30,490
飘宇美发（东葛店）,青秀区,东葛望园,4.3,洗剪吹套餐,26,472
飘宇美发（新华店）,青秀区,青秀区,4.4,洗剪吹套餐,26,472
美壹造型,青秀区,东盟商务区,5.0,美壹造型单人精剪造型1次,35,465
丝享家·精粹草本养发（桂雅店）,青秀区,东盟商务区,5.0,单人姜泥防掉控油护理,50,434
香港精工制作美发会所,青秀区,古城民族,4.6,总监洗剪吹一次49.9,50,422
本末（维特）专业美发工作室,青秀区,七星新民,5.0,单人施华蔻系列5选1+护理套餐,188,420
托尼造型,青秀区,丽原天际,4.6,私人定制，日本菲灵烫染二选一,358,419
