商家,区域,商圈,星级,服务,价格,销量
佑米造型（思北店）,思明区,思北路口,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310624
佑米造型（罗宾森店）,思明区,罗宾森广场,5.0,丽人狂欢节-单人洗剪吹1份,29.8,289453
佛伦斯私人定制烫染国际连锁（思北店）,思明区,思北路口,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人定制烫染国际连锁（瑞景店）,思明区,加州商业广场,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人定制烫染连锁（世贸店）（世贸店）,思明区,火车站,5.0,美芝品系列单人美发套餐,168,143259
施华蔻美发连锁（厦门火车站世贸店）,思明区,火车站,5.0,单人施华蔻烫染套餐3选1,208,85650
柯琳造型（罗宾森店）,思明区,罗宾森广场,5.0,【洗剪造型】套餐,29.8,74161
芸熙美人造型（禹洲世贸国际店）,思明区,火车站,5.0,欧莱雅烫染拉5选1+高级护理+洗剪单人套餐,229,48633
米娜造型（瑞景店）,思明区,思明区,4.0,单人欧莱雅美奇丝超值烫发/染发二选一美发套餐,168,15876
Queen色彩造型（世贸店）,思明区,火车站,5.0,单人美发套餐,208,13854
Queen私人订制韩式半永久潮店,思明区,新景中心,5.0,单人美发套餐,208,13854
Queen色彩造型（思北店）,思明区,思北路口,5.0,单人美发套餐,208,13854
Queen色彩造型（瑞景店）,思明区,加州商业广场,5.0,单人美发套餐,208,13854
Queen色彩造型（吕厝店）,思明区,莲花,5.0,单人美发套餐,208,13854
丝域养发馆（JFC品尚店）,思明区,会展中心,4.0,玫瑰香薰spa+水润头皮护理,88,10637
精艺美发（博物馆店）,思明区,厦门大学,5.0,单人高级设计师洗剪吹1次,39.8,6413
精艺美发（后滨店）,思明区,思明区,5.0,单人高级设计师洗剪吹1次,39.8,6413
精艺美发（东浦店）,思明区,火车站,4.6,单人高级设计师洗剪吹1次,39.8,6413
川奈时尚造型（梧村店）,思明区,思明区,5.0,单人高级设计师洗剪吹,29.9,1924
MIX美发烫染潮牌沙龙（瑞景店）,思明区,加州商业广场,5.0,单人烫或染或拉直三选一套餐,148,1838
MIX美发烫染潮牌沙龙（世贸店）,思明区,火车站,5.0,单人烫或染或拉直三选一套餐,148,1838
MIX美发烫染潮牌沙龙（思北店）,思明区,思北路口,5.0,单人烫或染或拉直三选一套餐,148,1838
