商家,区域,商圈,星级,服务,价格,销量
佑米造型（三里庵合肥总店）,蜀山区,三里庵,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310645
佑米造型（高新区合家福店）,蜀山区,大铺头,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310645
佛伦斯私人定制烫染国际连锁（港汇广场店）,蜀山区,望潜交口,5.0,美芝品系列单人美发套餐,168,143257
瑞豪专业烫染连锁（东至路店）,蜀山区,蜀山区,3.7,【资深设计师】提案+精致裁剪+造型,28.8,107232
欧莱雅私人定制（港汇人气网红店）,蜀山区,望潜交口,5.0,单人洗剪吹/护理套餐2选1,39,101038
欧莱雅私人定制（合肥旗舰店）,蜀山区,三里庵,5.0,单人洗剪吹/护理套餐2选1,39,101038
施华蔻美发连锁（新华国际店）,蜀山区,望潜交口,5.0,单人施华蔻烫染套餐3选1,208,85654
施华蔻美发连锁（合肥总店）,蜀山区,三里庵,5.0,单人施华蔻烫染套餐3选1,208,85654
美宝莲美发直营连锁,蜀山区,望潜交口,4.6,施华蔻套餐3选1,208,42708
柯琳造型（三里庵鑫鹏大厦店）,蜀山区,三里庵,4.6,【欧莱雅美奇丝/LIGUI】烫染单项套餐,158,27806
米娜造型（三里庵店）,蜀山区,三里庵,5.0,单人欧莱雅高端五选一套餐,198,27358
米娜造型（东至路店）,蜀山区,根据地美食广场,5.0,单人欧莱雅高端五选一套餐,198,27358
可唻咿造型（安粮城市广场恋尚店）,蜀山区,蜀山区,5.0,高级设计师洗剪吹,29.8,27044
可唻咿造型（长江西路三里庵总店）,蜀山区,三里庵,5.0,高级设计师洗剪吹,29.8,27044
启明星·时尚（港汇广场店）,蜀山区,望潜交口,5.0,美发套餐,128,24643
启明星·时尚（合肥三里庵店）,蜀山区,三里庵,5.0,美发套餐,128,24643
美天淘日系沙龙（鑫鹏大厦店）,蜀山区,三里庵,4.9,欧莱雅烫发染发直发护理单人套餐,159,24325
美天淘日系沙龙（港汇广场店）,蜀山区,望潜交口,4.8,欧莱雅烫发染发直发护理单人套餐,159,24325
绚诺soho（三里庵店）,蜀山区,三里庵,4.1,单人资深造型师洗剪吹套餐,29.8,20643
88潮牌美发连锁（大学城店）,蜀山区,蜀山区,5.0,单人洗剪吹,38.8,20221
皇贵妃私人定制（合肥总店）,蜀山区,大唐国际乐购,5.0,韩国卡梦思阿尔刚果无受损烫/染,348,10890
Hi拉妃（中环城购物中心店）,蜀山区,蜀山区,5.0,单人欧莱雅烫/染二选一（含护理）,168,9018
Hi拉妃（大唐国际购物广场店）,蜀山区,望潜交口,4.6,单人欧莱雅烫/染二选一（含护理）,168,9018
Hi拉妃（国购广场店）,蜀山区,三里庵,5.0,单人欧莱雅烫/染二选一（含护理）,168,9018
米咔造型（中环城店）,蜀山区,蜀山区,5.0,单人欧莱雅超人气金典烫染套餐3选1,198,7844
美学·星工坊（三里庵店）,蜀山区,三里庵,4.0,单人总监欧莱雅美奇丝烫染套餐,158,7519
尚美形象（绩溪店）,蜀山区,蜀山区,3.5,综合烫染套餐,418,4195
设计坊SHE造型（港汇广场店）,蜀山区,望潜交口,5.0,代金券,5,4185
意造型（港汇广场琳琅街店）,蜀山区,望潜交口,5.0,单人洗剪吹,30,4097
剪约风（贵池路店）,蜀山区,摩尔广场,5.0,洗剪吹套餐,22.9,3391
黑白秀形象设计中心（琥珀店）,蜀山区,蜀山区,5.0,代金券,98,3232
千潮烫染接发潮牌连锁,蜀山区,蜀山区,4.5,单人施经典超人气烫染套餐私人订制,288,2535
艾比丽私人订制全国烫染连锁（万丝如艺店）,蜀山区,长江西路华联,5.0,单人资深设计师洗剪吹,19.8,2380
艾比丽私人订制全国烫染连锁（鑫鹏大厦店）,蜀山区,三里庵,3.8,单人烫发染发2选1,168,2100
艾比丽私人订制全国烫染连锁（你我他造型店）,蜀山区,中科大,4.7,单人烫发染发2选1,168,2100
姝秀造型,蜀山区,大铺头,4.0,【爆款】设计师剪裁造型单人,38,1600
姝秀造型（名丝国际旗舰店）,蜀山区,青阳路,4.0,【爆款】设计师剪裁造型单人,38,1600
你我她造型连锁（中科大店）,蜀山区,中科大,5.0,单人洗剪吹1次,22.8,1506
私属造型（之心城店）,蜀山区,之心城,5.0,督导剪发+酸性护理,480,1210
JK潮牌沙龙（天门湖店）,蜀山区,蜀山区,5.0,洗吹造型单人套餐,15,1204
JK潮牌沙龙（中环城店）,蜀山区,蜀山区,5.0,洗吹造型单人套餐,15,1204
CoCo时尚色彩造型,蜀山区,三里庵,5.0,【CoCo】奢华施华蔻烫发/染发2选1（含护理）,368,1102
纪梵希护肤造型连锁（1912街区店）,蜀山区,1912街区,5.0,【资深设计师】洗剪吹1次,28,1016
木本造型,蜀山区,蜀山区,5.0,剪发套餐,14.9,921
365天天漂亮造型会所（望园店）,蜀山区,大铺头,5.0,单人高级造型师设计精剪套餐1次,35,807
小世界.潮沙龙（国购店）,蜀山区,三里庵,5.0,总监单人剪发,29,687
阿玛尼视觉造型（安徽大学九龙街店）,蜀山区,蜀山区,5.0,单人总监剪发套餐1次,28.8,613
Tangmu's汤木造型,蜀山区,华邦伊赛特,5.0,单人洗剪吹,42.8,602
伊丽莎私人定制工作室（百大时尚潮店）,蜀山区,望潜交口,5.0,单人首席总监洗剪吹1次,30,601
名门秀烫染会所,蜀山区,三里庵,3.8,单人烫染套餐,258,570
名发世家（农大店）,蜀山区,蜀山区,3.6,【护发节】}洗发+剪发+护发+日韩造型1次,55,554
一木造型设计（鑫鹏大厦店）,蜀山区,三里庵,4.9,单人总设计师洗剪吹套餐,36.8,538
一木造型设计（旺城大厦店）,蜀山区,三里庵,5.0,单人总设计师洗剪吹套餐,36.8,538
艾美造型总店,蜀山区,蜀山区,5.0,单人资深设计师洗剪吹1次,24.8,529
艾美造型,蜀山区,贵池路美食街,4.6,单人资深设计师洗剪吹1次,24.8,529
丝域养发馆（新华学府店）,蜀山区,蜀山区,4.3,丝域玫瑰水润SPA单人套餐,69,525
丝域养发馆（香樟雅苑店）,蜀山区,蜀山区,4.5,丝域玫瑰水润SPA单人套餐,69,525
丝域养发馆（华地店）,蜀山区,蜀山区,4.3,丝域玫瑰水润SPA单人套餐,69,525
丝域养发馆（琥珀山庄店）,蜀山区,蜀山区,4.6,丝域玫瑰水润SPA单人套餐,69,525
丝域养发馆（国轩苑店）,蜀山区,清溪路大润发,4.1,丝域玫瑰水润SPA单人套餐,69,525
玛莎造型护肤,蜀山区,青阳路,4.2,单人奢华烫染套餐,228,450
星尚造型专业烫染,蜀山区,大铺头,5.0,资深发型师洗剪吹单人美发套餐,15,435
Crazy Design（CD设计）,蜀山区,三里庵,5.0,单人首席剪发1次,68,412
DH秀（青阳路店）,蜀山区,青阳路,5.0,单人高级发型师设计洗剪吹套餐,24,351
only工作室,蜀山区,望潜交口,5.0,单人时尚洗剪吹一次,30,327
尚雅造型护肤（西园店）,蜀山区,三里庵,4.9,合肥尚雅15元套餐,15,277
璎莎烫染连锁店,蜀山区,摩尔广场,4.4,单人高级设计师裁剪套餐,20.9,267
SHK定制美发沙龙,蜀山区,三里庵,5.0,单人欧莱雅美奇丝烫染2选1,158,262
Eleven私人形象设计工作室,蜀山区,华润五彩城,5.0,形象设计师剪发（单人）,58,243
UNDERCUT&SALON;,蜀山区,三里庵,5.0,单人施华蔻烫、染、拉套餐3选1,208,213
T-top创意沙龙,蜀山区,望潜交口,5.0,单人首席设计修剪套餐,38,208
DM美发美甲沙龙,蜀山区,长江西路华联,5.0,单人设计师洗剪吹造型,19.9,206
Big up艺术形象设计,蜀山区,望潜交口,5.0,单人总监剪发,38,203
CIC造型女士专享店,蜀山区,三里庵,5.0,单人总监洗剪吹1次,50,185
艾熙韩式半永久纹绣（中环城店）,蜀山区,蜀山区,5.0,单人新锐设计师定制修剪一次,19.8,172
百度造型（华联商厦店）,蜀山区,长江西路华联,4.5,首席洗剪吹单人套餐,25,169
CL美发沙龙,蜀山区,华润五彩城,5.0,单人剪发1次,38,161
金艺美发（琥珀山庄店）,蜀山区,清溪路大润发,4.4,金艺美容美发会所烫发套餐,88,155
追尚发型印象,蜀山区,蜀山区,5.0,追尚发型印象单人洗剪吹,17.6,150
皇家名剪,蜀山区,凤凰城,5.0,单人洗剪+造型套餐,25,144
丝域养发馆（中央美域店）,蜀山区,蜀山区,4.0,玫瑰精油养发,68,5
角色美发沙龙,蜀山区,三里庵,5.0,单人创意总监烫染二选一送护理,169,5
曼秀美容美发美甲,蜀山区,青阳路,5.0,单人首席精剪,25.8,4
金紫雨植物养发馆,蜀山区,蜀山区,3.5,染养发单人套餐,99,4
玛莎造型养生会所,蜀山区,大铺头,3.8,单人资深洗发师剪发+美发师洗发水洗/干洗,20,3
艺容术形象定制中心,蜀山区,蜀山区,4.0,（新锐组）精洗细剪套餐,58,3
Up hair salon,蜀山区,华润五彩城,5.0,单人形象顾问洗吹造型,25,3
七种人明星工坊（合肥店）,蜀山区,华润五彩城,4.6,烫+染单人套餐,377,2
丝路造型,蜀山区,蜀山区,4.2,单人烫发套餐,98,1
Angel造型,蜀山区,蜀山区,3.5,单人精品烫染二选一套餐,168,1
丝艺造型,蜀山区,黄潜交口,3.0,单人烫发式染发套餐A,158,0
美尚造型,蜀山区,蜀山区,4.0,总监烫/染2选1品牌美发单人套餐,298,0
品发艺廊,蜀山区,蜀山区,3.5,蕴特优能发质护理套餐,88,0
皇冠假日酒店美发沙龙（黄山路店）,蜀山区,蜀山区,3.8,单人欧莱雅烫染2选1美发套餐,258,0
白厦美容（琥珀店）,蜀山区,蜀山区,3.9,烫发染发2选1,458,0
卡迪诗美容美发（华府骏苑店）,蜀山区,蜀山区,3.5,单人造型烫+染发+护发,368,0
丝艺工作室,蜀山区,凤凰城,4.5,单人欧莱雅抛光打蜡套餐,158,0
薇梦造型,蜀山区,蜀山区,4.3,单人洗剪吹+护理+烫染套餐,398,0
卡迪诗美容美发（大溪地店）,蜀山区,凤凰城,3.5,单人造型烫+染发+护发,368,0
乔威亚护肤造型中心（史河路店）,蜀山区,凤凰城,3.5,时尚烫染发套餐,998,0
LK梵珀巴黎美发沙龙（LK梵珀巴黎美发沙龙）,蜀山区,根据地美食广场,4.4,单人烫染套餐1次,398,0
唐风采织发补发假发中心,蜀山区,之心城,3.5,单人私人定制织发补发套餐,20000,0
佑米造型（新天地广场旗舰店）,庐阳区,白水坝,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310649
欧莱雅私人定制美发连锁（合肥新天地广场店）,庐阳区,白水坝,5.0,单人洗剪吹/护理套餐2选1,39,101038
可唻咿造型（合肥步行街总店）,庐阳区,宿州路,5.0,高级设计师洗剪吹,29.8,27044
可唻咿造型（蜀山区港汇广场明星店）,庐阳区,银泰百货,4.8,高级设计师洗剪吹,29.8,27044
启明星·时尚（百花井炫彩店）,庐阳区,百花井,5.0,美发套餐,128,24643
88潮牌美发连锁（百花井店）,庐阳区,百花井,5.0,单人洗剪吹,38.8,20221
迪美造型（信地城市广场店）,庐阳区,宿州路,4.7,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
88潮牌美发连锁（银泰中心店）,庐阳区,银泰百货,5.0,单人美发轻度受损发质烫/染/直,299,12101
美天淘日系沙龙（万豪广场店）,庐阳区,双岗,4.7,单人设计师洗剪吹,28,9974
Hi拉妃（宿州路旗舰店）,庐阳区,百花井,5.0,单人欧莱雅烫/染二选一（含护理）,168,9018
Hi拉妃（新天地店）,庐阳区,白水坝,5.0,单人欧莱雅烫/染二选一（含护理）,168,9018
美学·星工坊（步行街店）,庐阳区,银泰百货,4.0,单人总监欧莱雅美奇丝烫染套餐,158,7519
设计坊SHE造型（银泰中心店）,庐阳区,红星路,5.0,代金券,5,4185
设计坊SHE造型（百花井店）,庐阳区,百花井,5.0,代金券,5,4185
玛莎国际专业接发潮牌（步行街旗舰店）,庐阳区,宿州路,5.0,单人全真无痕隐形接发（55cm）拆卸无残留,780,3954
绚诺soho造型（步行街旗舰店）,庐阳区,宿州路,4.3,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3311
黑白秀形象设计中心（红星路二店）,庐阳区,红星路,3.8,代金券,98,3232
乔蔚造型（女人街店）,庐阳区,三孝口,5.0,单人洗剪吹造型套餐,35,3166
