商家,区域,商圈,星级,服务,价格,销量
澳派美容美发形象设计（悦城店）,南岗区,哈尔滨西站,5.0,单人烫染套餐,99,13735
澳派形象设计连锁机构（邮政店）,南岗区,秋林果戈里,5.0,单人烫染套餐,99,13735
澳派美发美容形象设计（宣庆街店）,南岗区,芦家街/宣化街,5.0,单人烫染套餐,99,13735
澳派美发美容形象设计（海河店）,南岗区,国际会展中心,4.6,单人烫染套餐,99,13735
澳派美发美容形象设计（人和店）,南岗区,果戈里/革新街,4.8,单人烫染套餐,99,13735
澳派美发美容形象设计（哈西万达店）,南岗区,哈尔滨西站,5.0,单人烫染套餐,99,13735
INSI Hair Salon（西城红场店）,南岗区,哈尔滨西站,5.0,单人店长欧莱雅烫/染套餐,388,12671
INSI Hair Salon（香坊店）,南岗区,省政府/龙塔,5.0,单人店长欧莱雅烫/染套餐,388,12671
INSI Hair Salon,南岗区,和兴路沿线,4.1,单人店长欧莱雅烫/染套餐,388,12671
INSI Hair Salon（哈西万达店）,南岗区,哈尔滨西站,5.0,单人店长欧莱雅烫/染套餐,388,12671
聚美乐发型染烫设计全国连锁（和兴路店）,南岗区,和兴路沿线,4.1,单人摩登奢华烫/染/拉直3选1套餐,258,11968
丝域养发馆（红博会展店）,南岗区,国际会展中心,4.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（阿什河街店）,南岗区,花园街,3.5,玫瑰香薰spa+水润头皮护理,88,10637
亮姿美（大众新城店）,南岗区,征仪路/保健路,4.8,单人烫发/染发2选1,399,6017
型动造型连锁（芦家街店）,南岗区,芦家街/宣化街,5.0,剪发套餐,14.9,4907
型动造型连锁（黑山街店）,南岗区,芦家街/宣化街,5.0,剪发套餐,14.9,4907
绚诺soho（哈师大店）,南岗区,和兴路沿线,3.0,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3312
顶点造型,南岗区,征仪路/保健路,4.8,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3312
聚艺造型（秋林店）,南岗区,秋林果戈里,5.0,❤️全头无痕接发55cm（120片）,799,3217
聚艺造型（太平百盛店）,南岗区,船舶/军工,4.3,❤️全头无痕接发55cm（120片）,799,3217
聚艺造型（学府四道街店）,南岗区,服装城/学府路,4.5,❤️全头无痕接发55cm（120片）,799,3217
聚艺造型（学府凯德店）,南岗区,凯德广场,5.0,❤️全头无痕接发55cm（120片）,799,3217
