商家,区域,商圈,星级,服务,价格,销量
佑米造型（大都会店）,中山区,胜利广场/青泥洼桥,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310622
佛伦斯私人定制烫染名店（大连大都会店）,中山区,胜利广场/青泥洼桥,5.0,美芝品系列单人美发套餐,168,143258
施华蔻美发连锁（大连大都会店）,中山区,胜利广场/青泥洼桥,5.0,单人施华蔻烫染套餐3选1,208,85650
紫尚造型（大都会店）,中山区,胜利广场/青泥洼桥,5.0,【人气】单人烫染直三选一美发套餐,159,59492
摩登时尚（天津街古玩城店）,中山区,天津街,5.0,【品质优选】设计师定制裁剪,29.8,23679
小P老师-P.STYLE造型（大连明星店）,中山区,胜利广场/青泥洼桥,5.0,单人美发烫、染套餐二选一,398,7171
米琳造型（青泥洼店）,中山区,胜利广场/青泥洼桥,5.0,单人欧莱雅美奇丝系列烫/染套餐,148,4263
《1号连锁》美发专家（大连中山店）,中山区,友好广场,4.0,乔薇尔（JOVIAL)单选,339,2334
纤艺造型（大都会店）,中山区,胜利广场/青泥洼桥,3.5,单人风采设计剪裁（洗剪吹）+毛鳞片护理重组套餐,49,2240
维纳斯美发造型（三八广场店）,中山区,二七广场,4.0,单人设计师洗剪吹套餐,28,1942
维纳斯美发造型（葵英街店）,中山区,解放路沿线,5.0,单人设计师洗剪吹套餐,28,1942
维纳斯美发造型（绿色空间总店）,中山区,二七广场,5.0,单人设计师洗剪吹套餐,28,1942
维纳斯美发造型（大都会店）,中山区,胜利广场/青泥洼桥,5.0,单人设计师洗剪吹套餐,28,1942
维纳斯美发造型（Label.m柏威年店）,中山区,胜利广场/青泥洼桥,5.0,单人设计师洗剪吹套餐,28,1942
维纳斯美发造型（昆明街乐购店）,中山区,解放路沿线,5.0,单人设计师洗剪吹套餐,28,1942
kimi style造型（胜利店）,中山区,胜利广场/青泥洼桥,5.0,单人精剪＋造型,21.9,1125
俊然造型,中山区,中山区,5.0,资深设计师精剪造型+护理套餐,38,1072
铭造型（名店坊店）,中山区,人民路,5.0,单人高级造型师剪发1次,78,941
铭造型（旗舰店）,中山区,中山区,4.1,单人高级造型师剪发1次,78,941
明洞造型（新世界店）,中山区,友好广场,5.0,单人设计师洗剪吹,38,873
明洞造型（胜利店）,中山区,胜利广场/青泥洼桥,4.9,单人设计师洗剪吹,38,873
韩洞造型,中山区,胜利广场/青泥洼桥,5.0,单人高级发型师洗剪吹+造型,38,813
皇族形象设计（三八店）,中山区,三八广场,4.2,烫染2选1,98,686
索菲雅形象设计,中山区,胜利广场/青泥洼桥,5.0,经典染烫套餐2选1,38,528
CC潮美汇hairsalon（大都会店）,中山区,胜利广场/青泥洼桥,5.0,单人生态膜 水晶膜线无痕接发 低值卷,1,508
M.PU STYLE木浦造型（佳兆业购物广场店）,中山区,天津街,5.0,资深设计师精剪+造型+洗+头皮检测女宾专享套餐,48,456
M.PU STYLE木浦造型（新玛特店）,中山区,胜利广场/青泥洼桥,5.0,资深设计师精剪+造型+洗+头皮检测女宾专享套餐,48,456
M.PU STYLE木浦造型（凯丹店）,中山区,港湾广场,5.0,资深设计师精剪+造型+洗+头皮检测女宾专享套餐,48,456
M.PU STYLE木浦造型（大都会店）,中山区,胜利广场/青泥洼桥,5.0,资深设计师精剪+造型+洗+头皮检测女宾专享套餐,48,456
M.PU STYLE木浦造型（青泥洼桥店）,中山区,胜利广场/青泥洼桥,4.9,资深设计师精剪+造型+洗+头皮检测女宾专享套餐,48,456
尚帝造型,中山区,三八广场,5.0,单人洗剪吹造型,18.9,449
瑛明发艺私人定制（青泥店）,中山区,胜利广场/青泥洼桥,4.0,单人洗剪吹,22.8,413
瑛明私人定制（友好广场店）,中山区,中山区,5.0,单人洗剪吹,22.8,413
瑛明发艺私人发型定制（中南路直营店）,中山区,中南路,5.0,单人洗剪吹,22.8,413
vsl-卫丝理美发造型空间（胜利店）,中山区,胜利广场/青泥洼桥,3.9,单人技术总监剪洗吹1次,38,371
卫丝理造型空间（大都会旗舰店）,中山区,胜利广场/青泥洼桥,5.0,单人技术总监剪洗吹1次,38,371
尚美造型,中山区,胜利广场/青泥洼桥,4.9,单人洗剪吹,98,322
涉谷形象（友好店）,中山区,友好广场,4.6,单人资深发型师精剪,16.8,298
涉谷形象（青云街店）,中山区,解放路沿线,5.0,单人资深发型师精剪,16.8,298
黑桃A美发工作室,中山区,胜利广场/青泥洼桥,4.4,单人洗剪吹,58,278
上炫造型,中山区,港湾广场,4.6,单人洗剪吹,60,76
染club,中山区,友好广场,4.8,单人发型设计总监剪发,30,68
哈泊 Harbor Barber,中山区,二七广场,5.0,资深设计师洗剪吹套餐,19,62
吉田工作室,中山区,胜利广场/青泥洼桥,5.0,单人烫染二选一,458,58
米米左发型设计室,中山区,老虎滩,4.3,单人剪发造型1次,17.9,55
大连美丽汇形象定制生活馆（麦凯乐青泥洼店）,中山区,胜利广场/青泥洼桥,5.0,单人发型师洗剪吹1次,128,54
EMMY Hair salon艾美潮流沙龙,中山区,中山广场/延安路,4.6,单人【技术指导】洗剪吹➕台湾健康头皮检测一次,80,45
强的私人造型工作室,中山区,三八广场,4.4,单人剪发,40,41
H.VSL华·卫思理（柏威年店）,中山区,胜利广场/青泥洼桥,4.7,设计总监 洗剪吹体验,69,41
章光101生发养发防脱发连锁（中山一店）,中山区,三八广场,4.2,单人三天头皮调理套餐,39,39
章光101生发养发防脱发连锁（中山二店）,中山区,友好广场,4.0,单人三天头皮调理套餐,39,39
崇尚美发,中山区,胜利广场/青泥洼桥,4.5,单人染发/烫发套餐2选1,298,39
夏造型私人订制（柏威年店）,中山区,胜利广场/青泥洼桥,5.0,单人施华蔻舒适洗发套餐,28,34
美丽丝语美发店,中山区,人民路,4.9,单人烫染二选一套餐,98,31
吉广发廊J&GHairSalon;（百年城店）,中山区,胜利广场/青泥洼桥,5.0,单人高级发型师洗剪吹,160,31
韩国美宣美发沙龙,中山区,友好广场,4.7,单人高级发型师染烫2选1,238,30
红星美发时尚会馆,中山区,友好广场,3.5,单人洗剪吹造型,50,30
画间造型,中山区,中山区,5.0,单人洗剪吹+水疗护理1次,120,29
斯匠造型,中山区,天津街,5.0,星级发型师剪发,68,29
华人美,中山区,二七广场,4.5,单人店长剪发,28,27
8090造型（柏威年店）,中山区,中山区,4.0,单人体验剪发,59,23
Tao's 美发沙龙,中山区,人民路,4.6,单人剪发SPA套餐,110,22
风尚造型,中山区,人民路,4.8,单人资深设计师洗剪吹,88,20
kimi style造型（胜利天津街店）,中山区,胜利广场/青泥洼桥,4.9,单人精剪➕造型,16.9,20
纳美日本美发,中山区,胜利广场/青泥洼桥,4.0,单人纳美剪发,100,19
锋尚造型,中山区,中山广场/延安路,4.7,单人染烫套餐2选1,78,19
M9私人造型工作室（远洋洲际店）,中山区,友好广场,4.6,单人洗剪吹+护理套餐,159,15
潮 MR造型,中山区,中山区,4.1,单人顾问洗剪吹造型1次,20,15
欣意烫染家族,中山区,中山区,4.9,单人施华蔻美发套餐,158,14
Magic·J私人定制造型中心,中山区,友好广场,4.8,单人Magic·J私人定制资深设计师剪发造型1次,89,14
27 ° 造型工作室,中山区,友好广场,4.6,单人【洗剪吹】,39,14
y-queen（洋洋美发工作室）,中山区,友好广场,4.1,单人剪发,38,12
丝域养发馆（中山海景园店）,中山区,中山区,4.0,单人专业护理套餐,69,12
王风造型私人订制工作室,中山区,友好广场,5.0,单人洗剪吹店庆优惠套餐,89,11
今井潮牌沙龙（大都会旗舰店）,中山区,胜利广场/青泥洼桥,3.7,单人理护套餐,88,10
富邦形象设计,中山区,三八广场,4.0,单人洗剪吹+造型1次,30,10
袁SIR美髮設計沙龍,中山区,解放路沿线,4.5,店长剪发设计+头皮深度清洁（免费头皮测试）,58,16
钰丝造型美容美体,中山区,二七广场,3.7,单人洗剪吹烫染套餐,199,9
简约时尚造型,中山区,天津街,4.6,单人烫染套餐,138,8
莎伦发型,中山区,中山广场/延安路,4.1,单人莎伦造型洗吹剪,19.9,7
冬冬发型设计,中山区,三八广场,3.5,单人精剪,30,0
梅田美容美发会馆,中山区,天津街,3.5,单人超值美发套餐,118,0
ck沙龙美发会所,中山区,中南路,3.5,烫染套餐,248,0
盛鼎私人造型会所,中山区,胜利广场/青泥洼桥,4.0,单人烫染发,880,0
名匠美业,中山区,二七广场,4.1,单人儿童洗剪吹1次,28,0
阿豪造型,中山区,中山区,3.5,单人首席造型师精品烫发套餐,268,0
L&Ainhouse;美发工作室,中山区,中山广场/延安路,3.5,单人美发造型,318,0
佑米造型（罗斯福直营店）,沙河口区,罗斯福购物中心,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310622
佑米造型（和平广场店）,沙河口区,和平广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310622
佑米造型（新开路总店）,沙河口区,黄河路沿线,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310622
佑米造型（黑石礁店）,沙河口区,黑石礁,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310622
佛伦斯私人订制烫染国际连锁（和平广场店）,沙河口区,和平广场,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染国际连锁（福佳新天地店）,沙河口区,福佳新天地,5.0,美芝品系列单人美发套餐,168,143258
欧莱雅私人定制美发连锁 （罗斯福店）,沙河口区,罗斯福购物中心,5.0,单人洗剪吹/护理套餐2选1,39,101033
施华蔻美发连锁（大连罗斯福购物广场店）,沙河口区,罗斯福购物中心,5.0,单人施华蔻烫染套餐3选1,208,85650
紫尚造型（大连和平广场店）,沙河口区,和平广场,5.0,【人气】单人烫染直三选一美发套餐,159,59492
紫尚造型（大连罗斯福品质店）,沙河口区,罗斯福购物中心,5.0,【人气】单人烫染直三选一美发套餐,159,59492
