商家,区域,商圈,星级,服务,价格,销量
巴罗国际烫染连锁（和平路店）,滨海新区,外滩/金街,4.7,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（贻成尚北店）,滨海新区,塘沽工农村,4.3,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（友谊广场店）,滨海新区,汉沽城区,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（远洋城店）,滨海新区,滨海新区,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（2号路店）,滨海新区,新港,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（绿游天地店）,滨海新区,经济开发区,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（贻正嘉和店）,滨海新区,塘沽工农村,4.1,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（德克士店）,滨海新区,经济开发区,4.3,单人超值烫发/染发套餐5选2,378.8,7934
私人形象定制（中心北路店）,滨海新区,滨海新区,3.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（万通新城店）,滨海新区,经济开发区,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（国翔公寓店）,滨海新区,经济开发区,3.5,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（解放路店）,滨海新区,外滩/金街,5.0,单人超值烫发/染发套餐5选2,378.8,7934
喵星人（猫咖啡店）,滨海新区,滨海新区,4.2,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（千百汇店）,滨海新区,经济开发区,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（首创国际店）,滨海新区,塘沽工农村,4.7,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（蓝山国际店）,滨海新区,塘沽工农村,5.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（海尚店）,滨海新区,滨海新区,3.8,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（洞庭路店）,滨海新区,经济开发区,5.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（外滩店）,滨海新区,外滩/金街,5.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染店（上海道店）,滨海新区,外滩/金街,5.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（杭州道店）,滨海新区,塘沽城区,4.3,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（亿俩造型店）,滨海新区,汉沽城区,4.0,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（洋货市场店）,滨海新区,塘沽城区,4.4,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（新港店）,滨海新区,新港,4.3,单人超值烫发/染发套餐5选2,378.8,7934
巴罗国际烫染连锁（大学城店）,滨海新区,经济开发区,3.0,单人超值烫发/染发套餐5选2,378.8,7934
奥丽美域（时尚都汇店）,滨海新区,外滩/金街,5.0,单人剪发套餐,35,5862
奥丽美域（开发区店）,滨海新区,经济开发区,5.0,单人剪发套餐,35,5862
奥丽美域（贻成精街店）,滨海新区,外滩/金街,5.0,单人剪发套餐,35,5862
奥丽美域（学校大街店）,滨海新区,外滩/金街,5.0,单人剪发套餐,35,5862
臻品造型,滨海新区,经济开发区,5.0,单人资深设计师洗剪吹,33.8,4667
米琳造型（学府路店）,滨海新区,大港城区,5.0,单人欧莱雅美奇丝系列烫/染套餐,148,4264
米琳造型（中心北路店）,滨海新区,塘沽城区,4.6,单人欧莱雅美奇丝系列烫/染套餐,148,4264
女王艺术沙龙,滨海新区,经济开发区,5.0,资深设计师洗剪吹造型套餐,38,3856
女王艺术沙龙,滨海新区,经济开发区,4.6,资深设计师洗剪吹造型套餐,38,3856
伊凡造型,滨海新区,外滩/金街,5.0,伊凡造型精品剪发套餐,19.8,3402
火焱时尚造型（1店）,滨海新区,塘沽城区,5.0,单人烫染2选1套餐,198,2934
火焱时尚造型（3店）,滨海新区,塘沽工农村,5.0,单人烫染2选1套餐,198,2934
巴罗国际烫染连锁（弘御美容美发会馆）,滨海新区,汉沽城区,4.0,单人超值剪发设计套餐,38,2657
伊丽丝艺术造型,滨海新区,外滩/金街,5.0,单人资深设计师洗剪吹,24.9,2505
瑞丽美容美发（金元宝于家堡店）,滨海新区,新港,4.1,瑞丽美容美发单人洗剪吹,35,2283
瑞丽美容美发（开发区店）,滨海新区,经济开发区,4.0,瑞丽美容美发单人洗剪吹,35,2283
东尚造型（塘沽店）,滨海新区,外滩/金街,5.0,单人私人精剪,30,2110
雨淇创意发型（欧莱雅形象店）,滨海新区,经济开发区,5.0,单人总监剪发,38,1805
审美专业美发（第三大街店）,滨海新区,经济开发区,5.0,审美单人精剪套餐,35,1730
cc东方红,滨海新区,汉沽城区,5.0,30766261,25.8,1727
彦成ES HAIR STUDIO,滨海新区,经济开发区,3.8,彦成韩国美容美发会所美发套餐,168,1618
歆晴懿美烫染连锁店（石油新村风味街店）,滨海新区,塘沽城区,3.0,单人时尚白领烫/染套餐,148,1533
歆晴懿美烫染连锁（外滩店）,滨海新区,外滩/金街,3.9,单人时尚白领烫/染套餐,148,1533
歆晴懿美烫染连锁店（和平路店）,滨海新区,外滩/金街,4.1,单人时尚白领烫/染套餐,148,1533
歆晴懿美烫染连锁店（金元宝店）,滨海新区,外滩/金街,3.0,单人高级设计师洗剪吹,25.8,1254
发源地（三大街翠亨店）,滨海新区,经济开发区,5.0,单人剪发套餐,24,1250
本村护肤造型,滨海新区,经济开发区,3.8,本村护肤造型剪发,26.8,1176
哥特式造型（一店）,滨海新区,经济开发区,5.0,单人剪发,16.9,1102
宜尚造型（学府路店）,滨海新区,大港城区,4.0,单人美丽洗剪吹套餐,18.8,979
薇类造型（河北路店）,滨海新区,塘沽城区,5.0,单人洗剪造型1次,30,978
阿海造型,滨海新区,大港城区,5.0,单人剪发套餐,18.8,697
画间私人订制（外滩店）,滨海新区,塘沽城区,4.8,单人无痕接发1克,8,677
金榜造型,滨海新区,塘沽城区,5.0,单人洗剪吹,21,672
唯真国际美容美发（塘沽店）,滨海新区,滨海新区,5.0,单人剪发套餐,20,660
博士园脱发白发养发（塘沽区学校大街店）,滨海新区,外滩/金街,5.0,单人深度头皮清洁+经络刮痧+全息头疗养发SPA套餐,38,631
时尚码头（新港店）,滨海新区,新港,5.0,设计师洗剪吹单人套餐,38,626
宣格造型,滨海新区,新港,5.0,宣格单人精剪套餐,26,626
8090美发连锁（二店）,滨海新区,大港城区,4.3,单人染烫5选1套餐,128,620
