商家,区域,商圈,星级,服务,价格,销量
佑米造型（新视界店）,迎泽区,双塔西街,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310638
佑米造型（柳巷店）,迎泽区,柳巷商业区,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310638
佛伦斯私人定制烫染名店（铜锣湾店）,迎泽区,五一路,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染名店（柳巷店）,迎泽区,柳巷商业区,5.0,美芝品系列单人美发套餐,168,143258
欧莱雅私人定制美发连锁（太原柳巷店）,迎泽区,柳巷商业区,5.0,单人洗剪吹/护理套餐2选1,39,101038
施华蔻美发连锁（太原柳巷铜锣湾店）,迎泽区,五一路,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（太原大南门海外海店）,迎泽区,迎泽大街,5.0,单人施华蔻烫染套餐3选1,208,85651
她雅发型（烦恼丝店）,迎泽区,柳巷商业区,5.0,单人洗剪吹认证发型师团购价,36,20435
她雅发型（铜锣湾店）,迎泽区,铜锣湾,4.5,单人洗剪吹认证发型师团购价,36,20435
她雅发型（柳北店）,迎泽区,柳巷商业区,4.5,单人洗剪吹认证发型师团购价,36,20435
她雅发型（钟楼街店）,迎泽区,柳巷商业区,5.0,单人洗剪吹认证发型师团购价,36,20435
88潮牌美发连锁（柳巷茂业店）,迎泽区,柳巷商业区,4.7,单人洗剪吹,38.8,20219
椰岛造型（139柴市巷店）,迎泽区,柳巷商业区,5.0,【裁剪+造型】洗剪吹套餐,40,18528
椰岛造型（MF0116五一路店）,迎泽区,朝阳街,4.0,【裁剪+造型】洗剪吹套餐,40,18528
椰岛造型（铜锣湾店MF109）,迎泽区,铜锣湾,5.0,【裁剪+造型】洗剪吹套餐,40,18528
倷丝国际烫染连锁（柳巷店）,迎泽区,柳巷商业区,5.0,单人美芝品美发套餐,168,10611
纤艺发型,迎泽区,双塔西街,5.0,单人洗剪吹,15,5942
佛伦斯私人定制烫染国际连锁（朝阳街店）,迎泽区,朝阳街,5.0,单人美发烫/染套餐（活动）,49,3575
GOLD MISS专业染发接发（铜锣湾店）,迎泽区,五一路,5.0,单人Colour of Heaven色彩世界染发套餐,198,3309
壹号沙龙,迎泽区,迎泽区,5.0,洗剪吹,19.8,1873
可大神剪（柳北店）,迎泽区,柳巷商业区,5.0,单人高级洗剪吹,30,1525
奇葩造型,迎泽区,新建路,5.0,发型设计师洗剪吹造型,19.9,1316
发源地美发（桥头街店）,迎泽区,柳巷商业区,5.0,单人烫或染造型,159,1263
发源地（潮流汇店）,迎泽区,柳巷商业区,5.0,单人烫或染造型,159,1263
洲际造型（开化寺店）,迎泽区,柳巷商业区,5.0,洗剪吹,48,1098
阿扆贝诗美容美发SPA会所（铜锣湾店）,迎泽区,铜锣湾,5.0,单人剪发套餐,29,984
造型.和 美发沙龙,迎泽区,青年路,5.0,洗剪吹,13.8,875
简·爱造型,迎泽区,迎泽区,5.0,仅售19.8元 [复制],19.8,534
瑞豪专业烫染连锁（柳巷店）,迎泽区,迎泽区,5.0,单人高级理发师剪发套餐,19.8,453
M.K漫咖沙龙,迎泽区,迎泽区,5.0,单人总监剪发,39.9,356
TG美发,迎泽区,柳巷商业区,5.0,单人洗剪吹一次,30,287
TOP日系发型工作室,迎泽区,五一路,4.7,单人洗剪吹一次,38,242
你好美美容美发养生会所,迎泽区,双塔东街,4.5,单人设计师剪发,23,219
90GM 发型工作室,迎泽区,柳巷商业区,5.0,单人剪发一次,25,203
金剪风尚美容美发会馆,迎泽区,迎泽区,5.0,高级设计师洗剪吹体验,19.9,157
东尚style造型,迎泽区,柳巷商业区,5.0,单人精致剪发,38,156
艺剪坊烫染店,迎泽区,青年路,3.8,单人洗剪吹,13.8,135
TYPE米儿形象设计工作室,迎泽区,柳巷商业区,5.0,单人设计精剪1次,88,72
丝诺私人订制,迎泽区,五一路,5.0,单人欧莱雅经典美发烫染套餐,268,21
欧文发艺,迎泽区,朝阳街,4.1,单人洗剪吹造型1次,15,4
2026私人形象会所,迎泽区,柳巷商业区,3.0,单人设计师美发套餐,19,3
唯爱美发化妆美甲工作室,迎泽区,双塔西街,5.0,美发套餐,88,0
佑米造型（山西大学店）,小店区,学府街,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310637
佑米造型（百盛店）,小店区,长风街,4.9,丽人狂欢节-欧莱雅烫/染二选一,228,310637
佛伦斯私人定制烫染国际连锁（新城市商业广场店）,小店区,长治路,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人订制烫染国际连锁（财大店）,小店区,坞城路,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染名店（和信店）,小店区,长风街,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人订制烫染国际连锁（恒大影城店）,小店区,真武路,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染国际连锁（山大学府艺苑店）,小店区,学府街,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染国际连锁（平阳景苑店）,小店区,平阳路,4.0,美芝品系列单人美发套餐,168,143258
欧莱雅私人定制（长风街百盛店）,小店区,长风街,5.0,单人洗剪吹/护理套餐2选1,39,101038
欧莱雅私人定制连锁（太原康宁大卖场店）,小店区,康宁街,5.0,单人洗剪吹/护理套餐2选1,39,101038
欧莱雅私人定制（太原南內环店）,小店区,南内环街,5.0,单人洗剪吹/护理套餐2选1,39,101038
欧莱雅私人定制美发连锁（太原坞城路山西大学店）,小店区,学府街,5.0,单人洗剪吹/护理套餐2选1,39,101038
施华蔻美发连锁（太原康宁大厦店）,小店区,康宁街,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（太原寇庄西路店）,小店区,南内环街,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（太原平阳店）,小店区,平阳路,5.0,单人施华蔻烫染套餐3选1,208,85651
美宝莲美发直营连锁（太原长风街百盛店）,小店区,长风街,5.0,施华蔻套餐3选1,208,42708
美宝莲美发直营连锁（太原恒大绿洲店）,小店区,小店区,5.0,施华蔻套餐3选1,208,42708
椰岛造型艾玛专业形象沙龙,小店区,小店区,5.0,超值裁剪设计洗剪吹套餐,30,30435
米娜造型（茂业天地店）,小店区,小店区,5.0,单人欧莱雅高端五选一套餐,198,27358
美天淘日系沙龙（亲贤北街店）,小店区,长风街,5.0,欧莱雅烫发染发直发护理单人套餐,159,24325
她雅发型（梅园店）,小店区,亲贤街,5.0,单人洗剪吹认证发型师团购价,36,20435
她雅发型（长风街店）,小店区,长风街,4.5,单人洗剪吹认证发型师团购价,36,20435
她雅发型（王府井店）,小店区,亲贤街,5.0,单人洗剪吹认证发型师团购价,36,20435
她雅发型（美都汇购物广场店）,小店区,坞城路,5.0,单人洗剪吹认证发型师团购价,36,20435
她雅发型（学府街店）,小店区,学府街,4.8,单人洗剪吹认证发型师团购价,36,20435
88潮牌美发连锁（长风画卷店）,小店区,长风街,5.0,单人洗剪吹,38.8,20219
88潮牌美发连锁（长风北美新天地店）,小店区,长风街,4.7,单人洗剪吹,38.8,20219
88潮牌美发连锁（中正天街店）,小店区,并州路,5.0,单人洗剪吹,38.8,20219
88潮牌美发连锁（长治路店）,小店区,长风街,5.0,单人洗剪吹,38.8,20219
米淇烫染技术全国联盟（平阳景苑店）,小店区,平阳路,4.1,单人利威丝奇幻烫染系列,158,18735
米淇烫染技术全国联盟（恒大影城店）,小店区,真武路,5.0,单人利威丝奇幻烫染系列,158,18735
米淇烫染技术全国联盟（-老军营东巷店）,小店区,南内环街,5.0,单人利威丝奇幻烫染系列,158,18735
米淇烫染技术全国联盟（平阳路店）,小店区,小店区,4.8,单人利威丝奇幻烫染系列,158,18735
椰岛造型（MF0241长风店）,小店区,小店区,5.0,【裁剪+造型】洗剪吹套餐,40,18528
椰岛造型（MF0262梅园店）,小店区,长治路,5.0,【裁剪+造型】洗剪吹套餐,40,18528
椰岛造型（MF190许坦西街店）,小店区,小店区,5.0,【裁剪+造型】洗剪吹套餐,40,18528
椰岛造型（北美店）,小店区,长治路,3.5,【裁剪+造型】洗剪吹套餐,40,18528
椰岛造型（太原11店mf192）,小店区,长治路,4.2,【裁剪+造型】洗剪吹套餐,40,18528
