商家,区域,商圈,星级,服务,价格,销量
容光美容美发,海曙区,天一广场,4.0,单人高级设计师洗剪吹1次,39.9,1141
e俏私人定制,海曙区,鼓楼,5.0,单人总监洗剪吹＋牛奶水疗,38.8,1059
UU玩美发型时尚订制,海曙区,天一广场,5.0,单人店长创意设计剪发1次,69.8,850
巴黎秀客私人订制（天一广场店）,海曙区,天一广场,5.0,单人资深设计师洗剪吹1次,25,843
SHOW.T秀态造型,海曙区,天一广场,5.0,单人洗剪造型1次,38,744
丝颂潮沙龙,海曙区,天一广场,5.0,单人资深设计师风格美学裁剪1次,58,718
菲秀发型私人定制（天一店）,海曙区,天一广场,5.0,单人首席洗剪吹套餐,38,675
格雅造型,海曙区,鼓楼,4.2,单人总监洗剪吹1次,29.8,572
易生传奇头疗养生会所（望京路店）,海曙区,西门口,4.7,单人韩式红姜养发护理套餐,28,513
起点START美发造型,海曙区,天一广场,5.0,创意总监风格美学洗剪吹套餐,89,460
艾枷创意发型设计,海曙区,青林湾,4.8,单人总监洗剪吹造型1次,39.9,402
新偶像,海曙区,翠柏路沿线,5.0,单人新偶像专业美发套餐,128,396
侨治发型（MS.CHIC）,海曙区,和义大道,5.0,发型师洗剪吹单人套餐,68,335
绝色美场,海曙区,天一广场,5.0,单人总监剪发造型1次,58,307
威斯汀卡博沙龙,海曙区,天一广场,5.0,单人首席设计师风格美学裁剪1次,98,294
丝享造型,海曙区,月湖盛园,5.0,高级设计师洗剪吹造型单人套餐,68,241
花子形象（月湖盛园店）（镇明店）,海曙区,月湖盛园,5.0,单人资深设计师洗剪吹套餐一次,35,238
格范造型沙龙（天一店）,海曙区,天一广场,5.0,单人导师洗吹造型套餐,23,210
格范造型沙龙（南塘店）,海曙区,海曙区,5.0,单人导师洗吹造型套餐,23,210
亚朵A08发型工作室,海曙区,鼓楼,5.0,单人资深设计师风格定制洗剪吹1次,68,196
章光101（县学街店）,海曙区,月湖盛园,4.0,单人养护发套餐,69,185
缔美造型,海曙区,鼓楼,5.0,单人设计师洗剪吹1次,19.8,187
卡曼美甲美发沙龙,海曙区,天一广场,5.0,单人店长洗剪吹套餐,29.8,182
尊尼造型,海曙区,西门口,5.0,单人店长精剪套餐,27.8,176
百莉雅造型护肤spa,海曙区,青林湾,3.7,单人资深设计师洗剪吹1次,25,174
美阁美发沙龙,海曙区,环城西路南段,4.5,单人健康洗吹1次,12.8,170
乔尼专业美发沙龙,海曙区,青林湾,4.9,单人资深设计师洗剪吹1次,45,169
探索时尚沙龙,海曙区,海曙区,5.0,单人设计师洗剪吹+造型,29.9,104
zoe左一私人形象定制工作室,海曙区,月湖盛园,4.5,单人ZOE左一高级私人形象定制1次,380,103
新宇造型,海曙区,城隍庙,3.8,单人美发套餐,128,100
MT4美发沙龙,海曙区,天一广场,5.0,单人潮牌环保烫发/染发/柔顺3选1套餐,128,98
C潮店,海曙区,南塘老街,5.0,单人洗剪吹+PPT锁护套餐一次,29,91
丝域·养发馆（青林湾店）,海曙区,青林湾,4.7,单人养发组合套餐,138,89
丝域·养发馆（天一家园店）,海曙区,环城西路南段,3.6,单人养发组合套餐,138,89
HOT SPOT SALON造型,海曙区,天一广场,5.0,单人设计师洗剪吹1次,58,81
迷上发烫染形象店,海曙区,海曙区,4.7,单人健康植物烫/染5选1套餐,228,81
v-slue发研机构,海曙区,城隍庙,4.7,单人高级设计师洗剪吹套餐,48,77
DY 造型（天一世贸中心店）,海曙区,天一广场,4.2,单人高级设计师洗剪吹1次,29.9,75
再出发脱发白发养发馆（解放南路店）,海曙区,天一广场,4.6,单人健康头皮管理洗发1次,19.8,75
HI-FAIRY凡尔瑞私人订制,海曙区,鼓楼,5.0,HI-FAIRY单人总监洗剪吹,19.8,67
阿兴美容美发美体（鼓楼店）,海曙区,鼓楼,4.7,单人导师组洗剪吹1次,58,47
阿兴美容美发（开明店）,海曙区,和义大道,4.3,单人导师组洗剪吹1次,58,47
八佰伴形象艺术生活馆（八佰伴形象艺术生活馆）,海曙区,高鑫广场,4.0,单人总监洗剪吹1次,56,42
梵宇时尚美发沙龙,海曙区,西门口,5.0,单人洗剪吹套餐,38,35
CL无痕接发,海曙区,海曙区,5.0,单人高端定制无痕接发+品牌染发套餐,1680,31
東道发型屋,海曙区,青林湾,4.8,洗剪吹,28,30
Perfect,海曙区,月湖盛园,4.1,单人高级设计师洗剪吹1次,98,29
MINUS ONE（零下一度）无痕接发染发,海曙区,和义大道,5.0,单人烫护或染护套餐2选1,228,27
新宇造型,海曙区,天一广场,4.3,单人高级设计师剪发1次,38,24
悠美（My shly）,海曙区,天一广场,4.1,单人洗发+护理+造型套餐,38,22
昕薇造型（世纪广场店）,海曙区,天一广场,5.0,单人店长设计裁剪1次,58.8,21
Mita hair salon 烫发染发接发,海曙区,南塘老街,4.7,Mita高级洗剪吹套餐,28.8,14
无痕接发,海曙区,天一广场,5.0,微分子无痕接发,599,20
3D美容美发（3D造型）,海曙区,翠柏路沿线,3.5,单人染/烫套餐,168,15
嬌瑪诗,海曙区,青林湾,4.6,单人洗剪吹+纳米头发抛光套餐,39.9,11
宝立美业,海曙区,西门口,5.0,单人设计师洗剪吹1次,35,11
私人订制美发工作室,海曙区,西门口,4.6,单人紫罗兰烫染护套餐,178,9
上上造型,海曙区,鼓楼,4.0,单人烫染2选1,98,8
丝缘造型,海曙区,环城西路北段,3.5,单人总监洗剪吹1次,58,7
v时尚,海曙区,海曙区,5.0,单人欧莱雅烫染2选1套餐1次,128,7
新丝路发艺,海曙区,环城西路南段,3.0,单人欧莱雅美护套餐,168,6
梵珀发型工作室,海曙区,天一广场,5.0,单人店长私人定制造型设计,128,6
乔万尼（海曙欧尚店）,海曙区,海曙欧尚,4.2,单人督导洗剪吹1次,126,5
木又美发,海曙区,鼓楼,5.0,烫染2选1＋设计＋烫染后护理,108,5
精英专业造型,海曙区,天一广场,3.5,单人洗吹+造型1次,12,4
阿忠时尚造型,海曙区,西门口,4.0,俏丽佳人洗剪吹+一线品牌水疗,48,3
E HOUSE 形象设计,海曙区,南塘老街,4.5,单人剪发＋瑞士兰全新植物热烫套餐,388,3
Mr Wang hair salon,海曙区,天一广场,3.5,Top Stylist頂尖發型師,128,3
EG造型（单店）,海曙区,西门口,4.0,单人高端烫发套餐,498,3
CK造型,海曙区,海曙区,3.5,男士洗剪吹套餐,15,2
飘-美发工作室,海曙区,月湖盛园,3.8,单人超高端精品烫染套餐,288,2
LEO,海曙区,翠柏路沿线,4.0,单人总监洗剪+造型1次,68,2
金碧辉煌（南苑店）,海曙区,南塘老街,3.0,金碧辉煌欧莱雅剪护,58,1
万豪帕玛沙龙,海曙区,和义大道,3.9,单人创意染/烫2选1,980,1
自然美造型,海曙区,海曙区,4.4,单人香颂全新植物染发霜套餐一次,308,1
花都国际造型（南苑街店）,海曙区,南塘老街,3.6,单人烫染套餐,368,1
钓鱼岛美发,海曙区,青林湾,4.0,单人烫染护美发套餐,388,1
西客造型,海曙区,月湖盛园,3.5,单人全真无痕接发1次,1388,0
我型你show,海曙区,海曙区,3.5,单人欧莱雅烫染套餐,168,0
top宁波无痕接发,海曙区,月湖盛园,3.5,单人洗剪吹+烫/染2选1+护理套餐,380,0
上尚纤造型,海曙区,环城西路南段,3.0,染发套餐,128,0
名鑫国际美容美发,海曙区,南塘老街,3.8,单人日本Q8烫染套餐,638,0
佑米造型（彩虹店）,江东区,彩虹广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310622
佛伦斯私人订制烫染名店（上东国际店）,江东区,世纪东方广场,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人定制烫染名店（颐高创业大厦店）,江东区,体育中心,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人定制烫染国际连锁（世纪联华商场店）,江东区,体育中心,5.0,美芝品系列单人美发套餐,168,143259
瑞豪专业烫染连锁（金丽造型 华润万家店）,江东区,高新区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107227
罗亚帝（彩虹店）,江东区,彩虹广场,5.0,单人高级设计师洗剪吹套餐,38,8419
发源地（中兴路店）,江东区,体育中心,5.0,单人总监洗剪吹+护理套餐,58.8,5789
UPTOP鼎上造型（世纪东方广场店）,江东区,世纪东方广场,5.0,单人高级设计师剪发造型1次,78,5293
UPTOP鼎上造型（江东福明店）,江东区,世纪东方广场,4.9,单人高级设计师剪发造型1次,78,5293
UPTOP鼎上造型（天伦广场店）,江东区,体育中心,5.0,单人高级设计师剪发造型1次,78,5293
风格发艺,江东区,高新区,5.0,单人洗剪吹1次,29,2888
罗亚帝（花都百丈路店）,江东区,儿童公园,5.0,单人资深设计师洗剪吹1次,55,2408
菲灵造型连锁（永达店）,江东区,兴宁路,5.0,单人设计师洗剪吹1次,30,2278
菲灵造型（宋诏桥路店）,江东区,兴宁路,5.0,单人设计师洗剪吹1次,30,2278
小资派（卡曼尼造型）,江东区,世纪东方广场,5.0,单人设计师洗剪吹1次,35.8,2178
首邦造型,江东区,世纪东方广场,5.0,单人设计师洗剪吹1次,33.8,2001
蓝瑟造型工作室,江东区,彩虹广场,5.0,单人资深设计师洗剪吹1次,88,1761
纤丝万缕形象顾问（江东常青藤店）,江东区,体育中心,5.0,单人资深设计师洗剪吹1次,28,1717
LoGo专业烫染发型设计,江东区,高新区,5.0,单人设计师洗剪吹1次,36,1418
罗亚帝（福明店）,江东区,世纪东方广场,5.0,单人特价洗吹套餐,23.9,1375
罗亚帝&时尚沙龙（宏泰广场店）,江东区,江东区,5.0,单人特价洗吹套餐,23.9,1375
LD美业（黄鹂店）,江东区,江东区,5.0,单人洗剪吹1次,39.8,1242
菲秀发型私人定制（金融硅谷店）,江东区,江东区,5.0,单人首席洗剪吹套餐,38,675
理念美发,江东区,体育中心,5.0,单人洗剪吹1次,29.8,649
AJ时尚造型,江东区,高新区,5.0,单人洗吹剪,30,615
南山造型,江东区,体育中心,5.0,洗剪吹套餐,29.8,496
PIAGET BARBER派加造型,江东区,和丰创意广场,5.0,单人专业发型师洗剪吹1次,58,460
威凡发型艺术工作室（江东店）,江东区,世纪东方广场,5.0,单人高级设计师洗剪吹1次,68,345
IDOL（埃朵）形象设计,江东区,和丰创意广场,5.0,单人资深设计师洗剪吹套餐,88,344
CM美发沙龙,江东区,高新区,5.0,单人洗吹造型,9.9,326
皇金剪造型,江东区,世纪东方广场,4.5,单人高级设计师洗剪吹1次,33.8,252
Top Design蒂赛发型设计,江东区,江东区,5.0,单人剪发+美奇丝洗护套组,58,239
巴伦造型护肤,江东区,世纪东方广场,4.5,单人设计师洗剪吹1次,28.8,235
Cc发型研修机构,江东区,彩虹广场,4.2,指定Tony Yisa洗剪吹1次,68,227
蔷薇造型,江东区,彩虹广场,5.0,单人设计师洗剪吹1次,19.8,209
Colorful door（可拉朵）,江东区,体育中心,5.0,单人风格美学设计洗剪吹1次,48,196
朵语养发会所（兴宁路时代华庭店）,江东区,江东区,5.0,单人健康洗发1次,19.9,192
原理造型,江东区,彩虹广场,5.0,单人高级设计师洗剪吹造型体验,58,186
章光101（江东店）,江东区,体育中心,3.0,单人养护发套餐,69,185
西西发型工作室（锦绣东城店）,江东区,国际会展中心,5.0,单人洗剪吹+菲灵烫/染套餐2选1,380,163
罗亚帝时尚沙龙（世纪东方广场店）,江东区,世纪东方广场,4.6,单人设计师洗剪吹护理+蓝格烫/染2选1套餐,388,125
星艺造型（江东店）,江东区,兴宁路,4.6,单人高级设计师洗剪吹1次,36,116
发尚工坊,江东区,世纪东方广场,4.7,单人健康洗吹一次,20.8,113
皇剪,江东区,世纪东方广场,4.7,总监洗剪吹,28,98
丝域·养发馆（琴桥店）,江东区,彩虹广场,3.6,单人养发组合套餐,138,89
丝域·养发馆（世纪东方广场店）,江东区,世纪东方广场,4.0,单人养发组合套餐,138,89
尚道造型,江东区,彩虹广场,4.0,单人洗吹1次,17.8,86
韩轩色彩潮店,江东区,世纪东方广场,5.0,单人洗剪吹+菲灵烫/染2选1+烫后护理套餐,268,82
领尚造型,江东区,江东区,4.5,精品洗剪吹,30,79
燕韩美发沙龙,江东区,高新区,5.0,单人洗剪吹套餐,20,78
名人造型,江东区,宁波书城,5.0,单人设计师洗剪吹,29,74
MAM美发沙龙（宏泰广场店）,江东区,江东区,5.0,单人新店特惠洗吹1次,28.9,75
AC发型研修机构,江东区,世纪东方广场,4.9,单人高级设计师剪发造型一次,38,64
红人美业,江东区,兴宁路,3.7,单人高级设计师洗剪吹1次,49,61
倾城时尚沙龙,江东区,江东区,5.0,单人首席设计师洗剪吹1次,40,49
原宿国际造型,江东区,彩虹广场,4.0,单人总监洗剪吹1次,78,45
