商家,区域,商圈,星级,服务,价格,销量
佑米造型（千盛店）,武侯区,簇桥,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310632
佑米造型（凯丹广场店）,武侯区,火车南站,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310632
佑米造型（金楠天街店）,武侯区,龙湖金楠天街,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310632
佑米造型（科华北路SOHO沸城）,武侯区,科华北路,4.9,丽人狂欢节-欧莱雅烫/染二选一,228,310632
佛伦斯私人定制烫染国际连锁（罗马假日广场店）,武侯区,高升桥,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染国际连锁（龙湖天街店）,武侯区,龙湖金楠天街,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染名店（双丰路店）,武侯区,双楠,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染名店（科华街店）,武侯区,科华北路,5.0,美芝品系列单人美发套餐,168,143258
瑞豪专业烫染连锁（科华路店）,武侯区,科华北路,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107229
瑞豪专业烫染连锁（美年广场店）,武侯区,武侯区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107229
欧莱雅私人定制美发连锁（成都高新店）,武侯区,武侯区,5.0,单人洗剪吹/护理套餐2选1,39,101036
欧莱雅私人定制美发连锁（成都红牌楼店）,武侯区,红牌楼,5.0,单人洗剪吹/护理套餐2选1,39,101036
欧莱雅私人定制（龙湖金楠天街店）,武侯区,龙湖金楠天街,5.0,单人洗剪吹/护理套餐2选1,39,101036
欧莱雅私人定制美发连锁（木木工作室店）,武侯区,保利花园,5.0,单人洗剪吹/护理套餐2选1,39,101036
欧莱雅私人定制美发连锁（成都科华北路店）,武侯区,科华北路,5.0,单人洗剪吹/护理套餐2选1,39,101036
欧莱雅私人定制美发连锁（成都城南天府店）,武侯区,火车南站,5.0,单人洗剪吹/护理套餐2选1,39,101036
美联社（省体育馆店）,武侯区,省体育馆,5.0,菲灵剪护造型送烫发染发二选一,178,97787
施华蔻美发连锁（成都人南店）,武侯区,航空路,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都滙点广场店）,武侯区,保利花园,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都匠人精剪店）,武侯区,外双楠,4.9,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都木木工作室）,武侯区,簇桥,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都玉林店）,武侯区,玉林/芳草街,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都卡丝曼店）,武侯区,五大花园,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都红楼牌店）,武侯区,红牌楼,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（成都新南门店）,武侯区,新南门,5.0,单人施华蔻烫染套餐3选1,208,85651
柯琳造型（萃华路大源国际店）,武侯区,复城国际广场,5.0,【洗剪造型】套餐,29.8,74162
米娜造型（环球中心店）,武侯区,环球中心,5.0,单人美发套餐5选1,128,35164
米娜造型【（【红牌楼家乐福店】）,武侯区,红牌楼,5.0,单人美发套餐5选1,128,35164
米娜造型【（【人南商鼎国际店】）,武侯区,航空路,4.9,单人美发套餐5选1,128,35164
米娜造型【环球.奥克斯广场店】,武侯区,武侯区,4.7,单人美发套餐5选1,128,35164
米娜造型（领事馆保利店）,武侯区,科华北路,5.0,单人美发套餐5选1,128,35164
米娜造型（金楠天街店）,武侯区,龙湖金楠天街,5.0,单人欧莱雅高端五选一套餐,198,27358
米娜造型（大源国际店）,武侯区,武侯区,4.8,单人欧莱雅高端五选一套餐,198,27358
美天淘日系沙龙（科华路店）,武侯区,科华北路,4.9,欧莱雅烫发染发直发护理单人套餐,159,24325
米淇烫染技术全国联盟,武侯区,红瓦寺,5.0,单人利威丝奇幻烫染系列,158,18735
