商家,区域,商圈,星级,服务,价格,销量
佛伦斯私人定制烫染名店（傲成大厦店）,五华区,南屏片区,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染国际连锁（南屏店）,五华区,南屏片区,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人定制烫染国际连锁（瓦仓庄店）,五华区,小西门,5.0,美芝品系列单人美发套餐,168,143258
佛伦斯私人订制烫染国际连锁（正大紫都城店）,五华区,丰宁小区,5.0,单人首席洗剪吹套餐,39,131977
瑞豪专业烫染连锁（财大店）,五华区,云南财经大学,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
瑞豪专业烫染连锁（天骄北麓店）,五华区,天骄北麓,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
瑞豪专业烫染连锁（南屏时代店）,五华区,南屏片区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
瑞豪专业烫染连锁（龙泉路店）,五华区,云南财经大学,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107231
欧莱雅私人定制（昆明泰旸欣城店）,五华区,云南财经大学,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制（昆明戎锦花园店）,五华区,北教场,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制美发连锁（昆明小花园店）,五华区,南屏片区,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制（昆明和谐世纪店）,五华区,和谐世纪,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制（建设路店）,五华区,建设路,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制美发连锁（昆明香宫国际店）,五华区,小西门,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制（时代公寓店）,五华区,高新区,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制连锁（昆明正大紫都城店）,五华区,丰宁小区,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制（春城慧谷店）,五华区,高新商学院,5.0,单人洗剪吹/护理套餐2选1,39,101037
欧莱雅私人定制（学府路昆冶金学校店）,五华区,建设路,5.0,单人洗剪吹/护理套餐2选1,39,101037
施华蔻美发连锁（昆明和谐世纪店）,五华区,和谐世纪,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（昆明南屏店）,五华区,南屏片区,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（昆明春城慧谷一期店）,五华区,高新商学院,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（昆明泰旸欣城店）,五华区,云南财经大学,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（昆明小西门蓝钻工作室）,五华区,小西门,5.0,单人施华蔻烫染套餐3选1,208,85651
施华蔻美发连锁（昆明假日城市店）,五华区,高新区,5.0,单人施华蔻烫染套餐3选1,208,85651
米娜造型（苏宁电器店）,五华区,小西门,5.0,单人美发套餐5选1,128,35164
88潮牌美发连锁（宝善店）,五华区,三市街,4.9,单人洗剪吹,38.8,20217
88潮牌美发连锁（世纪广场店）,五华区,南屏片区,4.6,单人洗剪吹,38.8,20217
88潮牌美发连锁（兴华店）,五华区,五华区,5.0,单人洗剪吹,38.8,20217
米淇烫染技术全国联盟（香宫国际店）,五华区,小西门,5.0,单人利威丝奇幻烫染系列,158,18735
米娜造型（傲城大厦店）,五华区,五华区,4.0,单人欧莱雅美奇丝超值烫发/染发二选一美发套餐,168,15876
迪美造型（青年路店）,五华区,翠湖公园,4.1,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
名之成爱美发折扣店,五华区,小西门,5.0,单人专业发型师形象设计1次,18,11982
摩登时尚,五华区,圆通山,4.3,单人摩登奢华烫/染/拉直3选1套餐,258,11968
美奇丝私人订制（傲城大厦店）,五华区,南屏片区,5.0,【特价】单人高级施华蔻烫染拉美发套餐3选1,388,10402
美奇丝私人订制（圆通北路店）,五华区,圆通山,5.0,【特价】单人高级施华蔻烫染拉美发套餐3选1,388,10402
沙宣烫染连锁（昆明和谐世纪店）,五华区,和谐世纪,4.9,单人高级施华蔻烫染3选1套餐,290,10095
沙宣烫染连锁（昆明建设路店）,五华区,五华区,5.0,单人高级施华蔻烫染3选1套餐,290,10095
美天淘日系沙龙（南屏时代大厦店）,五华区,三市街,4.9,单人设计师洗剪吹,28,9974
巴罗国际烫染连锁（鼎易天城店）,五华区,高新区,5.0,单人超值烫发/染发套餐5选2,378.8,7934
莱芮姿美发（东风西路店）,五华区,小西门,3.0,【美奇丝】烫染单项套餐,168,6917
久星国际（科发路鼎易天成店）,五华区,高新区,5.0,单人美发套餐4选1,198,4789
千发屋美容美发连锁机构（建设路店）,五华区,建设路,5.0,高级设计师单人洗剪吹1次,25,4130
千发屋美容美发连锁机构（圆西路店）,五华区,圆通山,5.0,高级设计师单人洗剪吹1次,25,4130
玛莎国际专业接发潮牌（昆明店）,五华区,南屏片区,5.0,单人全真无痕隐形接发（55cm）拆卸无残留,780,3954
阿水造型（正义店）,五华区,翠湖公园,5.0,高级设计师精致洗剪吹,25.8,3904
阿水造型（小西门店）,五华区,五华区,5.0,高级设计师精致洗剪吹,25.8,3904
椰岛造型（王府井店）,五华区,南屏片区,5.0,超值限量洗吹单人套餐,22,3841
FRIDAY专业发型沙龙（旗舰店）,五华区,三市街,5.0,高级发型师剪发单人套餐,39,3044
姿尚（小花园店）,五华区,南屏片区,5.0,单人施华蔻刘海,58,2690
维多利亚,五华区,南屏片区,5.0,单人洗剪吹,48,2484
1号连锁美发专家（小花园店）,五华区,小西门,3.5,乔薇尔（JOVIAL)单选,339,2334
FRIDAY专业发型沙龙（柏联广场店）,五华区,三市街,5.0,特级修剪造型单人套餐,68,2181
love秀（金碧店）,五华区,南屏片区,4.9,精致洗剪吹套餐,32.8,2096
love秀（鼎易天景店）,五华区,黄土坡,4.7,精致洗剪吹套餐,32.8,2096
名之成美发（星座店）,五华区,三市街,5.0,单人创意组发型师洗+剪+造型,68,1789
黑人头烫染沙龙（小花园店）,五华区,南屏片区,5.0,单人总监洗剪吹1次,29.8,1416
黑人头烫染沙龙（小西门店）,五华区,小西门,4.7,单人总监洗剪吹1次,29.8,1416
巴黎卡诗专业烫染接发美发连锁（家乐福店）,五华区,丰宁小区,4.3,【特价】单人全真无痕纳米接发55cm(120片),1280,1222
雅琪创意专业美发连锁（西城店）,五华区,高新区,5.0,洗剪吹单人套餐,19.9,1202
延伸空间（新西南店）,五华区,南屏片区,5.0,单人技术总监精剪+造型,58,1019
国际之星（龟背桥店）,五华区,小西门,4.6,店长剪发送保养一次,19.9,918
国际之星总店（苏宁易购店）,五华区,小西门,5.0,店长剪发送保养一次,19.9,918
威娜美奇丝烫染造型（福满宾馆店）,五华区,小西门,5.0,店长剪发送保养一次,19.9,918
supreme潮牌工作室,五华区,五华区,4.7,无痕接发套餐（到胸包括染色),880,909
阿飞私人专属,五华区,南屏片区,5.0,无痕接发套餐（到胸包括染色),880,909
梵帝丝发艺,五华区,丰宁小区,5.0,单人精修洗剪吹,19.8,908
GD绽放星生,五华区,三市街,5.0,单人设计师洗剪吹,38,609
GD STYLE,五华区,南屏片区,5.0,单人设计师洗剪吹,38,609
原玮Hair Salon,五华区,翠湖公园,5.0,单人剪发设计,38,581
CIC私人形象管理,五华区,南屏片区,5.0,特级设计师剪发造型单人体验套餐,38,579
芭比私人定制（小花园店）,五华区,南屏片区,5.0,欧莱雅烫染套餐发长不限,126,563
蒂森美发烫染定制（南屏街总店）,五华区,南屏片区,5.0,单人国际品牌SHK烫染套餐,328,535
聚匠阁秀发场,五华区,五华区,4.1,聚匠阁秀发城美发套餐,99,527
名剪艺人,五华区,月牙潭,3.8,单人洗剪吹,28,525
艾伦造型工作室,五华区,南屏片区,5.0,艾伦设计师洗剪吹单人套餐,18.8,505
Workshop美发工作室,五华区,三市街,5.0,单人首席设计师洗剪吹套餐,68,504
TY私人定制造型,五华区,南屏片区,5.0,单人倒膜护理1次,12,499
阿梁造型,五华区,小西门,5.0,单人洗剪吹,26.9,487
质感发艺,五华区,小西门,5.0,洗剪吹单人套餐,28.8,455
Lady House造型工作室,五华区,南屏片区,5.0,【首席高端】洗剪吹单人套餐,58,420
