商家,区域,商圈,星级,服务,价格,销量
小桑树造型（丽萱店）,西湖区,文二路沿线,5.0,温和烫发/小桑树魅力染发2选1单人套餐,199,2941
舒荷造型半永久（物美店）,西湖区,高新文教区,4.2,单人烫/染套餐,160,2164
舒荷造型半永久（新金都城店）,西湖区,古墩路沿线,5.0,单人烫/染套餐,160,2164
拜伦造型（荷花苑店）,西湖区,文三路沿线,5.0,单人洗剪吹,15,2100
博艺发型设计沙龙,西湖区,小和山,5.0,单人洗剪吹1次,30,1999
1cm独品发舍,西湖区,美院象山,5.0,单人洗剪吹,29,1650
VEKA 维卡造型,西湖区,西湖区,5.0,单人高级发型师洗剪吹套餐,38,1474
古奇精品salon,西湖区,古墩路沿线,5.0,洗剪吹单人套餐,45,1440
不理不彩美业（总店）,西湖区,美院象山,5.0,单人首席设计师洗剪吹套餐,38,1393
不理不彩美业（象山店）,西湖区,美院象山,5.0,单人首席设计师洗剪吹套餐,38,1393
梳发家美发.半永久定妆,西湖区,文二路沿线,5.0,首席设计师洗剪吹发单人套餐,35,1374
简剪造型（文三路店）,西湖区,文三路沿线,4.4,洗剪吹+护发单人套餐,45,1252
D.z Salon 无痕接发潮店（紫桂花园店）,西湖区,文二路沿线,4.5,单人高端无痕接发（全头到腰以上）,1199,1196
D.z Salon 无痕接发潮店（翠园天桥店）,西湖区,高新文教区,4.2,单人高端无痕接发（全头到腰以上）,1199,1196
丝奔国际（董家路店）,西湖区,三墩镇,5.0,单人洗剪吹,39,1193
新雅典造型设计,西湖区,文一路沿线,5.0,资深发型师洗剪吹造型,25,565
起点造型（三墩店）,西湖区,古墩路沿线,5.0,设计师洗剪吹单人,19.88,553
西柏造型（三墩灯彩街店）,西湖区,三墩镇,5.0,高级发型师洗剪吹,29.8,528
格调高级美容美发定制机构,西湖区,高新文教区,5.0,单人发型师洗剪吹,39,509
Max潮沙龙（金街美地店）,西湖区,美院象山,5.0,单人高级发型师洗剪吹套餐,28,505
一号发型,西湖区,美院象山,5.0,单人设计师洗剪吹套餐,40,502
Y-S日系潮牌接发机构（文二路店）,西湖区,古墩路沿线,3.5,单人首席洗剪吹,58.8,491
Y-S日系潮牌接发机构（文一路店）,西湖区,高新文教区,5.0,单人首席洗剪吹,58.8,491
角度造型,西湖区,教工路/学院路,4.2,角度造型美发套餐,258,468
H&TWO;美发沙龙,西湖区,西城广场,4.5,单人高级发型师洗剪吹,48,463
凡客造型（登新公寓店）,西湖区,文二路沿线,5.0,设计师单人洗剪吹,38,455
