商家,区域,商圈,星级,服务,价格,销量
可唻咿造型（南湖佰港城店）,洪山区,南湖城市广场,5.0,高级设计师洗剪吹,29.8,27044
可唻咿造型（广埠屯店）,洪山区,石碑岭/街道口,5.0,单人高品质烫染套餐,268,22924
绚诺soho造型（鹏程国际总店）,洪山区,石碑岭/街道口,4.3,单人资深造型师洗剪吹套餐,29.8,20644
绚诺soho造型（新尚都店）,洪山区,洪山区,4.0,单人资深造型师洗剪吹套餐,29.8,20644
椰岛造型（华师店MF0092）,洪山区,石碑岭/街道口,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（乐天城店）,洪山区,石碑岭/街道口,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（理工大店M025）,洪山区,石碑岭/街道口,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（虎泉二店MF205）,洪山区,石碑岭/街道口,4.9,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（世界城广场光谷二店）,洪山区,光谷/鲁巷,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（光谷四店MF0160）,洪山区,光谷/鲁巷,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（虎泉店MF0055）,洪山区,光谷/鲁巷,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（MF172佳园路光谷五店）,洪山区,光谷/鲁巷,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（光谷新天地2店）,洪山区,光谷天地,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（光谷三店）,洪山区,光谷/鲁巷,3.7,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（赛博广场店）,洪山区,石碑岭/街道口,5.0,【裁剪+造型】洗剪吹套餐,40,18527
椰岛造型（光谷店MF0078）,洪山区,光谷/鲁巷,4.6,【裁剪+造型】洗剪吹套餐,40,18527
蔓莎造型全国连锁（珞喻路店）,洪山区,石碑岭/街道口,4.5,单人高级理发师单人洗剪吹,24.8,14279
发源地（光谷二店）,洪山区,光谷/鲁巷,3.7,单人高级设计师洗剪吹套餐,36,12686
发源地（光谷五店）,洪山区,光谷/鲁巷,5.0,单人高级设计师洗剪吹套餐,36,12686
发源地（光谷天地店）,洪山区,光谷天地,5.0,单人高级设计师洗剪吹套餐,36,12686
Kakimoto发型salon（街道口店）,洪山区,石碑岭/街道口,5.0,单人创意总监剪发套餐,68,1968
诗黛尔生活馆,洪山区,虎泉/关西,5.0,单人洗剪吹一次,35.8,1773
吉咪造型工作室（街道口店）,洪山区,石碑岭/街道口,5.0,单人精剪造型,38,1763
标榜发型（广夏华庭店）,洪山区,光谷/鲁巷,4.4,单人剪发造型,38,1670
伊人风尚（南湖店）,洪山区,光谷/鲁巷,4.1,单人特色洗剪吹一次,25.9,1610
