商家,区域,商圈,星级,服务,价格,销量
瑞豪专业烫染连锁（太原街店）,和平区,和平区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107226
瑞豪专业烫染连锁（维华商业广场店）,和平区,长白地区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107226
欧莱雅私人定制美发连锁（太原街兴隆中兴店）,和平区,万达广场,4.8,单人洗剪吹/护理套餐2选1,39,101033
美联社&美丽频道造型（万达新天地店）,和平区,万达广场,5.0,菲灵剪护造型送烫发染发二选一,178,97785
柯琳造型（三好店）,和平区,三好街,5.0,【洗剪造型】套餐,29.8,74161
柯琳造型（百盛店）,和平区,万达广场,5.0,【洗剪造型】套餐,29.8,74161
艺境造型（中街店）,和平区,太原北街,5.0,单人施华蔻烫/染/直C套餐,208,20695
绚诺soho（万达天河座店）,和平区,和平区,5.0,单人资深造型师洗剪吹套餐,29.8,20643
摩登时尚（太原街百利保公寓店）,和平区,和平区,4.3,【首次体验】烫染三选一,128,19723
阿三造型（长白天河店）,和平区,长白地区,4.6,单人创意发型师洗剪吹套餐,32,15002
阿三造型（兴隆一百步行街店）,和平区,和平区,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（三好店）,和平区,三好街,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（长白远洋店）,和平区,长白地区,4.6,单人创意发型师洗剪吹套餐,32,15002
迪美造型（兴隆一百协和店）,和平区,和平区,4.6,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
阿三造型（太原街一店）,和平区,万达广场,4.4,单人创意发型师洗剪吹+烫/染+造型,228,12261
阿三造型（太原北街店）,和平区,太原北街,5.0,单人创意发型师洗剪吹+烫/染+造型,228,12261
莱芮姿美发（兴隆一百店）,和平区,和平区,5.0,单人无痕接发,15,11111
丝域养发馆（太原街店）,和平区,和平区,4.6,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（新世界花园店）,和平区,五里河/南湖公园,4.4,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（沈阳中海店）,和平区,长白地区,4.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（一方广场店）,和平区,三好街,4.6,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（万科鹿特丹店）（沈阳万科鹿特丹店）,和平区,和平区,4.0,玫瑰香薰spa+水润头皮护理,88,10637
美橙美发（长白大润发店）,和平区,长白地区,5.0,【烫染直】单人欧莱雅烫染直3选1套餐,178,9175
阿三造型（长白万科店）,和平区,长白地区,5.0,单人资深发型师洗剪吹套餐,48,6207
玛莎国际专业接发潮牌（兴隆一百协和店）,和平区,和平区,4.9,单人全真无痕隐形接发（55cm）拆卸无残留,780,3954
飞飞想 I U（长白大润发店）,和平区,长白地区,5.0,单人洗剪造型+护理+烫/染2选1套餐,178,2186
米咔造型（J.show）,和平区,和平区,4.3,单人店长总监高端烫染3选1,398,1898
cozy美发世家（太原街店）,和平区,和平区,5.0,单人高级洗剪吹,39.9,1554
Meng Lang美发（梦郎春河里店）,和平区,彩电塔,5.0,单人剪发造型套餐,59,1459
Fashion hair私人发社（万达新天地店）,和平区,万达广场,5.0,单人特级造型师剪发套餐,38,1388
发名地烫染沙龙（和平南八店）,和平区,新华广场,5.0,单人洗剪吹,20,1314
刁廊发艺沙龙,和平区,南市/马路湾,5.0,单人洗剪吹,24.9,1124
酷发美发沙龙（总统大厦旗舰店）,和平区,和平区,4.2,单人明星设计师剪发1次,38,927
酷发美发沙龙（南五马路城中花园店）,和平区,南市/马路湾,4.2,单人明星设计师剪发1次,38,927
酷发美发沙龙（民主路店）,和平区,和平区,4.6,单人明星设计师剪发1次,38,927
酷发美发沙龙（展览馆店）,和平区,三好街,4.0,单人明星设计师剪发1次,38,927
阿三造型（万象城店）,和平区,彩电塔,4.0,单人夏季冰疗水洗套餐,29.9,759
阿三造型（太原街二店）,和平区,万达广场,3.5,单人夏季冰疗水洗套餐,29.9,759
c+clippers发艺工作室,和平区,南市/马路湾,5.0,单人洗剪吹,20.9,721
VIDAL SASSOON高级定制（太原街万达店）,和平区,万达广场,5.0,【高级定制】超值烫染10选1套餐,899,670
阿海造型,和平区,长白地区,5.0,单人精品套餐,30.8,605
On the way（阿海造型二部）,和平区,和平区,5.0,单人精品套餐,30.8,605
1986造型（旗舰店）,和平区,南市/马路湾,5.0,设计师剪发,24.9,495
山林美社（太原街店）,和平区,万达广场,5.0,单人轻奢烫发/染发二选一套餐,158,466
山林美社（三好街店）,和平区,三好街,5.0,单人轻奢烫发/染发二选一套餐,158,466
诚成造型,和平区,西塔/北市场,5.0,单人洗剪吹套餐,11.9,461
Mia咪娅造型（太原街潮牌店）,和平区,中华路,5.0,【520限时特惠】单人精致裁剪 套餐,25.2,445
Mia咪娅造型（高端订制店）,和平区,和平区,5.0,【520限时特惠】单人精致裁剪 套餐,25.2,445
爱度形象设计,和平区,沈阳站,5.0,单人资深设计师剪发套餐,30,388
小义美发（东大校内店）,和平区,五里河/南湖公园,3.6,单人精剪,15,367
凡高无痕接发（太原街旗舰店）,和平区,沈阳站,4.9,单人高级发型师烫+染套餐,258,355
潮牌店 古贝艺术沙龙（时尚地下店）,和平区,中华路,5.0,【私人订制】单人首席艺术总监剪发套餐,28,337
熙恩造型,和平区,西塔/北市场,5.0,单人剪发,28.8,295
摩登万象造型（太原街店）,和平区,和平区,5.0,单人资深发型师洗剪吹1次,25,291
D5造型美发连锁机构（太原街店）,和平区,万达广场,5.0,单人施华蔻烫发/染发套餐,150,290
TiTi私人发型定制,和平区,和平区,5.0,单人剪发套餐,39.9,286
再出发养发馆（奉天街店  沈阳总店））,和平区,彩电塔,4.1,单人高级养发套餐,98,140
迷都形象设计,和平区,和平区,5.0,单人烫发/染发2选1,158,133
3S烫染屋（三好街店）,和平区,三好街,5.0,单人轻奢烫发/染发二选一套餐,158,121
3S烫染屋（太原街店）,和平区,万达广场,5.0,单人轻奢烫发/染发二选一套餐,158,121
艾美发型（三好店）,和平区,三好街,4.3,单人导师剪发套餐,9.9,120
AW-TOP艺术空间,和平区,新华广场,5.0,单人超值剪发套餐,18,118
IAG逆龄女神皮肤管理连锁机构（新世界店）,和平区,三好街,5.0,单人韩式纯植物染发（女发）套餐,99,112
IAG逆龄女神皮肤管理连锁机构（长白万科城店）,和平区,长白地区,5.0,单人韩式纯植物染发（女发）套餐,99,112
IAG逆龄女神皮肤管理连锁机构（世茂五里河店）,和平区,三好街,4.5,单人韩式纯植物染发（女发）套餐,99,112
阿鲁巴日式美发工作室（阿鲁巴日式美发工作室）,和平区,太原北街,5.0,单人纯日式高级发型师精剪1次,68,107
伯爵无痕接发（太原街店）,和平区,中华路,5.0,单人无痕接发65cm+染发体验套餐,998,106
XZ·URANUS（西子形象）,和平区,新华广场,5.0,单人洗剪吹造型1次,51,106
秀剪美发沙龙,和平区,和平区,4.6,剪发一次,25,101
台北soho国际发型机构（太原街总店）,和平区,中华路,5.0,单人欧莱雅奢华烫发/染发,125,100
798艺术发型,和平区,彩电塔,5.0,【专业组】单人精致剪裁+造型 套餐,25,101
染发世家,和平区,长白地区,5.0,单人洗剪吹套餐,38,96
榆树,和平区,南市/马路湾,5.0,单人剪发,45,95
发尊时尚造型,和平区,三好街,5.0,单人店长剪发,40,95
芮拉日式美发沙龙,和平区,中山广场,5.0,单人高级发型师剪发套餐,29,94
怪剪美发（精品店）,和平区,和平区,3.9,单人创意发型师洗剪吹,39.8,85
成发艺美容美发中心（南湖店）,和平区,沙山,4.0,染发+烫发,298,22
美杜莎发型宫殿,和平区,五里河/南湖公园,5.0,单人洗剪吹,38,21
晓贺造型欧莱雅专业店,和平区,万达广场,5.0,单人总监剪发套餐,38,21
Az发艺,和平区,和平区,5.0,单人资深发型师剪发,20,22
YN国际专业潮牌接发,和平区,万达广场,4.9,无痕接发套餐180片,588,17
顶发艺,和平区,五里河/南湖公园,4.1,欧莱雅烫发,158,17
酷发美发连锁沙龙29店（太原街玖伍店）,和平区,中华路,4.4,艺术总监专业精剪造型1次,88,9
coco美发沙龙,和平区,西塔/北市场,3.5,美发套餐,160,8
摩登密码发艺工作室,和平区,南市/马路湾,4.1,单人韩国碧涛染发,87,6
尚美造型,和平区,沙山,3.5,单人店长精剪套餐,18,6
怪剪（万科店）,和平区,长白地区,3.4,单人精剪设计,16,6
海发造型（十三纬路店）,和平区,南市/马路湾,4.1,单人艺术总监洗剪吹套餐,69.9,3
明星造型,和平区,中华路,3.6,染/烫套餐2选1,129,3
爱上美你型我塑,和平区,中山广场,4.4,单人爱上美你型我塑泰式洗头+剪发+烫/染+造型,128,2
炫奇造型,和平区,长白地区,4.3,蜡染,98,2
台北soho国际发型机构（太原街二店）,和平区,万达广场,5.0,单人施华蔻烫发染发,295,2
新时尚烫染专业店,和平区,中山广场,4.0,染烫双项,116,2
1987私人美发会所,和平区,和平区,4.8,单人中短发染发套餐,188,1
大鹏美发工作室,和平区,三好街,4.0,单人护理1次,99.8,1
魅格形象设计,和平区,和平区,3.5,生活妆课程,39,1
潇洒一族,和平区,五里河/南湖公园,3.5,专业施华蔻烫发套餐,128,1
高山美吉美容美发设计沙龙（中兴商业大厦店）,和平区,和平区,3.9,单人欧莱雅烫发或染发2选1,280,1
乌托邦无痕接发专业,和平区,万达广场,3.5,单人体验真发无痕接发一束套餐1次,1,1
格色风美发连锁沙龙（长白店）,和平区,长白地区,4.2,单人首席烫染2选1套餐,588,1
三木发业,和平区,和平区,3.5,单人烫染套餐,159,0
诗缘造型,和平区,长白地区,3.5,烫/染套餐,158,0
阿文造型,和平区,和平区,3.5,单人阿文造型剪发+染发,158,0
万鑫美发阿强造型,和平区,五里河/南湖公园,4.1,【时尚设计师】精致剪裁+造型套餐,80,0
指尖舞造型（太原街店）,和平区,和平区,4.0,时尚烫染2选1套餐,77,0
8090美发沙龙,和平区,中山广场,4.0,单人靓发四选一套餐,360,0
龙少美发工作室,和平区,南市/马路湾,4.8,烫发+染发,130,0
南方领峰美发,和平区,沈阳站,4.1,代金券,19,0
滨尚造型,和平区,太原北街,4.2,单人时尚烫染套餐1次,199,0
德艺发,和平区,西塔/北市场,3.5,女士剪发1次,12.8,0
莎田发舍,和平区,新华广场,3.5,单人染烫综合套餐,388,0
大树美发工作室,和平区,和平区,4.0,单人店长精剪造型套餐,78,0
丝艺造型,和平区,沙山,4.2,蜡染,168,0
香港巨龍美业接发造型全国连锁（东中街店）,沈河区,中街/故宫,4.0,巨龍无痕隐形全头接发超值体验好评热卖,1260,222680
瑞豪专业烫染连锁（和安街礼发公馆店）,沈河区,北站/市府,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107226
美联社·美丽频道造型（金融中心店）,沈河区,北站/市府,4.8,菲灵剪护造型送烫发染发二选一,178,97785
米娜造型（大南街店）,沈河区,长青街,4.0,单人美发套餐5选1,128,35164
米娜造型（大南街店）,沈河区,文艺路/文化路,4.8,单人美发套餐5选1,128,35164
米娜造型（保利花园店）,沈河区,沈河区,5.0,单人欧莱雅高端五选一套餐,198,27357
绚诺soho（北中街店）,沈河区,中街/故宫,3.0,单人资深造型师洗剪吹套餐,29.8,20643
阿三造型（正阳街店）,沈河区,中街/故宫,4.9,单人创意发型师洗剪吹套餐,32,15002
阿三造型（方明店）,沈河区,长青街,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（华府三店）,沈河区,北站/市府,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（南塔店）,沈河区,南塔,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（朝阳街店）,沈河区,中街/故宫,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（VIP店）,沈河区,北站/市府,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（奉天店）,沈河区,北站/市府,5.0,单人创意发型师洗剪吹套餐,32,15002
阿三造型（华府二店）,沈河区,北站/市府,5.0,单人创意发型师洗剪吹+烫/染+造型,228,12261
阿三造型（农大店）,沈河区,沈河区,4.0,单人创意发型师洗剪吹+烫/染+造型,228,12261
阿三造型（中兴新一城店）,沈河区,中街/故宫,5.0,单人创意发型师洗剪吹+烫/染+造型,228,12261
88潮牌美发连锁（万象城PT店）,沈河区,展览馆,5.0,单人美发轻度受损发质烫/染/直,299,12101
丝域养发馆（中街恒隆广场店）,沈河区,中街/故宫,4.0,玫瑰香薰spa+水润头皮护理,88,10637
菲蒙造型,沈河区,中街/故宫,5.0,单人超值剪发造型套餐,12.9,9826
阿三造型（华府一店）,沈河区,北站/市府,4.2,单人资深发型师洗剪吹套餐,48,6207
阿三造型（大西路店）,沈河区,青年大街,4.1,单人剪发代金券,18,4743
绚诺soho（华府店）,沈河区,北站/市府,3.5,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3312
阿三造型（皇城恒隆广场店）,沈河区,中街/故宫,5.0,单人资深发型师洗剪吹+烫染+护理+造型,476,2747
飞飞想（I-time店）,沈河区,奉天街沿线,5.0,单人洗剪造型+护理+烫/染2选1套餐,178,2186
cozy美发世家（中街店）,沈河区,奉天街沿线,5.0,单人高级洗剪吹,39.9,1554
MengLang美发（梦郎卓展店）,沈河区,北站/市府,4.8,单人剪发造型套餐,59,1459
酷发美发沙龙（市府店）,沈河区,北站/市府,4.9,单人明星设计师剪发1次,38,927
摩登万象造型（奉天街店）,沈河区,奉天街沿线,5.0,单人资深发型师洗剪吹1次,35,885
丝尚造型（西顺城街店）,沈河区,怀远门,4.6,单人精剪1次,20,678
BIGSTYLE（FTC金融店）,沈河区,北站/市府,5.0,单人超值特惠烫或染+造型套餐,150,652
曼SALON曼沙龙（FTC金融店）,沈河区,北站/市府,5.0,单人高级发型师剪发1次,52,609
