商家,区域,商圈,星级,服务,价格,销量
佛伦斯私人订制烫染国际连锁（中骏世界城店）,丰泽区,中骏世界城,5.0,美芝品系列单人美发套餐,168,143259
瑞豪专业烫染连锁（中心站店）,丰泽区,泉州客运中心周边,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107228
欧莱雅私人定制美发连锁（泉州中骏世界城店）,丰泽区,中骏世界城,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅私人定制美发连锁（泉州丰泽广场潮店）,丰泽区,丰泽广场/丰泽街,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅私人定制美发连锁（泉州浦西万达旗舰店）,丰泽区,浦西万达广场,5.0,单人洗剪吹/护理套餐2选1,39,101034
镁连社（万达广场店）,丰泽区,浦西万达广场,5.0,菲灵剪护造型送烫发染发二选一,178,97787
施华蔻美发连锁（泉州中骏世界城店）,丰泽区,中骏世界城,5.0,单人施华蔻烫染套餐3选1,208,85650
施华蔻美发连锁（泉州领秀天地店）,丰泽区,领SHOW天地,5.0,单人施华蔻烫染套餐3选1,208,85650
紫尚造型（泉州丰泽广场总店）,丰泽区,丰泽广场/丰泽街,5.0,【人气】单人烫染直三选一美发套餐,159,59492
88潮牌美发连锁（贝影店）,丰泽区,美食街,4.0,单人美发轻度受损发质烫/染/直,299,12101
倷丝国际烫染连锁（东海湾太古二期店）,丰泽区,泉州客运中心周边,5.0,单人美芝品美发套餐,168,10611
倷丝国际烫染连锁（东海大街店）,丰泽区,东海湾新华都广场,5.0,单人美芝品美发套餐,168,10611
神采飞扬（金汇店）,丰泽区,星光不夜城及周边,4.7,高级设计师洗剪吹套餐,47,6290
发源地,丰泽区,大洋百货周边,5.0,单人洗剪吹1次,30,5646
尚美形象（云谷工业店）,丰泽区,津淮街,3.5,综合烫染套餐,418,4195
尚美形象（霞淮店）,丰泽区,星光不夜城及周边,3.8,综合烫染套餐,418,4195
《1号连锁》美发专家（万达店）,丰泽区,浦西万达广场,3.0,乔薇尔（JOVIAL)单选,339,2334
贝影时尚造型（泉秀店）,丰泽区,永辉/现代家居广场,5.0,［资深组］单人潮品洗剪吹,38.8,2311
艾瑞卡·时尚造型（浦西万达店）,丰泽区,浦西万达广场,5.0,［资深组］精致单人裁剪＋蛋白修护,68,1315
蜗牛造型,丰泽区,星光不夜城及周边,5.0,单人洗剪吹,38,1080
Morning猫宁造型,丰泽区,浦西万达广场,5.0,单人洗吹造型,30,221
