商家,区域,商圈,星级,服务,价格,销量
美学·星工坊（中泰大厦店）,历下区,大明湖,4.1,单人总监欧莱雅美奇丝烫染套餐,158,7519
永琪美容美发（文化西路店）,历下区,文化东/西路,3.9,单人永琪美容美发洗剪吹套餐,20,6086
亮姿美（家乐福店）,历下区,解放路,4.1,单人烫发/染发2选1,399,6017
亮姿美（世茂店）,历下区,世茂国际广场,4.5,单人烫发/染发2选1,399,6017
爱尚专业美发,历下区,山师东路,5.0,单人明星发型师剪发1次,30,5529
韩社HanShePose（私人订制）,历下区,恒隆广场,5.0,【技术督导】意大利古凡尼系列（烫染拉直三选一）,298,4972
改头换面美发连锁（泉城路店）,历下区,大明湖,5.0,洗剪吹套餐,22.8,4466
天地造型（吉祥苑店）,历下区,文化东/西路,5.0,单人设计师洗剪吹＋造型1次,18.8,4396
天地造型（二环东路店）,历下区,燕山地区,5.0,单人设计师洗剪吹＋造型1次,18.8,4396
米琳造型（洪楼教堂店）,历下区,高新会展中心,4.6,单人欧莱雅美奇丝系列烫/染套餐,148,4264
阿双阿月美容美发机构（世茂店）,历下区,世茂国际广场,5.0,资深设计师剪发造型套餐（单人）,45,4186
阿双阿月影视造型沙龙（佛山街品质店）,历下区,佛山街,5.0,资深设计师剪发造型套餐（单人）,45,4186
百度造型（历下区店）,历下区,文化东/西路,5.0,单人洗剪吹1次,23.58,4161
东方美妍美发沙龙（济南店）,历下区,山师东路,5.0,单人欧莱雅三选一套餐,179,4135
铭轩造型,历下区,山大南/北路,5.0,首席设计师洗剪吹＋造型,18,3385
Character品格造型（总店）,历下区,恒隆广场,5.0,【首席设计师】提案设计+精致裁剪+定制造型,19.9,3046
Character品格造型（创意店）,历下区,泉城广场,5.0,【首席设计师】提案设计+精致裁剪+定制造型,19.9,3046
秀造型（KT主题店）,历下区,山大南/北路,5.0,单人设计师定制裁剪,35,2890
秀造型（MINX日式沙龙店）（玉涵店）,历下区,玉函银座,5.0,单人设计师定制裁剪,35,2890
美宣造型（银座新天地店）,历下区,银座新天地,4.6,单人高级发型师洗剪吹1次,39.9,1587
美宣造型（海尔绿城店）,历下区,历下区,5.0,单人高级发型师洗剪吹1次,39.9,1587
美宣造型（银座花园店）,历下区,历下区,5.0,单人高级发型师洗剪吹1次,39.9,1587
美宣造型（朝山街店）,历下区,朝山街,5.0,单人高级发型师洗剪吹1次,39.9,1587
慕名造型（高新店）,历下区,高新会展中心,5.0,单人高级发型师精剪1次,39,1491
原创天地,历下区,千佛山公园,5.0,单人设计师总监洗剪吹套餐,32.8,1490
