商家,区域,商圈,星级,服务,价格,销量
银座造型（京华城店）,龙华区,京华城,4.7,银座洗剪吹,48,16629
银座造型（解放西店）,龙华区,解放西/泰龙城,5.0,银座洗剪吹,48,16629
银座造型（万国店）,龙华区,万国大都会,4.7,银座洗剪吹,48,16629
苏黎世（城西店）,龙华区,海南医学院及周边,5.0,单人超值洗剪吹套餐,42,12221
88潮牌美发连锁微肯（吾悦广场店）,龙华区,新城吾悦购物广场,5.0,单人美发轻度受损发质烫/染/直,299,12101
丝域养发馆（世贸店）,龙华区,金贸西路沿线,4.7,玫瑰香薰spa+水润头皮护理,88,10636
丝域养发馆（海德店）,龙华区,海德路,4.8,玫瑰香薰spa+水润头皮护理,88,10636
丝域养发馆（丽晶店）,龙华区,龙华区,5.0,玫瑰香薰spa+水润头皮护理,88,10636
丝域养发馆（京华城店）,龙华区,京华城,3.9,玫瑰香薰spa+水润头皮护理,88,10636
潮牌造型,龙华区,京华城,5.0,洗剪吹1次,38.8,9197
VS沙宣造型全国连锁（解放西店）,龙华区,解放西/泰龙城,4.6,单人欧莱雅品质美发套餐,158,9073
VS雕刻时光（龙华店）,龙华区,龙华区,4.0,vs雕刻时光洗剪吹套餐,49.9,9040
雕刻时光（国贸店）,龙华区,国贸大道,3.5,vs雕刻时光洗剪吹套餐,49.9,9040
3698品质发型设计,龙华区,京华城,5.0,单人资深设计师洗剪吹,59,6714
八佰伴美发旗舰店（万国店）,龙华区,万国大都会,5.0,单人资深发型师洗剪吹造型套餐,59,6072
八佰伴（友谊广场店）,龙华区,友谊广场,5.0,单人资深发型师洗剪吹造型套餐,59,6072
八佰伴美发旗舰店（海德店）,龙华区,海德路,5.0,单人资深发型师洗剪吹造型套餐,59,6072
蜜思夏尔Ms.shine（泰龙城店）,龙华区,解放西/泰龙城,5.0,单人导师总监剪发,59,5035
时光雕刻（金盘店）,龙华区,金盘,5.0,单人Js洗剪吹套餐,35,4116
玛莎国际专业接发潮牌（玉沙路店）,龙华区,解放西/泰龙城,4.4,单人全真无痕隐形接发（55cm）拆卸无残留,780,3954
八佰伴瑷丝坊（泰龙城店）,龙华区,解放西/泰龙城,5.0,单人健康烫/染2选1套餐,248,3841
Sieson 丝颂沙龙（新一代店）,龙华区,京华城,5.0,单人剪发造型套餐,58,3501
