商家,区域,商圈,星级,服务,价格,销量
丝域养发馆（金地伊顿山店）,香洲区,新香洲,4.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（珠海兰埔店）,香洲区,香洲区,3.9,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（珠海凤凰北店）,香洲区,香洲区,4.5,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（珠海五洲康城店）,香洲区,香洲区,4.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（珠海诚丰星座店）,香洲区,吉大,5.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（珠海吉大店）,香洲区,吉大,4.4,玫瑰香薰spa+水润头皮护理,88,10637
美奇丝私人订制（华润万家店）,香洲区,南屏,5.0,【特价】单人高级施华蔻烫染拉美发套餐3选1,388,10402
达芬奇美发工作室（迎宾南路店）,香洲区,拱北,5.0,单人理发洗剪吹,34.99,9146
曼妮斯造型（迎宾南路店）,香洲区,香洲区,3.0,单人超值美发欧莱雅5选1烫染套餐,148,8491
艺彩美发（剪神店）,香洲区,拱北,3.5,单人总监洗剪吹美发造型,30,5969
贝克皇家（前山店）,香洲区,前山,4.1,单人高级设计师洗剪吹,40,4841
尚艺（南屏天朗海峰店）,香洲区,南屏,5.0,单人洗剪吹套餐,36.8,4625
LOVE CRAZY 私人订制烫染国际（拱北莲花路店）,香洲区,拱北口岸,4.1,单人私人定制美发套餐,488,4590
玛莎国际专业接发潮牌（香洲区店）,香洲区,拱北,5.0,单人全真无痕隐形接发（55cm）拆卸无残留,780,3954
贝克皇家SPA（金鼎天成店）,香洲区,金鼎/珠海北站,5.0,单人洗剪吹,28,3841
绚诺soho（吉林大学店）,香洲区,香洲区,5.0,欧莱雅美奇丝系列单人轻奢 烫/染+护理 套餐,198,3711
尚艺（银桦店）,香洲区,香洲汽车总站,5.0,单人高级设计师洗剪吹套餐,38,3437
尚艺名师名店（前山逸仙店）,香洲区,前山,4.9,单人高级发型师剪发,50,3165
名师名店（威尼斯店）,香洲区,前山,4.8,单人高级发型师剪发,50,3165
尚艺名师名店（围基路店）,香洲区,拱北口岸,4.8,单人高级发型师剪发,50,3165
潮村-更好的发型效果（凉粉桥店）,香洲区,拱北,5.0,(优惠）单人高级组设计师洗剪吹套餐,33,884
潮村-更好的发型效果（摩尔广场店）,香洲区,摩尔广场,5.0,(优惠）单人高级组设计师洗剪吹套餐,33,884
潮村-更好的发型效果（水晶堡店）,香洲区,香洲汽车总站,5.0,(优惠）单人高级组设计师洗剪吹套餐,33,884
贝克皇家spa美容美发（中电大厦店）,香洲区,吉大,4.0,单人高级发型师商务洗剪吹,30,859
尚艺（柠溪店）,香洲区,柠溪,5.0,单人资深设计师洗剪吹套餐,49,814
韩人发社,香洲区,前山,3.8,单人洗剪吹套餐,19.9,802
美嘉美（金叶店）,香洲区,拱北口岸,4.9,欧式洗护+精剪,49,775
尚艺（南湾店）,香洲区,南屏,5.0,单人高级设计师洗剪吹+发型设计套餐,33.8,695
尚宫美容美发沙龙,香洲区,香洲区,4.6,美发单人套餐3选1,388,690
KZ重塑美发沙龙,香洲区,吉大,5.0,资深总监洗剪吹单人套餐,46,671
钡克皇家,香洲区,香洲区,3.5,港式洗剪吹单人套餐,35,669
原创发业（北岭店）,香洲区,香洲区,5.0,洗剪吹单人套餐,50,669
MXO潮品汇（夏湾品质店）,香洲区,夏湾,5.0,【品匠♚推荐】设计师单人套餐,299,669
佐轮美发工作室,香洲区,香洲区,5.0,美发单人套餐,33,666
丝荟造型（鸿翠阁店）,香洲区,前山,4.0,头部香薰spa,69,639
丝荟造型（摩尔百货店）,香洲区,摩尔广场,4.4,头部香薰spa,69,639
show发型工作室,香洲区,夏湾,5.0,单人洗剪造型,36.8,631
尚美（国会店）,香洲区,吉大,4.9,单人洗剪吹,48,630
尚美（华景店）,香洲区,吉大,4.2,单人洗剪吹,48,630
尚美（联安店）,香洲区,拱北,3.7,单人洗剪吹,48,630
芭莎印象（华发新城店）,香洲区,华发商都,3.7,单人洗剪吹,48,630
尚美（米兰店）,香洲区,柠溪,4.1,单人洗剪吹,48,630
尚艺发型定制（山姆会员店）,香洲区,香洲区,5.0,单人资深发型师洗剪吹套餐,50,623
FEELING非零国际烫染连锁（金鼎店）,香洲区,金鼎/珠海北站,4.8,高级施华蔻单人烫染拉套餐,288,544
美奇潮店MQ SALON,香洲区,前山,5.0,单人女士/男士剪发套餐,38,533
AC发型顾问中心（珠海昌盛路店）,香洲区,香洲区,4.6,单人高级发型师洗剪吹设计造型,58,510
苏凯造型,香洲区,夏湾,4.3,洗剪吹,30,502
卓越风彩,香洲区,前山,4.0,单人剪发套餐,39.9,487
名师名剪,香洲区,夏湾,3.7,单人设计资深设计师剪发1次,45,456
海港沙龙（香洲店）,香洲区,香洲区,4.1,单人创意总监精剪,48,447
海港沙龙（吉大店）,香洲区,吉大,4.3,单人创意总监精剪,48,447
尚艺（鸿晖店）,香洲区,拱北,4.8,单人高级设计师精剪+造型(含洗头),35,419
缔一国际美发沙龙,香洲区,香洲区,5.0,单人香薰洗护+造型设计,25,359
左右美业潮牌,香洲区,前山,5.0,单人首席设计师精剪,55,351
F D S salon（双水湾店）,香洲区,香洲区,5.0,单人高级设计师洗剪吹套餐,70,344
尚艺（翠前北路店）,香洲区,前山,5.0,单人发型设计师洗剪吹,35,338
魅力前线潮店（二城广场店）,香洲区,前山,5.0,【实惠推荐】单人首席设计师裁剪,38,329
臻美美发店,香洲区,夏湾,5.0,资深设计师洗剪吹,39,320
尚艺名剪（吉大嘉年华店）,香洲区,吉大,4.9,资深发型师洗剪吹单人套餐,39,308
珠海聚美国际造型,香洲区,拱北口岸,5.0,【裁剪组】创意总监设计服务,78,294
魔发城美容美发店（南屏）,香洲区,南屏,4.8,单人高级发型师洗剪吹套餐,40,288
KABO卡柏发型定制（华策店）,香洲区,拱北口岸,5.0,单人资深发型师洗剪吹1次,45,277
丝域养发馆（珠海北欧森林店）,香洲区,夏湾,4.5,丝域头部香薰spa,69,275
丝域养发馆（拱北万家米兰店）,香洲区,拱北口岸,4.2,丝域头部香薰spa,69,275
丝域养发馆（珠海湾仔沙店）,香洲区,香洲区,4.3,丝域头部香薰spa,69,275
尚艺（环怡店）,香洲区,柠溪,5.0,单人高级设计师洗剪吹+发型设计套餐,38,253
韩国丝客富Dr.Scalp养发会所（珠海前山明珠店）,香洲区,前山,4.0,单人韩国丝蜜达SPA头部香薰水润丝滑护理套餐,68,246
GD美业潮牌（拱北摩尔广场店）,香洲区,摩尔广场,5.0,单人港式洗剪吹套餐,38,245
缔轩造型,香洲区,香洲汽车总站,5.0,单人高级设计师洗剪吹+头发护理套餐,45,245
和野形象（华发商都店）,香洲区,南屏,5.0,资深设计师提案+洗剪+造型+烫染2选1,99,239
16番美容美发养生美甲,香洲区,拱北口岸,4.7,单人中式洗护+精剪套餐,49,232
贝克皇家（美淇店）,香洲区,金鼎/珠海北站,4.1,单人洗剪吹套餐,31,212
