商家,区域,商圈,星级,服务,价格,销量
佑米造型（乐汇城店）,长安区,乐汇城,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310620
佑米造型（东胜广场店）,长安区,东胜广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310620
佛伦斯私人订制烫染国际连锁（-东胜广场店）,长安区,东胜广场,4.7,美芝品系列单人美发套餐,168,143258
欧莱雅私人定制（石家庄西美五洲店）,长安区,谈固,5.0,单人洗剪吹/护理套餐2选1,39,101033
欧莱雅私人定制美发连锁（石家庄东胜广场店）,长安区,东胜广场,5.0,单人洗剪吹/护理套餐2选1,39,101033
欧莱雅私人定制美发连锁（北国东尚店）,长安区,北国东尚,5.0,单人洗剪吹/护理套餐2选1,39,101033
施华蔻美发连锁（石家庄北国东尚店）,长安区,北国东尚,5.0,单人施华蔻烫染套餐3选1,208,85650
施华蔻美发连锁（石家庄魔俪2000店）,长安区,方北,4.7,单人施华蔻烫染套餐3选1,208,85650
施华蔻美发连锁（石家庄乐汇城店）,长安区,乐汇城,5.0,单人施华蔻烫染套餐3选1,208,85650
施华蔻美发连锁（石家庄东胜广场店）,长安区,东胜广场,5.0,单人施华蔻烫染套餐3选1,208,85650
紫尚造型（石家庄谈固店）,长安区,东胜广场,5.0,【人气】单人烫染直三选一美发套餐,159,59492
紫尚连锁（东胜总店）,长安区,东胜广场,5.0,【人气】单人烫染直三选一美发套餐,159,59492
米娜造型（北国益庄店）,长安区,长安区,5.0,单人美发套餐5选1,128,35164
佑美乐（乐汇城店）,长安区,乐汇城,4.7,单人剪发套餐1份,39.8,28761
古川造型（政府店）,长安区,北国东尚,5.0,洗剪吹套餐,29.9,27116
魔发有约（广安大街店）,长安区,省博物馆,5.0,单人女王施华蔻烫染套餐,288,21547
艺境造型（东尚东塔店）,长安区,北国东尚,4.3,单人施华蔻烫/染/直C套餐,208,20695
绚诺soho（广安大街店）,长安区,省博物馆,5.0,单人资深造型师洗剪吹套餐,29.8,20643
绚诺soho（中山东路东胜广场店）,长安区,东胜广场,5.0,单人资深造型师洗剪吹套餐,29.8,20643
1号连锁（东胜广场店）,长安区,东胜广场,4.7,单人首席洗剪吹套餐,38,14347
88潮牌美发连锁（柳树造型店）,长安区,省四院中基礼域,4.4,单人美发轻度受损发质烫/染/直,299,12101
沙宣烫染连锁（东胜广场店）,长安区,东胜广场,5.0,单人欧莱雅美奇丝套餐,160,7466
丽人美发（育才精品店）,长安区,先天下,4.7,单人精剪套餐,30,7160
