商家,区域,商圈,星级,服务,价格,销量
佛伦斯私人定制烫染名店（福州帝豪店）,鼓楼区,温泉公园/福州广场,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人订制烫染国际连锁（津泰路店）,鼓楼区,津泰路/协和医院,4.9,美芝品系列单人美发套餐,168,143259
瑞豪专业烫染连锁（东大路店）,鼓楼区,蒙古营,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107228
瑞豪造型（五四路店）,鼓楼区,温泉公园/福州广场,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107228
欧莱雅私人定制（福州东大路店）,鼓楼区,蒙古营,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅私人定制美发连锁（五四店）,鼓楼区,温泉公园/福州广场,5.0,单人欧莱雅美奇丝烫/染/拉3选1套餐),159,76410
紫尚造型（福州华林店）,鼓楼区,五四路,5.0,【人气】单人烫染直三选一美发套餐,159,59492
紫尚造型（福州东街店）,鼓楼区,省立/旗汛口,5.0,【人气】单人烫染直三选一美发套餐,159,59492
摩登时尚（安泰中心店）,鼓楼区,津泰路/协和医院,4.9,【品质优选】设计师定制裁剪,29.8,23679
摩登时尚（鼓楼宏运帝豪店）,鼓楼区,温泉公园/福州广场,4.6,【品质优选】设计师定制裁剪,29.8,23679
迪美造型（五四路店）,鼓楼区,五四路,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
丝域养发馆（温泉店）,鼓楼区,温泉公园/福州广场,4.0,玫瑰香薰spa+水润头皮护理,88,10637
佑美乐（八一七路店）,鼓楼区,东街口/三坊七巷,4.6,单人专业形象设计精品靓发套餐,198,9915
VS沙宣造型全国连锁（冠亚广场）,鼓楼区,乌山/冠亚广场,5.0,单人欧莱雅品质美发套餐,158,9073
金棕榈（潮心店）,鼓楼区,津泰路/协和医院,5.0,烫染单人套餐,198,3263
壹发（东街店）,鼓楼区,省立/旗汛口,5.0,壹发美发沙龙单人时尚美发套餐3选1,398,3131
SOHAIR(东方百货东街店),鼓楼区,东街口/三坊七巷,5.0,单人烫染拉套餐,169,2296
曼都发型（省体店）,鼓楼区,省体/湖前,5.0,单人精英设计师洗剪吹,58,1786
魅秀美发造型,鼓楼区,左海/西湖公园,4.6,单人高级设计师洗剪吹,39,1448
她他造型,鼓楼区,金牛山/洪山桥,4.5,单人剪发套餐,28,1437
最新发线,鼓楼区,乌山/冠亚广场,3.9,单人烫/染套餐,88,9
剪艺美发（NO.1店）,鼓楼区,省体/湖前,3.9,单人美发套餐,298,8
媚登峰美发连锁,鼓楼区,乌山/冠亚广场,3.9,单人烫/染/拉3选1+护理,198,7
发医堂,鼓楼区,温泉公园/福州广场,4.0,综合精华头皮养护SPA,79,4
Damon工作室,鼓楼区,五一广场/古田路,3.5,单人总监洗剪吹1次,120,2
爱德美美业·金罗兰（洪山店）,鼓楼区,金牛山/洪山桥,3.5,单人女生烫染套餐,188,1
名宿私人定制,鼓楼区,五一广场/古田路,3.0,单人单次立体裁剪套餐,88,1
名尚美业,鼓楼区,铜盘路/软件园,4.1,单人施华蔻烫发一次,268,0
老福州理发店,鼓楼区,乌山/冠亚广场,4.2,单人专业烫染拉3选1,298,0
佑米造型（宝龙店）,台江区,万象城,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310625
佛伦斯私人定制烫染国际连锁（金融街万达店）,台江区,台江万达,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人订制烫染国际连锁（万象城店）,台江区,万象城,5.0,美芝品系列单人美发套餐,168,143259
佛伦斯私人订制烫染国际连锁（台江万达店）,台江区,台江万达,4.1,美芝品系列单人美发套餐,168,143259
瑞豪专业烫染连锁（中央第五街店）,台江区,万象城,4.4,【资深设计师】提案+精致裁剪+造型,28.8,107228
欧莱雅私人定制（福州元洪城东百店）,台江区,台江广场/元洪城,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅（福州万达广场店）,台江区,台江万达,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅私人定制美发连锁（福州旗舰店）,台江区,万象城,5.0,单人洗剪吹/护理套餐2选1,39,101034
施华蔻美发连锁（福州中央第五街店）,台江区,万象城,5.0,单人施华蔻烫染套餐3选1,208,85651
紫尚造型（福州茶亭街店）,台江区,工业路/茶亭,5.0,【人气】单人烫染直三选一美发套餐,159,59492
紫尚造型（福州万象城店）,台江区,万象城,5.0,【人气】单人烫染直三选一美发套餐,159,59492
米娜造型（宝龙城市广场店）,台江区,宝龙城市广场,5.0,单人美发套餐5选1,128,35164
可唻咿造型（中央第五街店）,台江区,万象城,5.0,高级设计师洗剪吹,29.8,27044
可唻咿造型（大利嘉店）,台江区,大利嘉/汽车南站,5.0,高级设计师洗剪吹,29.8,27044
摩登时尚（福州台江店）,台江区,宝龙城市广场,5.0,【品质优选】设计师定制裁剪,29.8,23679
艺境造型,台江区,万象城,4.0,单人施华蔻烫/染/直C套餐,208,20695
迪美造型（宝龙广场店）,台江区,宝龙城市广场,4.9,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
迪美造型（台江万达店）,台江区,台江万达,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,14350
蔓莎造型全国连锁（中央第五街店）,台江区,万象城,4.2,单人高级理发师单人洗剪吹,24.8,14279
丝域养发馆（万象城店）,台江区,万象城,4.6,玫瑰香薰spa+水润头皮护理,88,10637
精彩造型（苍霞店）,台江区,台江区,5.0,单人洗剪吹1次,30,10153
精彩造型（钱隆店）,台江区,大利嘉/汽车南站,4.9,单人洗剪吹1次,30,10153
VS沙宣造型全国连锁（宝龙城市广场店）,台江区,宝龙城市广场,5.0,单人欧莱雅品质美发套餐,158,9073
VS沙宣造型全国连锁（大利嘉店）,台江区,大利嘉/汽车南站,5.0,单人欧莱雅品质美发套餐,158,9073
小齐私人发型顾问,台江区,万象城,3.5,单人烫/染套餐,99,8961
巴罗国际烫染连锁（宝龙广场店）,台江区,台江区,5.0,单人超值烫发/染发套餐5选2,378.8,7934
发丝源美发（宝龙城市广场店）,台江区,宝龙城市广场,5.0,单人洗剪吹造型,24,5780
