商家,区域,商圈,星级,服务,价格,销量
尚多拉美髮サロン（新光天地店）,工业园区,圆融时代广场,4.7,【沙龙总监】烫染套餐,358,451
尚多拉美髮サロン（苏悦广场店）,工业园区,工业园区,5.0,【沙龙总监】烫染套餐,358,451
今奇造型（蒌葑店）,工业园区,娄葑镇,5.0,单人洗剪吹套餐,33,391
HG.MASTER 美仕德（文博广场总店）,工业园区,博览中心,5.0,单人首席洗剪吹套餐,68,275
丝域养发馆（雷迪森广场店）,工业园区,玲珑湾,4.9,丝域头部香薰spa,69,275
三千丝美发沙龙（文星广场店）,工业园区,独墅湖高教区,5.0,单人首席设计师剪发,58,259
MC hair  house（沈浒路店）,工业园区,玲珑湾,5.0,单人高级设计师剪发,48,221
宇记工作室,工业园区,左岸商业街,5.0,单人首席设计师洗剪吹套餐,38,209
TIGI.Hair Salon（新光天地店）,工业园区,圆融时代广场,4.5,【资深组】定制裁剪套餐,150,201
TIGI.Hair Salon（圆融店）,工业园区,圆融时代广场,5.0,【资深组】定制裁剪套餐,150,201
雅姿造型（普惠店）,工业园区,车坊,4.6,单人烫染发型套餐,188,193
雅姿潮牌沙龙连锁（东沙湖店）,工业园区,东沙湖邻里中心,5.0,单人烫染发型套餐,188,193
欧啦国际专业烫染连锁店（城南店）,工业园区,联丰广场,4.1,资生堂R系列烫染2选1,188,178
玖慕美播美容美发,工业园区,师惠坊,4.8,发型师洗剪吹,43,172
匠·形象设计,工业园区,东沙湖邻里中心,5.0,提案＋洗＋精剪＋造型,35,166
E-SALON造型养生SPA,工业园区,万科美好广场,4.6,单人首席设计师洗剪造型套餐,58,151
名馆美发沙龙（湖西店）,工业园区,左岸商业街,5.0,单人设计师洗剪吹套餐,28.8,141
艺美阁时尚沙龙（锦丰广场店）,工业园区,青剑湖跨塘,5.0,单人设计师洗剪吹套餐,20.8,128
美好人生,工业园区,联丰广场,5.0,单人洗剪吹一次,38,128
私人定制美发工作室,工业园区,娄葑镇,5.0,首席设计师洗剪吹,10,127
和美形象（景城店）,工业园区,白塘公园,4.4,单人首席设计师洗剪吹,78,89
88号Hair Salon,工业园区,玲珑湾,4.9,单人首席洗剪吹套餐,58,87
发影造型（大丰收广场跨塘店）,工业园区,青剑湖跨塘,3.7,单人高级发型设计,20,85
A ELLE（爱她艺术造型）,工业园区,娄葑镇,4.7,单人艺术发型洗剪吹套餐1次,48,82
Zz形象会馆,工业园区,娄葑镇,4.2,单人首席发型师洗剪吹1次,28,81
良侑·CHANGE,工业园区,星海国际广场,5.0,【首席设计】提案＋洗＋精剪＋造型,68,76
